Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
36,"A Shechonge, BP Ngatunga, SJ Bradbeer, JJ Day…","Widespread colonisation of Tanzanian catchments by introduced Oreochromis tilapia fishes: the legacy from decades of deliberate introduction",2019,"Hydrobiologia","Springer","https://link.springer.com/article/10.1007/s10750-018-3597-9","https://scholar.google.com/scholar?cites=15160485155460977395&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 05:58:17","HTML","10.1007/s10750-018-3597-9","","",,,,,36,18.00,7,5,2,"From the 1950s onwards, programmes to promote aquaculture and improve capture fisheries in East Africa have relied heavily on the promise held by introduced species. In …","https://link.springer.com/article/10.1007/s10750-018-3597-9","https://scholar.google.com/scholar?q=related:85LV2ezcZNIJ:scholar.google.com/&scioq=author:%22asilatu+shechonge%22&hl=en&as_sdt=2007"
13,"H Alzaylaee, RA Collins, G Rinaldi…","Schistosoma species detection by environmental DNA assays in African freshwaters",2020,"PLoS neglected …","journals.plos.org","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0008129","https://scholar.google.com/scholar?cites=15067119425337731891&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 05:58:17","HTML","","","",,,,,13,13.00,3,4,1,"Background Schistosomiasis is a neglected tropical parasitic disease associated with severe pathology, mortality and economic loss worldwide. Programs for disease control may …","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0008129","https://scholar.google.com/scholar?q=related:M6ukz0kpGdEJ:scholar.google.com/&scioq=author:%22asilatu+shechonge%22&hl=en&as_sdt=2007"
18,"AGP Ford, TR Bullen, L Pang, MJ Genner…","Molecular phylogeny of Oreochromis (Cichlidae: Oreochromini) reveals mito-nuclear discordance and multiple colonisation of adverse aquatic environments",2019,"Molecular phylogenetics …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1055790318305062","https://scholar.google.com/scholar?cites=775996436259404422&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 05:58:17","","","","",,,,,18,9.00,4,5,2,"Although the majority of cichlid diversity occurs in the African Great Lakes, these fish have also diversified across the African continent. Such continental radiations, occurring in both …","https://pure.roehampton.ac.uk/ws/files/1300718/Oreochromis_phylogeny_25032019_FINAL_withFigures.pdf","https://scholar.google.com/scholar?q=related:hvo1uqXkxAoJ:scholar.google.com/&scioq=author:%22asilatu+shechonge%22&hl=en&as_sdt=2007"
3,"LJ White, G Sutton, A Shechonge…","Adaptation of the carbamoyl-phosphate synthetase enzyme in an extremophile fish",2020,"Royal Society …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rsos.201200","https://scholar.google.com/scholar?cites=6774440270281497494&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 05:58:17","","10.1098/rsos.201200","","",,,,,3,3.00,1,4,1,"Tetrapods and fish have adapted distinct carbamoyl-phosphate synthase (CPS) enzymes to initiate the ornithine urea cycle during the detoxification of nitrogenous wastes. We report …","https://royalsocietypublishing.org/doi/pdf/10.1098/rsos.201200","https://scholar.google.com/scholar?q=related:lts6hoilA14J:scholar.google.com/&scioq=author:%22asilatu+shechonge%22&hl=en&as_sdt=2007"
4,"T Blackwell, AGP Ford, AG Ciezarek…","Newly discovered cichlid fish biodiversity threatened by hybridization with non‐native species",2021,"Molecular …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.15638","https://scholar.google.com/scholar?cites=1995545230678934478&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 05:58:17","","10.1111/mec.15638","","",,,,,4,4.00,1,4,1,"Invasive freshwater fishes are known to readily hybridize with indigenous congeneric species, driving loss of unique and irreplaceable genetic resources. Here we reveal that …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/mec.15638","https://scholar.google.com/scholar?q=related:zsPXf9CZsRsJ:scholar.google.com/&scioq=author:%22asilatu+shechonge%22&hl=en&as_sdt=2007"
21,"SJ Bradbeer, J Harrington, H Watson, A Warraich…","Limited hybridization between introduced and Critically Endangered indigenous tilapia fishes in northern Tanzania",2019,"Hydrobiologia","Springer","https://link.springer.com/article/10.1007/s10750-018-3572-5","https://scholar.google.com/scholar?cites=1113307665633907240&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 05:58:17","HTML","10.1007/s10750-018-3572-5","","",,,,,21,10.50,4,5,2,"Hybridization between introduced and indigenous species can lead to loss of unique genetic resources and precipitate extinction. In Tanzania, the Nile tilapia (Oreochromis …","https://link.springer.com/article/10.1007/s10750-018-3572-5","https://scholar.google.com/scholar?q=related:KBLUX2xDcw8J:scholar.google.com/&scioq=author:%22asilatu+shechonge%22&hl=en&as_sdt=2007"
21,"A Shechonge, BP Ngatunga, R Tamatamah…","Losing cichlid fish biodiversity: genetic and morphological homogenization of tilapia following colonization by introduced species",2018,"Conservation …","Springer","https://link.springer.com/article/10.1007/s10592-018-1088-1","https://scholar.google.com/scholar?cites=585295344683427302&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 05:58:17","HTML","10.1007/s10592-018-1088-1","","",,,,,21,7.00,5,4,3,"Among the many negative impacts of invasive species, hybridization with indigenous species has increasingly become recognized as a major issue. However, relatively few …","https://link.springer.com/article/10.1007/s10592-018-1088-1","https://scholar.google.com/scholar?q=related:5qWL1ANjHwgJ:scholar.google.com/&scioq=author:%22asilatu+shechonge%22&hl=en&as_sdt=2007"
12,"H Alzaylaee, RA Collins…","Environmental DNA-based xenomonitoring for determining Schistosoma presence in tropical freshwaters",2020,"Parasites & …","parasitesandvectors.biomedcentral …","https://parasitesandvectors.biomedcentral.com/articles/10.1186/s13071-020-3941-6","https://scholar.google.com/scholar?cites=8255158927186173616&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 05:58:17","HTML","10.1186/s13071-020-3941-6","","",,,,,12,12.00,4,3,1,"Schistosomiasis is a neglected tropical disease that infects over 200 million people worldwide. Control measures can benefit from improved surveillance methods in …","https://parasitesandvectors.biomedcentral.com/articles/10.1186/s13071-020-3941-6","https://scholar.google.com/scholar?q=related:sJ5Te043kHIJ:scholar.google.com/&scioq=author:%22asilatu+shechonge%22&hl=en&as_sdt=2007"
0,"G Sutton, LJ White, AGP Ford, A Shechonge…","Exploring the Expression of Cardiac Regulators in a Vertebrate Extremophile: The Cichlid Fish Oreochromis (Alcolapia) alcalica",2020,"Journal of …","mdpi.com","https://www.mdpi.com/847518","",9,"2021-11-12 05:58:17","","","","",,,,,0,0.00,0,5,1,"Although it is widely accepted that the cellular and molecular mechanisms of vertebrate cardiac development are evolutionarily conserved, this is on the basis of data from only a …","https://www.mdpi.com/2221-3759/8/4/22/pdf","https://scholar.google.com/scholar?q=related:3FNkADCmSpYJ:scholar.google.com/&scioq=author:%22asilatu+shechonge%22&hl=en&as_sdt=2007"
1,"G Vernaz, AG Hudson, ME Santos, B Fischer…","Epigenetic divergence during early stages of speciation in an African crater lake cichlid fish",2021,"bioRxiv","biorxiv.org","https://www.biorxiv.org/content/10.1101/2021.07.30.435319.abstract","https://scholar.google.com/scholar?cites=5255000569489360404&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-12 05:58:17","","10.1101/2021.07.30.435319.abstract","","",,,,,1,1.00,0,5,1,"Epigenetic variation can alter transcription and promote phenotypic divergence between populations facing different environmental challenges. Here we assess the epigenetic basis …","https://www.biorxiv.org/content/biorxiv/early/2021/07/30/2021.07.30.435319.full.pdf",""
