Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4,"JDR BAYONA","Some Aspects of the Biology og Kuhe, Boulengerochromis Microlepis, in the Kigoma Region, Eastern Coast of Lake Tanganyika",1991,"African Study Monographs","repository.kulib.kyoto-u.ac.jp","https://repository.kulib.kyoto-u.ac.jp/dspace/handle/2433/68077","https://scholar.google.com/scholar?cites=7993908137804229399&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:36:04","","","","",,,,,4,0.13,4,1,30,"Beach-seining surveys were carried out over a period of four years (from June 1984 to March 1987) in the littoral zone of the eastern coast of Lake Tangayika. The total catch from …","https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/68077/1/ASM_12_63.pdf","https://scholar.google.com/scholar?q=related:F-vsCBkR8G4J:scholar.google.com/&scioq=author:%22bayona+jdr%22&hl=en&as_sdt=2007"
3,"JDR BAYONA","Species composition and some observations on the littoral fishes based on beach-seining in the Kigoma region, eastern coast of Lake Tanganyika",1991,"African study monographs","repository.kulib.kyoto-u.ac.jp","https://repository.kulib.kyoto-u.ac.jp/dspace/handle/2433/68076","https://scholar.google.com/scholar?cites=16149762864173925686&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:36:04","","","","",,,,,3,0.10,3,1,30,"Fishes in the inshore waters of Lake Tanganyika were sampled in the Kigoma Region between June 1984 and May 1988, using a beach-seine. This study collected 78 fish …","https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/68076/1/ASM_12_75.pdf","https://scholar.google.com/scholar?q=related:NsXhhcJ7H-AJ:scholar.google.com/&scioq=author:%22bayona+jdr%22&hl=en&as_sdt=2007"
10,"JDR Bayona","A review of the biological productivity and fish predation in Lake Tanganyika",1988,"CIFA Occasional Paper (FAO)","agris.fao.org","https://agris.fao.org/agris-search/search.do?recordID=XF8980499","https://scholar.google.com/scholar?cites=4962817701310804818&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:36:04","CITATION","","","",,,,,10,0.30,10,1,33,"A review of the biological productivity and fish predation in Lake Tanganyika FAO_logo home-icon English Español Français العربية 中文 Русский home-icon Translate with Google …","","https://scholar.google.com/scholar?q=related:UrOmu2d430QJ:scholar.google.com/&scioq=author:%22bayona+jdr%22&hl=en&as_sdt=2007"
0,"JDR Bayona, B Msuku, S Mzighani","Fish species composition, size structure and distribution in non-Trawlable areas of Lake Victoria (Tanzania) with emphasis on Mwanza gulf and Mori bay",2004,"Tanzania Journal of Science","ajol.info","https://www.ajol.info/index.php/tjs/article/view/18393","",4,"2021-11-12 06:36:04","","","","",,,,,0,0.00,0,3,17,"Fish diversity studies in littoral non-trawlable areas of Lake Victoria (Tanzania) were undertaken during six systematic surveys (November 2000 to December 2002). Information …","https://www.ajol.info/index.php/tjs/article/view/18393/17331","https://scholar.google.com/scholar?q=related:TXbjK2GNOoMJ:scholar.google.com/&scioq=author:%22bayona+jdr%22&hl=en&as_sdt=2007"
5,"JDR Bayona, BE Marshall, R Mubamba","Variation in abundance and distribution of Limnothrissa miodon in the Tanzanian sector of Lake Tanganyika; the need for continued stock assessment",1993,"","agris.fao.org","https://agris.fao.org/agris-search/search.do?recordID=XF2016058529","https://scholar.google.com/scholar?cites=17352546079177277556&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 06:36:04","CITATION","","","",,,,,5,0.18,2,3,28,"Variation in abundance and distribution of Limnothrissa miodon in the Tanzanian sector of Lake Tanganyika; the need for continued stock assessment FAO_logo home-icon English Español …","","https://scholar.google.com/scholar?q=related:dID1pbig0PAJ:scholar.google.com/&scioq=author:%22bayona+jdr%22&hl=en&as_sdt=2007"
0,"JDR Bayona, S Mzighani, JD Komakoma, J Bipa","Applicability and effectiveness of some fishing gears in assessing fish diversity and richness in non-trawlable areas of Lake Victoria Tanzania",2005,"Knowledge and Experiences …","","","",6,"2021-11-12 06:36:04","CITATION","","","",,,,,0,0.00,0,4,16,"","",""
8,"POJ Bwathondi, AI Chande, HA Mhitu, JJ Kulekana…","Investigation on the abundance and distribution of prawns at Bagamoyo and Rufiji delta",2002,"… Report, Tanzania Fisheries …","","","https://scholar.google.com/scholar?cites=10019056824566200117&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 06:36:04","CITATION","","","",,,,,8,0.42,2,5,19,"","","https://scholar.google.com/scholar?q=related:Nbe4RBnXCosJ:scholar.google.com/&scioq=author:%22bayona+jdr%22&hl=en&as_sdt=2007"
6,"POJ Bwathondi, AI Chande, JDR Bayona, HA Mhitu…","Investigation of prawn abundance and distribution in Bagamoyo and Rufiji areas",2002,"Report submitted to the …","","","https://scholar.google.com/scholar?cites=3601433469605745651&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 06:36:04","CITATION","","","",,,,,6,0.32,1,5,19,"","","https://scholar.google.com/scholar?q=related:85MNzqjc-jEJ:scholar.google.com/&scioq=author:%22bayona+jdr%22&hl=en&as_sdt=2007"
4,"JDR Bayona, SGM Ndaro, BP Ngatunga","Industrial fisheries in the Tanzanian sector of Lake Tanganyika: a case of local over-fishing in Kigoma",1992,"TAFIRI Research Bulletin","","","https://scholar.google.com/scholar?cites=3157299226194924418&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-12 06:36:04","CITATION","","","",,,,,4,0.14,1,3,29,"","","https://scholar.google.com/scholar?q=related:gtP2Cuv60CsJ:scholar.google.com/&scioq=author:%22bayona+jdr%22&hl=en&as_sdt=2007"
3,"JDR Bayona, S Mzighani, J Bipa, J Komakoma","Report on Fish Biology and Status of Biodiversity within the Non‐Trawlable Areas of Lake Victoria based on the Survey of July/August 2001",2001,"","December","","https://scholar.google.com/scholar?cites=9343522047806317857&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-12 06:36:04","CITATION","","","",,,,,3,0.15,1,4,20,"","","https://scholar.google.com/scholar?q=related:IaWGYszbqoEJ:scholar.google.com/&scioq=author:%22bayona+jdr%22&hl=en&as_sdt=2007"
