Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
34,"YL Budeba, IG Cowx","The role of the freshwater shrimp Caridina nilotica (Roux) in the diet of the major commercial fish species in Lake Victoria, Tanzania",2007,"Aquatic Ecosystem Health & …","read.dukeupress.edu","https://read.dukeupress.edu/aehm/article-abstract/10/4/368/170885","https://scholar.google.com/scholar?cites=1244592326893468671&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:37:30","","","","",,,,,34,2.43,17,2,14,"The major commercial fish species of Lake Victoria at the present time are Lates niloticus, Oreochromis niloticus and Rastrineobola argentea. The contribution of Caridina nilotica in …","","https://scholar.google.com/scholar?q=related:_3upjiCuRREJ:scholar.google.com/&scioq=author:%22budeba+yl%22&hl=en&as_sdt=2007"
30,"M Nikaido, T Sasaki, JJ Emerson…","Genetically distinct coelacanth population off the northern Tanzanian coast",2011,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/content/108/44/18009/","https://scholar.google.com/scholar?cites=16907955909713357321&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:37:30","HTML","","","",,,,,30,3.00,8,4,10,"Since the sensational discovery of a living coelacanth off the east coast of South Africa, the geographic distribution of viable coelacanth populations has been a subject of debate. In the …","https://www.pnas.org/content/108/44/18009/","https://scholar.google.com/scholar?q=related:CWpuVFEgpeoJ:scholar.google.com/&scioq=author:%22budeba+yl%22&hl=en&as_sdt=2007"
36,"W Ligtvoet, PJ Mous, OC Mkumbo…","The Lake Victoria fish stocks and fisheries.",1995,"Fish stocks and …","library.wur.nl","https://library.wur.nl/WebQuery/wurpubs/fulltext/350916","https://scholar.google.com/scholar?cites=7881270584572432044&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:37:30","PDF","","","",,,,,36,1.38,9,4,26,"In this chapter a review is given of the recent changes in the fish communities of Lake Victoria. The abundance and spatial distribution of the currently most important commercial …","https://library.wur.nl/WebQuery/wurpubs/fulltext/350916","https://scholar.google.com/scholar?q=related:rM4sBNflX20J:scholar.google.com/&scioq=author:%22budeba+yl%22&hl=en&as_sdt=2007"
20,"YL Budeba, IG Cowx","Contribution of Caridina nilotica (Roux) in the Dagaa Fishery in Lake Victoria, Tanzania",2007,"Aquatic Ecosystem Health & …","read.dukeupress.edu","https://read.dukeupress.edu/aehm/article-abstract/10/4/381/170882","https://scholar.google.com/scholar?cites=6422382991217165552&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 06:37:30","","","","",,,,,20,1.43,10,2,14,"The contribution of Caridina nilotica in the Rastrineobola argentea (dagaa) fishery was assessed at nine beaches in the Tanzanian part of Lake Victoria from May, 2001 to April …","","https://scholar.google.com/scholar?q=related:8IQCo03jIFkJ:scholar.google.com/&scioq=author:%22budeba+yl%22&hl=en&as_sdt=2007"
22,"SI Mzighani, M Nikaido, M Takeda, O Seehausen…","Genetic variation and demographic history of the Haplochromis laparogramma group of Lake Victoria—an analysis based on SINEs and mitochondrial DNA",2010,"Gene","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378111909005204","https://scholar.google.com/scholar?cites=6291031245926104731&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 06:37:30","","","","",,,,,22,2.00,4,5,11,"More than 500 endemic haplochromine cichlid species inhabit Lake Victoria. This striking species diversity is a classical example of recent explosive adaptive radiation thought to …","https://www.academia.edu/download/48961696/Genetic_variation_and_demographic_histor20160919-18219-1jsnaob.pdf","https://scholar.google.com/scholar?q=related:m_5OPJY7TlcJ:scholar.google.com/&scioq=author:%22budeba+yl%22&hl=en&as_sdt=2007"
22,"OC Mkumbo, C Ezekiel, YL Budeba…","Analysis of exploitation patterns for Nile perch, Lates niloticus, in Lake Victoria",2002,"… and Ecology of Lake …","books.google.com","https://books.google.com/books?hl=en&lr=&id=wJ50qiXV9-IC&oi=fnd&pg=PA84&dq=%22budeba+yl%22&ots=mkipFaF6P4&sig=jE_IfICDU9S50ImedV804y3m3JU","https://scholar.google.com/scholar?cites=8334434400935482509&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 06:37:30","","","","",,,,,22,1.16,6,4,19,"Since the explosion of Nile perch, Lates niloticus (L.), in Lake Victoria in the early 1980s they have sustained a rapidly developing fishery. The species is now the predominant …","http://ndl.ethernet.edu.et/bitstream/123456789/79514/5/Management_and_Ecology_of_Lake_and_Re%28BookSee.org%29.pdf#page=98","https://scholar.google.com/scholar?q=related:jRSOD-7bqXMJ:scholar.google.com/&scioq=author:%22budeba+yl%22&hl=en&as_sdt=2007"
8,"PJ Mous, PC Goudswaard, EFB Katunzi…","Sampling and measuring.",1995,"Fish Stocks and …","library.wur.nl","https://library.wur.nl/WebQuery/wurpubs/fulltext/350917","https://scholar.google.com/scholar?cites=1872838978741518680&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 06:37:30","PDF","","","",,,,,8,0.31,2,4,26,"In this chapter some basic information is given on sampling and measuring techniques. These include linear and weight measurements of fishes, techniques for sub-sampling and …","https://library.wur.nl/WebQuery/wurpubs/fulltext/350917","https://scholar.google.com/scholar?q=related:WMFk4SCp_RkJ:scholar.google.com/&scioq=author:%22budeba+yl%22&hl=en&as_sdt=2007"
3,"JJ Van der Hoeven, YL Budeba","A marketing study on the Tanzanian part of Lake Victoria: the Mwaloni Kirumba market, Mwanza, and the export market for fresh fish and fillet.",1993,"… study on the Tanzanian part of …","cabdirect.org","https://www.cabdirect.org/cabdirect/abstract/19926790411","https://scholar.google.com/scholar?cites=18230386074954999791&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 06:37:30","","","","",,,,,3,0.11,2,2,28,"A marketing study on the Tanzanian part of Lake Victoria: the Mwaloni Kirumba market, Mwanza, and the export market for fresh fish and fillet. Cookies on CAB Direct Like most …","","https://scholar.google.com/scholar?q=related:76fr44tX__wJ:scholar.google.com/&scioq=author:%22budeba+yl%22&hl=en&as_sdt=2007"
10,"YL Budeba","The role of Caridina nilotica (Roux 1833) in the Lake Victoria fisheries, Tanzanian waters",2003,"","ethos.bl.uk","https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.402417","https://scholar.google.com/scholar?cites=17859972715331724634&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-12 06:37:30","CITATION","","","",,,,,10,0.56,10,1,18,"British Library EThOS: The role of Caridina nilotica (Roux 1833) in the Lake Victoria fisheries, Tanzanian waters New search | Advanced search | Search results Login / Register | About …","","https://scholar.google.com/scholar?q=related:WiWE845e2_cJ:scholar.google.com/&scioq=author:%22budeba+yl%22&hl=en&as_sdt=2007"
6,"YL Budeba","The role of Caridina nilotica (Roux) in the Lake Victoria fisheries with reference to Lates niloticus (L.)",1999,"","Lake Victoria Fisheries Research …","","https://scholar.google.com/scholar?cites=8992760416110973814&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-12 06:37:30","CITATION","","","",,,,,6,0.27,6,1,22,"","https://aquadocs.org/bitstream/handle/1834/22550/9907P155.pdf?sequence=1","https://scholar.google.com/scholar?q=related:dhN96POzzHwJ:scholar.google.com/&scioq=author:%22budeba+yl%22&hl=en&as_sdt=2007"
5,"W Ligtvoet, PJ Mouse, OC Mkumbo, YL Budeba…","995. The Lake Victoria Fish Stocks and Fisheries",,"Fish Stocks and Fisheries of Lake …","","","https://scholar.google.com/scholar?cites=9298112595751440926&as_sdt=2005&sciodt=2007&hl=en",11,"2021-11-12 06:37:30","CITATION","","","",,,,,5,0.00,1,5,,"","","https://scholar.google.com/scholar?q=related:HpJZbySICYEJ:scholar.google.com/&scioq=author:%22budeba+yl%22&hl=en&as_sdt=2007"
5,"YL Budeba","The role of Nile shrimp, Caridina nilotica, in the food web of Nile perch, Lates niloticus",2003,"Lake Victoria","","","https://scholar.google.com/scholar?cites=4347624520498044896&as_sdt=2005&sciodt=2007&hl=en",12,"2021-11-12 06:37:30","CITATION","","","",,,,,5,0.28,5,1,18,"","","https://scholar.google.com/scholar?q=related:4F8QeXfdVTwJ:scholar.google.com/&scioq=author:%22budeba+yl%22&hl=en&as_sdt=2007"
4,"OC Mkumbo, BS Msuku, EFB Katunzi, YL Budeba…","Report of the biological and socio-economic study of the fisheries of Mwanza and Speke Gulfs following the ban of the use of non-selective gear",1996,"A paper presented at a …","","","https://scholar.google.com/scholar?cites=16162438268606533168&as_sdt=2005&sciodt=2007&hl=en",13,"2021-11-12 06:37:30","CITATION","","","",,,,,4,0.16,1,5,25,"","","https://scholar.google.com/scholar?q=related:MM54GPmDTOAJ:scholar.google.com/&scioq=author:%22budeba+yl%22&hl=en&as_sdt=2007"
3,"OC Mkumbo, C Ezekiel, YL Budeba, IG Cowx","The fishery of Lake Victoria, Tanzania: Pre-Post Nile perch era and the future",2000,"Proceedings of Lake Victoria","","","https://scholar.google.com/scholar?cites=9402825631803421033&as_sdt=2005&sciodt=2007&hl=en",14,"2021-11-12 06:37:30","CITATION","","","",,,,,3,0.14,1,4,21,"","","https://scholar.google.com/scholar?q=related:abGUBBiMfYIJ:scholar.google.com/&scioq=author:%22budeba+yl%22&hl=en&as_sdt=2007"
