Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
78,"AS Downing, EH van Nes, JS Balirwa, J Beuving…","Coupled human and natural system dynamics as key to the sustainability of Lake Victoria's ecosystem services",2014,"Ecology and …","JSTOR","https://www.jstor.org/stable/26269672","https://scholar.google.com/scholar?cites=11232955591706652483&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:40:06","","","","",,,,,78,11.14,16,5,7,"East Africa's Lake Victoria provides resources and services to millions of people on the lake's shores and abroad. In particular, the lake's fisheries are an important source of …","https://www.jstor.org/stable/pdf/26269672.pdf","https://scholar.google.com/scholar?q=related:Q69pjZh545sJ:scholar.google.com/&scioq=author:%22bwathondi+poj%22&hl=en&as_sdt=2007"
26,"POJ Bwathondi","Preliminary investigations on rabbitfish, Siganus canalicullatus, cultivation in Tanzania",1982,"Aquaculture","Elsevier","https://www.sciencedirect.com/science/article/pii/0044848682900588","https://scholar.google.com/scholar?cites=6351089223792931040&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:40:06","","","","",,,,,26,0.67,26,1,39,"Preliminary investigation on the culture of Siganus canalicullatus in floating cages in Tanzania coastal water has revealed that the fish has high culture potential in the region. It is …","","https://scholar.google.com/scholar?q=related:4DD94P-ZI1gJ:scholar.google.com/&scioq=author:%22bwathondi+poj%22&hl=en&as_sdt=2007"
32,"POJ Bwathondi, R Ogutu-Ohwayo, J Ogari","Lake Victoria fisheries management plan",2001,"","aquadocs.org","https://aquadocs.org/handle/1834/22489","https://scholar.google.com/scholar?cites=5821726852071712788&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:40:06","","","","",,,,,32,1.60,11,3,20,"The purpose of this Fisheries Management Plan (FMP) within the Lake Victoria Fisheries Research Project was to sustain the livelihoods of the communities who depend on the …","https://aquadocs.org/bitstream/handle/1834/22489/Fisheries_Management_Plan_I.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:FGgWJbrtylAJ:scholar.google.com/&scioq=author:%22bwathondi+poj%22&hl=en&as_sdt=2007"
19,"POJ Bwathondi, GUJ Mwamsojo","The status of the fishery resource in, the wetlands of Tanzania",1993,"… of a seminar on the wetlands …","books.google.com","https://books.google.com/books?hl=en&lr=&id=kbLsJa81gpgC&oi=fnd&pg=PA49&dq=%22bwathondi+poj%22&ots=S6mdkTSg0O&sig=FJBd8JhIvIWFpWEyfX6KhIt_UOI","https://scholar.google.com/scholar?cites=10452224507251584544&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 06:40:06","HTML","","","",,,,,19,0.68,10,2,28,"The main types of wetlands in Tanzania are described as an introduction to a coverage of the fisheries of the large lakes, the minor waters, the rivers and the intertidal ecosystems …","https://books.google.com/books?hl=en&lr=&id=kbLsJa81gpgC&oi=fnd&pg=PA49&dq=%22bwathondi+poj%22&ots=S6mdkTSg0O&sig=FJBd8JhIvIWFpWEyfX6KhIt_UOI","https://scholar.google.com/scholar?q=related:IO5co8_CDZEJ:scholar.google.com/&scioq=author:%22bwathondi+poj%22&hl=en&as_sdt=2007"
16,"POJ Bwathondi, MAK Ngoile","Bivalves fouling floating cages used in aquaculture",1982,"","nopr.niscair.res.in","http://nopr.niscair.res.in/handle/123456789/38981","https://scholar.google.com/scholar?cites=2918497467002957902&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 06:40:06","","","","",,,,,16,0.41,8,2,39,"Nine species of bivalve foulers were identified on floating cages used in aquaculture of rabbit fish, Siganus canaliculatus. Ostrea spp and Pinctada spp (5 species) were most …","http://nopr.niscair.res.in/bitstream/123456789/38981/1/IJMS%2011%283%29%20283-285.pdf","https://scholar.google.com/scholar?q=related:TrCWvvuVgCgJ:scholar.google.com/&scioq=author:%22bwathondi+poj%22&hl=en&as_sdt=2007"
9,"T Sasaki, T Sato, S Miura, POJ Bwathondi…","Mitogenomic analysis for coelacanths (Latimeria chalumnae) caught in Tanzania",2007,"Gene","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378111906006251","https://scholar.google.com/scholar?cites=7817122861948693482&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 06:40:06","","","","",,,,,9,0.64,2,5,14,"In recent years, a large number of individuals of the species Latimeria chalumnae, one of the living fossil coelacanths, have been landed off the coast of Tanzania. Although L …","https://www.academia.edu/download/62220999/j.gene.2006.09.02120200227-23252-1my0o7o.pdf","https://scholar.google.com/scholar?q=related:6msJeNP_e2wJ:scholar.google.com/&scioq=author:%22bwathondi+poj%22&hl=en&as_sdt=2007"
7,"RB Hoza, YD Mgaya, POJ Bwathondi","Historical trends in fisheries management",2017,"Lake Victoria Fisheries Resources","Springer","https://link.springer.com/chapter/10.1007/978-3-319-69656-0_9","https://scholar.google.com/scholar?cites=8615770797307168860&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 06:40:06","","10.1007/978-3-319-69656-0_9","","",,,,,7,1.75,2,3,4,"The management of the fisheries of Lake Victoria has had several successes and failures. These failures were either due to inadequate awareness of the fishing communities on the …","http://repository.eac.int:8080/bitstream/handle/11671/807/SYNTHESIS%20REPORT%20ON%20FISHERIES%20RESEARCH%20AND%20MANAGEMENT%20-%20TANZANIA.pdf?sequence=1&isAllowed=y#page=146","https://scholar.google.com/scholar?q=related:XIitT-RdkXcJ:scholar.google.com/&scioq=author:%22bwathondi+poj%22&hl=en&as_sdt=2007"
6,"B Abdulkarim, POJ Bwathondi…","Seasonal variations in the mineral composition of some commercially important fish species of Lake Victoria-Tanzania",2015,"Int. J. Agric …","internationalscholarsjournals.com","https://www.internationalscholarsjournals.com/articles/seasonal-variations-in-the-mineral-composition-of-some-commercially-important-fish-species-of-lake-victoriatanzania.pdf","https://scholar.google.com/scholar?cites=3085254838772388497&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 06:40:06","PDF","","","",,,,,6,1.00,2,3,6,"Fish is high in digestible protein and an important source of minerals (Abdullahi, 2002). The most important minerals in the fish and shell fish are potassium and calcium followed by …","https://www.internationalscholarsjournals.com/articles/seasonal-variations-in-the-mineral-composition-of-some-commercially-important-fish-species-of-lake-victoriatanzania.pdf","https://scholar.google.com/scholar?q=related:kVKV8u0G0SoJ:scholar.google.com/&scioq=author:%22bwathondi+poj%22&hl=en&as_sdt=2007"
6,"B Abdulkarim, POJ Bwathondi, BL Benno","Seasonal variations in the proximate compositions of five economically-important fish species from Lake Victoria and Lake Tanganyika, Tanzania",2016,"Bayero Journal of Pure and …","ajol.info","https://www.ajol.info/index.php/bajopas/article/view/139675","https://scholar.google.com/scholar?cites=1514751690081152629&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-12 06:40:06","","","","",,,,,6,1.20,2,3,5,"Proximate compositions of five economically-important fish species from Lake Victoria and Lake Tanganyika, Tanzania were determined using standard methods and procedures of …","https://www.ajol.info/index.php/bajopas/article/view/139675/129374","https://scholar.google.com/scholar?q=related:da41-qJ6BRUJ:scholar.google.com/&scioq=author:%22bwathondi+poj%22&hl=en&as_sdt=2007"
5,"POJ Bwathondi, HB Pratap","The length-weight relationship of fishes of Kunduchi Creek, Dar es Salaam, Tanzania.",1981,"… of the Marine Biological Association of …","mbai.org.in","http://mbai.org.in/uploads1/manuscripts/Article%2017%20(161-163)452334297.pdf","https://scholar.google.com/scholar?cites=4121781963214564475&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-12 06:40:06","PDF","","","",,,,,5,0.13,3,2,40,"The length-weight relationship of 27 species of marine releosts collected from Kunduchi Creek, Dar es Salaam was investigated using the formula W= aLn. The'n'values were found …","http://mbai.org.in/uploads1/manuscripts/Article%2017%20(161-163)452334297.pdf","https://scholar.google.com/scholar?q=related:eywEf9uCMzkJ:scholar.google.com/&scioq=author:%22bwathondi+poj%22&hl=en&as_sdt=2007"
