Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
77,"AI Chande, YD Mgaya","The fishery of Portunus pelagicus and species diversity of portunid crabs along the Coast of Dar es Salaam, Tanzania",2003,"Western Indian Ocean Journal of Marine Science","ajol.info","https://www.ajol.info/index.php/wiojms/article/view/28431","https://scholar.google.com/scholar?cites=14898692067173605712&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:43:39","","","","",,,,,77,4.28,39,2,18,"Production, habitat preference and distribution of the blue swimming crab, Portunus pelagicus and the diversity of portunid crabs were studied along the Dar es Salaam …","https://www.ajol.info/index.php/wiojms/article/view/28431/22079","https://scholar.google.com/scholar?q=related:UCHQmX_Jws4J:scholar.google.com/&scioq=author:%22chande+ai%22&hl=en&as_sdt=2007"
34,"AI Chande, YD Mgaya","Food Habits of the Blue Swimming Crab Portunus pelagicus along the Coast of Dar es Salaam, Tanzaniajpeg",2004,"Western Indian Ocean Journal of Marine Science","ajol.info","https://www.ajol.info/index.php/wiojms/article/view/28443","https://scholar.google.com/scholar?cites=9131005532143961764&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:43:39","","","","",,,,,34,2.00,17,2,17,"The food habits of the blue swimming crab Portunus pelagicus were investigated using the stomachs of 3948 crabs collected from Kunduchi sub-littoral shallow waters, Msasani Bay …","https://www.ajol.info/index.php/wiojms/article/download/28443/22090","https://scholar.google.com/scholar?q=related:pEaRQSfZt34J:scholar.google.com/&scioq=author:%22chande+ai%22&hl=en&as_sdt=2007"
24,"IA Kimirei, YD Mgaya…","Changes in species composition and abundance of commercially important pelagic fish species in Kigoma area, Lake Tanganyika, Tanzania",2008,"Aquatic ecosystem health & …","read.dukeupress.edu","https://read.dukeupress.edu/aehm/article-abstract/11/1/29/168690","https://scholar.google.com/scholar?cites=1377228423119005952&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:43:39","","","","",,,,,24,1.85,8,3,13,"The pelagic fishery of Lake Tanganyika provides employment to about 1 million consumers and protein to many more people living around the lake. It is mainly based on three …","https://www.researchgate.net/profile/Ismael-Kimirei/publication/232990645_Changes_in_species_composition_and_abundance_of_commercially_important_pelagic_fish_species_in_Kigoma_area_Lake_Tanganyika_Tanzania/links/0deec51654c5fe1485000000/Changes-in-species-composition-and-abundance-of-commercially-important-pelagic-fish-species-in-Kigoma-area-Lake-Tanganyika-Tanzania.pdf","https://scholar.google.com/scholar?q=related:AGmUNvTlHBMJ:scholar.google.com/&scioq=author:%22chande+ai%22&hl=en&as_sdt=2007"
21,"EA Sweke, JM Assam, T Matsuishi…","Fish diversity and abundance of Lake Tanganyika: Comparison between protected area (Mahale Mountains National Park) and unprotected areas",2013,"… Journal of Biodiversity","downloads.hindawi.com","https://downloads.hindawi.com/archive/2013/269141.pdf","https://scholar.google.com/scholar?cites=5148449585757371147&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 06:43:39","PDF","","","",,,,,21,2.63,5,4,8,"High biodiversity is the most remarkable characteristic of Lake Tanganyika including vertebrates, invertebrates, and plants. A few protected areas have been created along the …","https://downloads.hindawi.com/archive/2013/269141.pdf","https://scholar.google.com/scholar?q=related:CzsT3573ckcJ:scholar.google.com/&scioq=author:%22chande+ai%22&hl=en&as_sdt=2007"
13,"RK Waya, AI Chande","Species composition and biomass estimates of zooplankton in some water bodies within Lake Victoria basin",2004,"Tanzania Journal of Science","ajol.info","https://www.ajol.info/index.php/tjs/article/view/18386","https://scholar.google.com/scholar?cites=14217698262675480870&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 06:43:39","","","","",,,,,13,0.76,7,2,17,"Zooplankton communities were identified and their abundance and biomass estimated in some selected satellite lakes and Mara River in Lake Victoria basin, during wet and dry …","https://www.ajol.info/index.php/tjs/article/view/18386/17324","https://scholar.google.com/scholar?q=related:JuF1xj1pT8UJ:scholar.google.com/&scioq=author:%22chande+ai%22&hl=en&as_sdt=2007"
15,"W Ligtvoet, AI Chande, O Mosille","A preliminary description of the artisanal Nile perch (Lates niloticus) fishery in southern Lake Victoria",1988,"","agris.fao.org","https://agris.fao.org/agris-search/search.do?recordID=XF2016036873","https://scholar.google.com/scholar?cites=10181163753074905344&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 06:43:39","","","","",,,,,15,0.45,5,3,33,"The Food and Agriculture Organization (FAO) is a specialized agency of the United Nations that leads international efforts to defeat hunger. Our goal is to achieve food security for all …","","https://scholar.google.com/scholar?q=related:ANEcxn3CSo0J:scholar.google.com/&scioq=author:%22chande+ai%22&hl=en&as_sdt=2007"
6,"AI Chande, HA Mhitu","Fish species and size distribution and abundance in different areas in Lake Victoria, Tanzania",2005,"Tanzania Journal of Science","ajol.info","https://www.ajol.info/index.php/tjs/article/view/18411","https://scholar.google.com/scholar?cites=4663498323158764115&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 06:43:39","","","","",,,,,6,0.38,3,2,16,"The study was carried out to investigate fish species distribution and abundance in different areas and size structure variations according to depth in Lake Victoria, Tanzania. Data were …","https://www.ajol.info/index.php/tjs/article/view/18411/29865","https://scholar.google.com/scholar?q=related:UwqCQgQTuEAJ:scholar.google.com/&scioq=author:%22chande+ai%22&hl=en&as_sdt=2007"
4,"EA Sweke, JM Assam, AI Chande…","Comparing the performance of protected and unprotected areas in conserving freshwater fish abundance and biodiversity in Lake Tanganyika, Tanzania",2016,"International Journal of …","hindawi.com","https://www.hindawi.com/journals/ijecol/2016/7139689/","https://scholar.google.com/scholar?cites=10753589021542645887&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 06:43:39","HTML","","","",,,,,4,0.80,1,4,5,"Marine protected areas have been shown to conserve aquatic resources including fish, but few studies have been conducted of protected areas in freshwater environments. This is …","https://www.hindawi.com/journals/ijecol/2016/7139689/","https://scholar.google.com/scholar?q=related:fwCXeT1sPJUJ:scholar.google.com/&scioq=author:%22chande+ai%22&hl=en&as_sdt=2007"
5,"RJ Kayanda, AI Chande, YD Mgaya, E Mlaponi…","Stock assessment of commercial fish species of Lake Victoria",2017,"Lake Victoria Fisheries …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-69656-0_6","https://scholar.google.com/scholar?cites=13763212620417741602&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-12 06:43:39","","10.1007/978-3-319-69656-0_6","","",,,,,5,1.25,1,5,4,"Abstract The fishery of Lake Victoria is dominated by four major commercial species; the introduced Nile perch (Lates niloticus) and Nile tilapia (Oreochromis niloticus), native dagaa …","http://ndl.ethernet.edu.et/bitstream/123456789/41021/1/206.Yunus%20D.%20Mgaya.pdf#page=115","https://scholar.google.com/scholar?q=related:IjMsKPXAAL8J:scholar.google.com/&scioq=author:%22chande+ai%22&hl=en&as_sdt=2007"
2,"HA Mhitu, AI Chande","Diurnal feeding patterns and food habits of Lates Niloticus in the Speke Gulf, Lake Victoria",2004,"Tanzania Journal of Science","ajol.info","https://www.ajol.info/index.php/tjs/article/view/18391","https://scholar.google.com/scholar?cites=691363734490944837&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-12 06:43:39","","","","",,,,,2,0.12,1,2,17,"Twenty four hour sampling sessions were conducted to investigate the feeding patterns and food habits of Lates niloticus in the Speke Gulf, Lake Victoria during January/February …","https://www.ajol.info/index.php/tjs/article/download/18391/17329","https://scholar.google.com/scholar?q=related:RZXrTKc3mAkJ:scholar.google.com/&scioq=author:%22chande+ai%22&hl=en&as_sdt=2007"
