Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
29,"PD Plisnier, M Nshombo, H Mgana…","Monitoring climate change and anthropogenic pressure at Lake Tanganyika",2018,"Journal of Great Lakes …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0380133018300911","https://scholar.google.com/scholar?cites=5278065694278541426&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:12:29","HTML","","","",,,,,29,9.67,7,4,3,"Abstract The African Great Lakes are under threat from global and local environmental challenges including climatic change, water pollution and overfishing. To address those …","https://www.sciencedirect.com/science/article/pii/S0380133018300911","https://scholar.google.com/scholar?q=related:cuCl2Mh0P0kJ:scholar.google.com/&scioq=author:%22huruma+mgana%22&hl=en&as_sdt=2007"
33,"SM Limbu, AP Shoko, HA Lamtane…","Fish polyculture system integrated with vegetable farming improves yield and economic benefits of small‐scale farmers",2017,"Aquaculture …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/are.13188","https://scholar.google.com/scholar?cites=4218186252898946703&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:12:29","","10.1111/are.13188","","",,,,,33,8.25,8,4,4,"This study explored the yield and economic benefits of African sharptooth catfish, Clarias gariepinus, and Nile tilapia, Oreochromis niloticus polyculture, reared in earthen ponds for …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/are.13188","https://scholar.google.com/scholar?q=related:j056UAwCijoJ:scholar.google.com/&scioq=author:%22huruma+mgana%22&hl=en&as_sdt=2007"
17,"SM Limbu, AP Shoko, HA Lamtane, ED Shirima…","Effect of initial stocking size of the predatory African sharptooth catfish (Clarias gariepinu s) on recruits, growth performance, survival and yield of mixed-sex …",2015,"International Aquatic …","Springer","https://link.springer.com/article/10.1007/s40071-014-0093-3","https://scholar.google.com/scholar?cites=863379595084430437&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:12:29","HTML","10.1007/s40071-014-0093-3","","",,,,,17,2.83,3,5,6,"Prolific breeding and production of high percentage of recruits are main problems in mixed-sex Nile tilapia (Oreochromis niloticus) culture in earthen ponds. The current study assessed …","https://link.springer.com/article/10.1007/s40071-014-0093-3","https://scholar.google.com/scholar?q=related:ZfxT1ypX-wsJ:scholar.google.com/&scioq=author:%22huruma+mgana%22&hl=en&as_sdt=2007"
5,"H Mgana, BM Kraemer, CM O'Reilly, PA Staehr…","Adoption and consequences of new light-fishing technology (LEDs) on Lake Tanganyika, East Africa",2019,"Plos one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0216580","https://scholar.google.com/scholar?cites=2458717517016516815&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 06:12:29","HTML","","","",,,,,5,2.50,1,5,2,"Maintaining sustainable fisheries requires understanding the influence of technological advances on catch efficiency, as technological creep can ultimately contribute to increased …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0216580","https://scholar.google.com/scholar?q=related:z8jMDI4eHyIJ:scholar.google.com/&scioq=author:%22huruma+mgana%22&hl=en&as_sdt=2007"
7,"P Mziray, IA Kimirei, PA Staehr, CV Lugomela…","Seasonal patterns of thermal stratification and primary production in the northern parts of Lake Tanganyika",2018,"Journal of Great Lakes …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0380133018301552","https://scholar.google.com/scholar?cites=9546416762066764986&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 06:12:29","","","","",,,,,7,2.33,1,5,3,"Thermal stratification in meromictic Lake Tanganyika weakens during the cool, dry and windy season, allowing intrusions of deeper nutrient-rich waters into the upper mixed layer …","","https://scholar.google.com/scholar?q=related:ugTTTHeve4QJ:scholar.google.com/&scioq=author:%22huruma+mgana%22&hl=en&as_sdt=2007"
2,"HH Jessen, HF Mgana, P Grønkjær…","Dietary differences among commercially important fishes in Lake Tanganyika assessed using stable isotope analysis",2019,"Journal of Great Lakes …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0380133019301480","https://scholar.google.com/scholar?cites=10483172395993188481&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 06:12:29","","","","",,,,,2,1.00,1,4,2,"The pelagic fishery of Lake Tanganyika, which is largely made up of the three species Lates stappersii, Limnothrissa miodon, and Stolothrissa tanganicae, has been in decline, and …","","https://scholar.google.com/scholar?q=related:gchafsC1e5EJ:scholar.google.com/&scioq=author:%22huruma+mgana%22&hl=en&as_sdt=2007"
6,"Q Gao, S Chen, IA Kimirei, L Zhang, H Mgana…","Wet deposition of atmospheric nitrogen contributes to nitrogen loading in the surface waters of Lake Tanganyika, East Africa: a case study of the Kigoma region",2018,"… Science and Pollution …","Springer","https://link.springer.com/article/10.1007/s11356-018-1389-4","https://scholar.google.com/scholar?cites=7185434536883274681&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 06:12:29","","10.1007/s11356-018-1389-4","","",,,,,6,2.00,1,6,3,"Abstract Lake Tanganyika, an African Great Lake, is a complex tropical ecosystem that has been subjected to extreme climate-related changes in the last century, including seasonal …","","https://scholar.google.com/scholar?q=related:uUPAJ6TKt2MJ:scholar.google.com/&scioq=author:%22huruma+mgana%22&hl=en&as_sdt=2007"
2,"HF Mgana, A Jonsson, M Karlsdóttir","Quality assessment of hot smoked Capelin (Mallotus villosus) and Redfish (Sebastes mentella)",2014,"","grocentre.is","https://www.grocentre.is/static/gro/publication/307/document/huruma14prf.pdf","https://scholar.google.com/scholar?cites=1169052108097611279&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 06:12:29","PDF","","","",,,,,2,0.29,1,3,7,"Redfish and capelin were hot smoked by using an isolated cabin, designed by Matís. Performance of the cabin was monitored by quantifying the amount of firewood used …","https://www.grocentre.is/static/gro/publication/307/document/huruma14prf.pdf","https://scholar.google.com/scholar?q=related:D2YUy7JOORAJ:scholar.google.com/&scioq=author:%22huruma+mgana%22&hl=en&as_sdt=2007"
0,"J Brehm, C O'Reilly, P Stæhr…","A Transdisciplinary Examination of Food Insecurity and Sustainability on Lake Tanganyika",2019,"AGU Fall Meeting …","ui.adsabs.harvard.edu","https://ui.adsabs.harvard.edu/abs/2019AGUFMGC43H1394B/abstract","",9,"2021-11-12 06:12:29","","","","",,,,,0,0.00,0,4,2,"Sustainable environmental management of natural resources is critical for human society. The impacts of climate change, coupled with growing human populations, provide immense …","",""
0,"Q Gao, S Chen, IA Kimirei, L Zhang, H Mgana, P Mziray…","Wet deposition of atmospheric nitrogen contributes to nitrogen loading",2018,"","","","",10,"2021-11-12 06:12:29","CITATION","","","",,,,,0,0.00,0,7,3,"","",""
