Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
247,"AA Pollen, AP Dobberfuhl, J Scace, MM Igulu…","Environmental complexity and social organization sculpt the brain in Lake Tanganyikan cichlid fish",2007,"Brain, Behavior and …","karger.com","https://www.karger.com/Article/Abstract/101067","https://scholar.google.com/scholar?cites=16792421772923678879&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 07:15:09","","","","",,,,,247,17.64,49,5,14,"Complex brains and behaviors have occurred repeatedly within vertebrate classes throughout evolution. What adaptive pressures drive such changes? Both environmental …","https://www.reed.edu/biology/professors/srenn/pages/publications/Pollen_etal_2007.pdf","https://scholar.google.com/scholar?q=related:n7Cm5aGqCukJ:scholar.google.com/&scioq=author:%22mathias+igulu%22&hl=en&as_sdt=2007"
104,"MM Igulu, I Nagelkerken, M Dorenbosch, MGG Grol…","Mangrove habitat use by juvenile reef fish: meta-analysis reveals that tidal regime matters more than biogeographic region",2014,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0114715","https://scholar.google.com/scholar?cites=1814118207064625442&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 07:15:09","HTML","","","",,,,,104,14.86,21,5,7,"Identification of critical life-stage habitats is key to successful conservation efforts. Juveniles of some species show great flexibility in habitat use while other species rely heavily on a …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0114715","https://scholar.google.com/scholar?q=related:ItGn0OUKLRkJ:scholar.google.com/&scioq=author:%22mathias+igulu%22&hl=en&as_sdt=2007"
51,"MM Igulu, I Nagelkerken, G van der Velde, YD Mgaya","Mangrove fish production is largely fuelled by external food sources: a stable isotope analysis of fishes at the individual, species, and community levels from across …",2013,"Ecosystems","Springer","https://link.springer.com/article/10.1007/s10021-013-9687-7","https://scholar.google.com/scholar?cites=9200473882474968846&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 07:15:09","","10.1007/s10021-013-9687-7","","",,,,,51,6.38,13,4,8,"Coastal ecosystems are energetically connected through passive transport of nutrients but also by migrations of motile organisms. Mangroves are highly productive tropical …","https://www.researchgate.net/profile/Ivan-Nagelkerken-2/publication/257469456_Mangrove_Fish_Production_is_Largely_Fuelled_by_External_Food_Sources_A_Stable_Isotope_Analysis_of_Fishes_at_the_Individual_Species_and_Community_Levels_from_Across_the_Globe/links/0a85e5343f10cc0179000000/Mangrove-Fish-Production-is-Largely-Fuelled-by-External-Food-Sources-A-Stable-Isotope-Analysis-of-Fishes-at-the-Individual-Species-and-Community-Levels-from-Across-the-Globe.pdf","https://scholar.google.com/scholar?q=related:Dvct-j-mrn8J:scholar.google.com/&scioq=author:%22mathias+igulu%22&hl=en&as_sdt=2007"
9,"IA Kimirei, MM Igulu, M Semba, BR Lugendo","Small estuarine and non-estuarine mangrove ecosystems of Tanzania: overlooked coastal habitats?",2016,"Estuaries: A Lifeline of …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-25370-1_13","https://scholar.google.com/scholar?cites=7454636322666918045&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 07:15:09","","10.1007/978-3-319-25370-1_13","","",,,,,9,1.80,2,4,5,"Small estuaries and non-estuarine habitats harboring mangroves are very important ecosystems which provide important ecosystem goods and services; such as provision of …","","https://scholar.google.com/scholar?q=related:nTBJNj0wdGcJ:scholar.google.com/&scioq=author:%22mathias+igulu%22&hl=en&as_sdt=2007"
8,"B Kaunda-Arara, C Munga, J Manyala, B Kuguru…","Spatial variation in benthopelagic fish assemblage structure along coastal East Africa from recent bottom trawl surveys",2016,"Regional Studies in …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2352485516300433","https://scholar.google.com/scholar?cites=12121625865866188289&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 07:15:09","","","","",,,,,8,1.60,2,5,5,"The structure of benthopelagic fish assemblages of the continental shelves and upper slopes along coastal East Africa (Kenya and Tanzania) was studied based on data from …","https://www.academia.edu/download/55238379/Kaunda-Arara_et_al_2016.PDF","https://scholar.google.com/scholar?q=related:ARYke4CqOKgJ:scholar.google.com/&scioq=author:%22mathias+igulu%22&hl=en&as_sdt=2007"
7,"BI Everett, JC Groeneveld, ST Fennessy…","Demersal trawl surveys show ecological gradients in Southwest Indian Ocean slope fauna",2015,"Western Indian Ocean …","ajol.info","https://www.ajol.info/index.php/wiojms/article/view/135576","https://scholar.google.com/scholar?cites=17912931880701721847&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 07:15:09","","","","",,,,,7,1.17,2,4,6,"We assessed the richness, diversity and community structure of demersal fish and benthic invertebrates caught by trawl nets along the deep shelf and upper continental slope of the …","https://www.ajol.info/index.php/wiojms/article/view/135576/134486","https://scholar.google.com/scholar?q=related:9_z-gqOEl_gJ:scholar.google.com/&scioq=author:%22mathias+igulu%22&hl=en&as_sdt=2007"
2,"JS Sululu, AT Kamukuru, BC Sekadende…","Reproductive biology of the anchovy (Stolephorus commersonnii, Lacepède, 1803) and spotted sardine (Amblygaster sirm, Walbaum, 1792) from Tanga Region …",2020,"Western Indian Ocean …","ajol.info","https://www.ajol.info/index.php/wiojms/article/view/174218","https://scholar.google.com/scholar?cites=8623631399225137066&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 07:15:09","","","","",,,,,2,2.00,1,4,1,"The present study investigated the reproductive biology of Stolephorus commersonnii and Amblygaster sirm at two landing sites in Tanga on the northern coast of Tanzania. Fish …","https://www.ajol.info/index.php/wiojms/article/download/174218/192287","https://scholar.google.com/scholar?q=related:qhe4UBFLrXcJ:scholar.google.com/&scioq=author:%22mathias+igulu%22&hl=en&as_sdt=2007"
5,"M Igulu, ZM El Kharousy","Tanzania national report to the scientific committee of the Indian Ocean Tuna Commission, 2015",2015,"… Research Institute and Tanzania Deep Sea …","tzonline.org","http://www.tzonline.org/pdf/tanzanianationalreporttothescientific.pdf","https://scholar.google.com/scholar?cites=924943250778211780&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 07:15:09","PDF","","","",,,,,5,0.83,3,2,6,"Tanzania national fleets are dominated by artisanal fleets which are characterized by multi-species catch; involve the use of multi-gear and multi-cultural fisheries. Fishing activity takes …","http://www.tzonline.org/pdf/tanzanianationalreporttothescientific.pdf","https://scholar.google.com/scholar?q=related:xMUHbPwO1gwJ:scholar.google.com/&scioq=author:%22mathias+igulu%22&hl=en&as_sdt=2007"
2,"CA Rohner, SJ Pierce, CEM Prebble, M Igulu…","Caught in the net: a small, resident group of whale sharks feeding among fishing boats",2016,"The 4th International …","qscience.com","https://www.qscience.com/content/papers/10.5339/qproc.2016.iwsc4.53","https://scholar.google.com/scholar?cites=7173606357894395721&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-12 07:15:09","","10.5339/qproc.2016.iwsc4.53","","",,,,,2,0.40,0,5,5,"Background Off Mafia Island, Tanzania, whale sharks are seen in a small bay that also boasts one of the country's largest coastal fisheries. We set out to determine the population …","","https://scholar.google.com/scholar?q=related:SXfHoPnEjWMJ:scholar.google.com/&scioq=author:%22mathias+igulu%22&hl=en&as_sdt=2007"
0,"BC Sekadende, JS Sululu, AT Kamukuru…","Preliminary findings on the food and feeding dynamics of the anchovy Stolephorus commersonnii (Lacepède, 1803) and the Indian mackerel Rastrelliger kanagurta …",2020,"Western Indian Ocean …","ajol.info","https://www.ajol.info/index.php/wiojms/article/view/175176","",10,"2021-11-12 07:15:09","","","","",,,,,0,0.00,0,4,1,"Small pelagic fishes play an important role in the ecosystem by linking planktonic production and higher trophic level predators, and provide a livelihood to both the small-scale and …","https://www.ajol.info/index.php/wiojms/article/download/175176/192286","https://scholar.google.com/scholar?q=related:v0Nj7eVCSj4J:scholar.google.com/&scioq=author:%22mathias+igulu%22&hl=en&as_sdt=2007"
1,"EF Cagua, J Cochran, C Rohner, MM Igulu…","Demographics and feeding ecology of whale sharks at Mafia Island, Tanzania",2013,"PeerJ …","search.proquest.com","https://search.proquest.com/openview/ef12d49a0ae96997a0eb0709af062ce9/1?pq-origsite=gscholar&cbl=2045933","https://scholar.google.com/scholar?cites=16508872831851128357&as_sdt=2005&sciodt=2007&hl=en",11,"2021-11-12 07:15:09","","","","",,,,,1,0.13,0,5,8,"Background. The Western Indian Ocean is a globally important region for the whale shark Rhincodon typus, with well-studied coastal aggregation sites in southern Mozambique …","","https://scholar.google.com/scholar?q=related:JWaVcF9MG-UJ:scholar.google.com/&scioq=author:%22mathias+igulu%22&hl=en&as_sdt=2007"
0,"MM Igulu","Sensory mechanisms, habitat selection and habitat use in tropical juvenile coral reef fish",2014,"","repository.ubn.ru.nl","https://repository.ubn.ru.nl/bitstream/handle/2066/124910/124910.pdf","",12,"2021-11-12 07:15:09","BOOK","","","",,,,,0,0.00,0,1,7,"Tropical mangroves and seagrass beds provide nursery habitat for many commercially important decapods and fish species (Nagelkerken et al. 2000, Mumby et al. 2004 …","https://repository.ubn.ru.nl/bitstream/handle/2066/124910/124910.pdf","https://scholar.google.com/scholar?q=related:ddFIP_dlNXMJ:scholar.google.com/&scioq=author:%22mathias+igulu%22&hl=en&as_sdt=2007"
0,"MGG Grol, I Nagelkerken, AD Olds, MM Igulu…","Meta-analysis reveals that utilization of mangrove and seagrass nursery habitats across the globe is related to tidal regime rather than biogeographic region.",2014,"","196.44.162.10","http://196.44.162.10:8080/xmlui/handle/123456789/526","",13,"2021-11-12 07:15:09","","","","",,,,,0,0.00,0,5,7,"Identification of critical life-stage habitats is key to successful conservation efforts. Juveniles of some species show great flexibility in habitat use while other species rely heavily on a …","",""
0,"B Everett, J Groeneveld, S Fennessy, N Dias, O Filipe…","Along the coast and across the channel–trends in diversity of crustaceans and fishes caught by deep-water trawl surveys in the SW Indian Ocean",,"researchgate.net","","https://www.researchgate.net/profile/Bernadine-Everett/publication/283507577_Along_the_coast_and_across_the_channel_-_trends_in_diversity_of_crustaceans_and_fishes_caught_by_deep-water_trawl_surveys_in_the_SW_Indian_Ocean/links/563c589008ae34e98c486fba/Along-the-coast-and-across-the-channel-trends-in-diversity-of-crustaceans-and-fishes-caught-by-deep-water-trawl-surveys-in-the-SW-Indian-Ocean.pdf","",14,"2021-11-12 07:15:09","PDF","","","",,,,,0,0.00,0,6,,"Along the coast and across the channel – trends in diversity of crustaceans and fishes caught by deep-water trawl surveys in t Page 1 Along the coast and across the channel – trends in …","https://www.researchgate.net/profile/Bernadine-Everett/publication/283507577_Along_the_coast_and_across_the_channel_-_trends_in_diversity_of_crustaceans_and_fishes_caught_by_deep-water_trawl_surveys_in_the_SW_Indian_Ocean/links/563c589008ae34e98c486fba/Along-the-coast-and-across-the-channel-trends-in-diversity-of-crustaceans-and-fishes-caught-by-deep-water-trawl-surveys-in-the-SW-Indian-Ocean.pdf",""
0,"J Paulsen, CA Rohner, H Reuter…","Fine-scale behaviour of whale sharks off Mafia Island, Tanzania",2016,"The 4th International …","qscience.com","https://www.qscience.com/content/papers/10.5339/qproc.2016.iwsc4.40","",15,"2021-11-12 07:15:09","","10.5339/qproc.2016.iwsc4.40","","",,,,,0,0.00,0,4,5,"Background Mafia Island off the Tanzanian coast features a year-round resident whale shark population. Many of the sharks are seen regularly, making this a great natural laboratory to …","",""
0,"I Nagelkerken, YD Mgaya, M Igulu, G Van der Velde","Mangrove Fish Production is Largely Fuelled by External Food Sources: A Stable Isotope Analysis of Fishes at the Individual, Species, and Community Levels from …",2013,"","196.44.162.10","http://196.44.162.10:8080/xmlui/handle/123456789/531","",16,"2021-11-12 07:15:09","","","","",,,,,0,0.00,0,4,8,"Coastal ecosystems are energetically connected through passive transport of nutrients but also by migrations of motile organisms. Mangroves are highly productive tropical …","",""
0,"R Fraaije, H Ligtenberg, I Nagelkerken, M Igulu…","The potential role of visual cues for microhabitat selection during the early life phase of a coral reef fish (Lutjanus fulviflamma).",2011,"","196.44.162.10","http://196.44.162.10:8080/xmlui/handle/123456789/266","",17,"2021-11-12 07:15:09","","","","",,,,,0,0.00,0,5,10,"Pelagic larvae of various coral reef fish species are known to be active swimmers that can carefully select preferred microhabitat during settlement. Fish larvae may use visual …","",""
0,"I Nagelkerken, M Igulu, M Schippers, R van Eck…","Orientation from open water to settlement habitats by coral reef fish: behavioral flexibility in the use of multiple reliable cues",2013,"","196.44.162.10","http://196.44.162.10:8080/xmlui/handle/123456789/516","",18,"2021-11-12 07:15:09","","","","",,,,,0,0.00,0,5,8,"Most coastal marine organisms have a dispersive oceanic larval stage, during which they must be able to distinguish and respond to relevant environmental cues when settling into …","",""
0,"AK Saha, J Kashaigili, F Mashingia, H Kiwango…","Freshwater Inflows for the Wami River Estuary, Saadani National Park, Tanzania",,"repository.costech.or.tz","","http://repository.costech.or.tz/handle/20.500.11810/2955","",19,"2021-11-12 07:15:09","CITATION","","","",,,,,0,0.00,0,5,,"Freshwater Inflows for the Wami River Estuary, Saadani National Park, Tanzania COSTECH Integrated Repository Freshwater Inflows for the Wami River Estuary, Saadani National Park …","",""
0,"F Mashingia, AK Saha, M Igulu, J Kashaigili, P Hyera…","Freshwater Inflows for the Wami River Estuary, Saadani National Park, Tanzania",2016,"","196.44.162.10","http://196.44.162.10:8080/xmlui/handle/20.500.11810/2955","",20,"2021-11-12 07:15:09","CITATION","","","",,,,,0,0.00,0,6,5,"Freshwater Inflows for the Wami River Estuary, Saadani National Park, Tanzania University of Dar es Salaam Research Repository Freshwater Inflows for the Wami River Estuary, Saadani National …","",""
