Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
155,"IS Semesi, J Kangwe, M Björk","Alterations in seawater pH and CO2 affect calcification and photosynthesis in the tropical coralline alga, Hydrolithon sp.(Rhodophyta)",2009,"Estuarine, Coastal and Shelf Science","Elsevier","https://www.sciencedirect.com/science/article/pii/S0272771409001735","https://scholar.google.com/scholar?cites=15916550998755984915&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:03:48","","","","",,,,,155,12.92,52,3,12,"Calcification in the marine environment is the basis for the accretion of carbonate in structures such as coral reefs, algal ridges and carbonate sands. Among the organisms …","","https://scholar.google.com/scholar?q=related:E0Y9ys3y4twJ:scholar.google.com/&scioq=author:kangwe&hl=en&as_sdt=2007"
156,"M Gullström, B Lundén, M Bodin, J Kangwe…","Assessment of changes in the seagrass-dominated submerged vegetation of tropical Chwaka Bay (Zanzibar) using satellite remote sensing",2006,"Estuarine, Coastal and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0272771405003860","https://scholar.google.com/scholar?cites=9241271796033983165&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:03:48","","","","",,,,,156,10.40,31,5,15,"Spatial and temporal dynamics of submerged aquatic vegetation (SAV) cover were studied in the relatively pristine and seagrass-dominated area of Chwaka Bay, Zanzibar (Tanzania) …","","https://scholar.google.com/scholar?q=related:vRJxc7yXP4AJ:scholar.google.com/&scioq=author:kangwe&hl=en&as_sdt=2007"
15,"GW Maneveldt, PW Gabrielson, J Kangwe","Sporolithon indopacificum sp. nov.(Sporolithales, Rhodophyta) from tropical western Indian and western Pacific oceans: First report, confirmed by DNA …",2017,"Phytotaxa","herbarium.unc.edu","http://www.herbarium.unc.edu/Collectors/Gabrielson_files/2017Sindopacificum.pdf","https://scholar.google.com/scholar?cites=1358156247245301004&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:03:48","PDF","","","",,,,,15,3.75,5,3,4,"Sporolithon indopacificum sp. nov. is characterized from Zanzibar Island, Tanzania. rbcL and psbA markers indicate that the species is unique compared to all other Sporolithon …","http://www.herbarium.unc.edu/Collectors/Gabrielson_files/2017Sindopacificum.pdf","https://scholar.google.com/scholar?q=related:DKWIOukj2RIJ:scholar.google.com/&scioq=author:kangwe&hl=en&as_sdt=2007"
6,"…, PW Gabrielson, RA Townsend, J Kangwe","Lithophyllum longense (Corallinales, Rhodophyta): a species with a widespread Indian Ocean distribution.",2019,"Phytotaxa","cabdirect.org","https://www.cabdirect.org/cabdirect/abstract/20203213064","https://scholar.google.com/scholar?cites=606481542796154925&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 06:03:48","","","","",,,,,6,3.00,2,4,2,"see more details. Both plastid markers psbA and rbcL confirm that L. longense is a distinct species despite its being morpho-anatomically nearly indistinguishable from several other …","","https://scholar.google.com/scholar?q=related:LRgy-b-naggJ:scholar.google.com/&scioq=author:kangwe&hl=en&as_sdt=2007"
5,"…, R Kayanda, C Mwakosya, SJ Kangwe…","Assessment of the impacts of artisanal fishing gears on nearshore fish stocks along coastal waters off the Kilwa–Mafia seascape in Tanzania",2019,"Regional Studies in …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2352485518300781","https://scholar.google.com/scholar?cites=5080718121236570738&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 06:03:48","","","","",,,,,5,2.50,1,5,2,"Small-scale fisheries (SSF) in many parts of the worlds are known to support the livelihoods of millions of coastal communities. Also, SSF are characterized by being multispecies and …","https://www.researchgate.net/profile/Ismael-Kimirei/publication/331298926_Accepted_Manuscript_Assessment_of_the_impacts_of_artisanal_fishing_gears_on_nearshore_fish_stocks_along_coastal_waters_off_the_Kilwa-Mafia_seascape_in_Tanzania_Assessment_of_the_impacts_of_artisanal_f/links/5c70fab4299bf1268d1e2821/Accepted-Manuscript-Assessment-of-the-impacts-of-artisanal-fishing-gears-on-nearshore-fish-stocks-along-coastal-waters-off-the-Kilwa-Mafia-seascape-in-Tanzania-Assessment-of-the-impacts-of-artisanal-f.pdf","https://scholar.google.com/scholar?q=related:ciIyZDZWgkYJ:scholar.google.com/&scioq=author:kangwe&hl=en&as_sdt=2007"
8,"…, B Kuguru, M Igulu, M Chande, S Kangwe…","Spatial variation in benthopelagic fish assemblage structure along coastal East Africa from recent bottom trawl surveys",2016,"Regional Studies in …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2352485516300433","https://scholar.google.com/scholar?cites=12121625865866188289&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 06:03:48","","","","",,,,,8,1.60,1,6,5,"The structure of benthopelagic fish assemblages of the continental shelves and upper slopes along coastal East Africa (Kenya and Tanzania) was studied based on data from …","https://www.academia.edu/download/55238379/Kaunda-Arara_et_al_2016.PDF","https://scholar.google.com/scholar?q=related:ARYke4CqOKgJ:scholar.google.com/&scioq=author:kangwe&hl=en&as_sdt=2007"
12,"JW Kangwe","Calcareous algae of a tropical lagoon: primary productivity, calcification and carbonate production",2005,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:199141","https://scholar.google.com/scholar?cites=11016778474157362633&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 06:03:48","HTML","","","",,,,,12,0.75,12,1,16,"The green algae of the genus Halimeda Lamouroux (Chlorophyta, Bryopsidales) and the encrusting looselying red coralline algae (Rhodophyta, Corallinales) known as rhodoliths …","https://www.diva-portal.org/smash/record.jsf?pid=diva2:199141","https://scholar.google.com/scholar?q=related:yc1RIad145gJ:scholar.google.com/&scioq=author:kangwe&hl=en&as_sdt=2007"
10,"JW Kangwe, F Hellblom, AK Semesi…","Heavy metal inhibition of calcification and photosynthetic rates of the geniculate calcareous algae Amphiroa tribulus.",2001,"WIOMSA Book …","researchgate.net","https://www.researchgate.net/profile/Mats-Bjoerk/publication/230734708_Heavy_metal_inhibition_of_calcification_and_photosynthetic_rates_of_the_geniculate_calcareous_alga_Amphiroa_tribulus/links/00b7d535e12f3639ab000000/Heavy-metal-inhibition-of-calcification-and-photosynthetic-rates-of-the-geniculate-calcareous-alga-Amphiroa-tribulus.pdf","https://scholar.google.com/scholar?cites=4597160821990690068&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 06:03:48","PDF","","","",,,,,10,0.50,3,4,20,"ABSTRACT Amphiroa tribulus (Rhodophyceae, Corallinaceae) is common in the reefs near Zanzibar town, but it may be threatened by high levels of pollutants from sewage outlets of …","https://www.researchgate.net/profile/Mats-Bjoerk/publication/230734708_Heavy_metal_inhibition_of_calcification_and_photosynthetic_rates_of_the_geniculate_calcareous_alga_Amphiroa_tribulus/links/00b7d535e12f3639ab000000/Heavy-metal-inhibition-of-calcification-and-photosynthetic-rates-of-the-geniculate-calcareous-alga-Amphiroa-tribulus.pdf","https://scholar.google.com/scholar?q=related:FA0ZKmllzD8J:scholar.google.com/&scioq=author:kangwe&hl=en&as_sdt=2007"
6,"…, RS Arthurton, A Dubi, S Gachuiri, J Kangwe…","Shoreline change in Tanzania and Kenya: Manual for assessment and design of mitigation strategies",2015,"WIOMSA Book …","vliz.be","http://www.vliz.be/nl/kaarten-bibliotheek?module=ref&refid=247538","https://scholar.google.com/scholar?cites=13292006745552591651&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-12 06:03:48","","","","",,,,,6,1.00,1,6,6,"The aim of the manual is to raise awareness of the complex causes of, and the issues and risks associated with, shoreline change at local and national scales in Tanzania and Kenya …","","https://scholar.google.com/scholar?q=related:IxvCBLaxdrgJ:scholar.google.com/&scioq=author:kangwe&hl=en&as_sdt=2007"
3,"JS Sululu, SGM Ndaro, SJ Kangwe","The food and feeding habits of the Delagoa threadfin bream, Nemipterus bipunctatus (Valenciennes, 1830), from the coastal waters around Dar es Salaam, Tanzania",2017,"Western Indian Ocean Journal of …","ajol.info","https://www.ajol.info/index.php/wiojms/article/view/155193","https://scholar.google.com/scholar?cites=7613279150115273752&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-12 06:03:48","","","","",,,,,3,0.75,1,3,4,"Nemipterus bipunctatus is among the Nemipterids that support artisanal fisheries throughout most of the Western Indian Ocean (WIO) region. Despite its economic importance …","https://www.ajol.info/index.php/wiojms/article/view/155193/153689","https://scholar.google.com/scholar?q=related:GDyC1gzNp2kJ:scholar.google.com/&scioq=author:kangwe&hl=en&as_sdt=2007"
