Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"CS Nyamweya, V Natugonza, A Taabu-Munyaho…","A century of drastic change: Human-induced changes of Lake Victoria fisheries and ecology",2020,"Fisheries …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0165783620300813","https://scholar.google.com/scholar?cites=11863872564094896706&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:20:11","","","","",,,,,11,11.00,3,4,1,"Lake Victoria biophysical and geochemical status has changed dramatically within an unprecedentedly short time scale driven by human actions. These actions can be broadly …","https://www.researchgate.net/profile/Richard-Mangeni/publication/341977434_A_century_of_drastic_change_Human-induced_changes_of_Lake_Victoria_fisheries_and_ecology/links/5fd8a4b292851c13fe895a98/A-century-of-drastic-change-Human-induced-changes-of-Lake-Victoria-fisheries-and-ecology.pdf","https://scholar.google.com/scholar?q=related:QgphUz3xpKQJ:scholar.google.com/&scioq=author:%22benedicto+kashindye%22&hl=en&as_sdt=2007"
26,"BB Kashindye, P Nsinda, R Kayanda, GW Ngupula…","Environmental impacts of cage culture in Lake Victoria: the case of Shirati Bay-Sota, Tanzania",2015,"SpringerPlus","Springer","https://link.springer.com/article/10.1186/s40064-015-1241-y","https://scholar.google.com/scholar?cites=11497272407440473241&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:20:11","HTML","10.1186/s40064-015-1241-y","","",,,,,26,4.33,5,5,6,"The experimental cage culture was conducted at Shirati bay, Lake Victoria from February to August 2013, to investigate the impacts of the small scale cage culture on the environment …","https://link.springer.com/article/10.1186/s40064-015-1241-y","https://scholar.google.com/scholar?q=related:mbxj41aEjp8J:scholar.google.com/&scioq=author:%22benedicto+kashindye%22&hl=en&as_sdt=2007"
3,"R Proud, R Mangeni-Sande, RJ Kayanda…","Automated classification of schools of the silver cyprinid Rastrineobola argentea in Lake Victoria acoustic survey data using random forests",2020,"ICES Journal of …","academic.oup.com","https://academic.oup.com/icesjms/article-abstract/77/4/1379/5835268","https://scholar.google.com/scholar?cites=17212071786049246071&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:20:11","","","","",,,,,3,3.00,1,4,1,"Biomass of the schooling fish Rastrineobola argentea (dagaa) is presently estimated in Lake Victoria by acoustic survey following the simple “rule” that dagaa is the source of most echo …","https://academic.oup.com/icesjms/article/77/4/1379/5835268","https://scholar.google.com/scholar?q=related:dxP9jxiQ3e4J:scholar.google.com/&scioq=author:%22benedicto+kashindye%22&hl=en&as_sdt=2007"
14,"V Natugonza, R Ogutu-Ohwayo, L Musinguzi…","Exploring the structural and functional properties of the Lake Victoria food web, and the role of fisheries, using a mass balance model",2016,"Ecological …","Elsevier","https://www.sciencedirect.com/science/article/pii/S030438001630518X","https://scholar.google.com/scholar?cites=15727653141856613324&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 06:20:11","","","","",,,,,14,2.80,4,4,5,"Human and environmental factors have greatly challenged Lake Victoria ecosystem, especially in the last four decades. However, the lake continues to support the World's …","https://www.academia.edu/download/49733355/Natugonza-et-al-2016-Ecological-Modelling.pdf","https://scholar.google.com/scholar?q=related:zHPrLjTZQ9oJ:scholar.google.com/&scioq=author:%22benedicto+kashindye%22&hl=en&as_sdt=2007"
2,"H Nozaki, R Matsuzaki, BB Kashindye, CN Ezekiel…","Morphology, phylogeny, and taxonomy of two species of colonial volvocine green algae from Lake Victoria, Tanzania",2019,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224269","https://scholar.google.com/scholar?cites=4180766971907325450&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 06:20:11","HTML","","","",,,,,2,1.00,0,5,2,"The biodiversity and taxonomy of colonial volvocine green algae are important in ancient lakes in tropical regions. However, few taxonomic studies of these algae have been …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224269","https://scholar.google.com/scholar?q=related:Cr44CWkRBToJ:scholar.google.com/&scioq=author:%22benedicto+kashindye%22&hl=en&as_sdt=2007"
2,"MV Elison, E Mlaponi, MJ Musiba…","Changes in the Diet of Synodontis victoriae and Synodontis afrofischeri in Lake Victoria, Tanzanian waters.",2018,"African Journal of …","researchgate.net","https://www.researchgate.net/profile/Benedicto-Kashindye/publication/325477948_Changes_in_the_Diet_of_Synodontis_victoriae_and_Synodontis_afrofischeri_in_Lake_Victoria_Tanzanian_waters/links/5e7b134592851cdfca2f6d2d/Changes-in-the-Diet-of-Synodontis-victoriae-and-Synodontis-afrofischeri-in-Lake-Victoria-Tanzanian-waters.pdf","https://scholar.google.com/scholar?cites=13428277802537115864&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 06:20:11","PDF","","","",,,,,2,0.67,1,4,3,"The diet of Synodontis victoriae and S. afrofischeri was investigated from samples collected for stomach analysis in May 2013, October 2013, and April 2014 in the Tanzanian waters of …","https://www.researchgate.net/profile/Benedicto-Kashindye/publication/325477948_Changes_in_the_Diet_of_Synodontis_victoriae_and_Synodontis_afrofischeri_in_Lake_Victoria_Tanzanian_waters/links/5e7b134592851cdfca2f6d2d/Changes-in-the-Diet-of-Synodontis-victoriae-and-Synodontis-afrofischeri-in-Lake-Victoria-Tanzanian-waters.pdf","https://scholar.google.com/scholar?q=related:2OB87YPTWroJ:scholar.google.com/&scioq=author:%22benedicto+kashindye%22&hl=en&as_sdt=2007"
1,"BB Kashindye, HÞ Valtýsson, S Jónsson","Assessment of dagaa (Rastrineobola argentea) stocks and effects of environment in Lake Victoria, East Africa",2015,"","grocentre.is","https://www.grocentre.is/static/gro/publication/325/document/benedicto15aprf.pdf","https://scholar.google.com/scholar?cites=6182455978024315446&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 06:20:11","PDF","","","",,,,,1,0.17,0,3,6,"The abundance of dagaa (Rastrineobola argentea) in Lake Victoria has been reported to fluctuate over the long period. Several studies have accounted for this fluctuation being …","https://www.grocentre.is/static/gro/publication/325/document/benedicto15aprf.pdf","https://scholar.google.com/scholar?q=related:NiqhufR-zFUJ:scholar.google.com/&scioq=author:%22benedicto+kashindye%22&hl=en&as_sdt=2007"
0,"FL Mhagama, MJ Musiba, MA Salehe…","The socio-economic implications of illegal fishing practices in Lake Victoria: a case study of three Villages in Tanzania",2018,"African Journal of …","academia.edu","https://www.academia.edu/download/57232568/11._Mhagama_-_illegal_fishing.pdf","",8,"2021-11-12 06:20:11","PDF","","","",,,,,0,0.00,0,4,3,"Illegal fishing is a threat to the sustainability of fisheries in Lake Victoria and this paper examines the influence of socio-economic factors on illegal fishing practices. The study was …","https://www.academia.edu/download/57232568/11._Mhagama_-_illegal_fishing.pdf","https://scholar.google.com/scholar?q=related:2ZG1aKqIiFMJ:scholar.google.com/&scioq=author:%22benedicto+kashindye%22&hl=en&as_sdt=2007"
1,"BB Kashindye","Seasonal and spatial fluctuations of Nile perch abundance and biomass in Mwanza Gulf, Lake Victoria",2011,"","UNESCO-IHE","","https://scholar.google.com/scholar?cites=16217413518038521973&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-12 06:20:11","CITATION","","","",,,,,1,0.10,1,1,10,"","","https://scholar.google.com/scholar?q=related:ddhNzqvTD-EJ:scholar.google.com/&scioq=author:%22benedicto+kashindye%22&hl=en&as_sdt=2007"
0,"GW Ngupula, BB Kashindye","Spatial distribution of soluble reactive silica (SRSi) in the Tanzanian waters of Lake Victoria and its implications for diatom...",,"","","","",10,"2021-11-12 06:20:11","CITATION","","","",,,,,0,0.00,0,2,,"","","https://scholar.google.com/scholar?q=related:09r07gbcyZ0J:scholar.google.com/&scioq=author:%22benedicto+kashindye%22&hl=en&as_sdt=2007"
