Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
145,"KPC Goudswaard, F Witte, EFB Katunzi","The invasion of an introduced predator, Nile perch (Lates niloticus, L.) in Lake Victoria (East Africa): chronology and causes",2008,"Environmental Biology of Fishes","Springer","https://link.springer.com/article/10.1007/s10641-006-9180-7","https://scholar.google.com/scholar?cites=9591108476360312742&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 07:16:03","","10.1007/s10641-006-9180-7","","",,,,,145,11.15,48,3,13,"Nile perch, a large predatory fish, was introduced into Lake Victoria in 1954. The upsurge of Nile perch in Lake Victoria was first observed in the Nyanza Gulf, Kenya, in 1979. In …","https://core.ac.uk/download/pdf/29256598.pdf","https://scholar.google.com/scholar?q=related:psex51d2GoUJ:scholar.google.com/&scioq=author:%22katunzi+efb%22&hl=en&as_sdt=2007"
110,"PC Goudswaard, F Witte, EFB Katunzi","The tilapiine fish stock of Lake Victoria before and after the Nile perch upsurge",2002,"Journal of Fish Biology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1095-8649.2002.tb02413.x","https://scholar.google.com/scholar?cites=647462901902320437&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 07:16:03","","10.1111/j.1095-8649.2002.tb02413.x","","",,,,,110,5.79,37,3,19,"Since the beginning of fisheries in Lake Victoria, two native tilapiine species, Oreochromis esculentus and Oreochromis variabilis, were the main target of the local fishermen. A …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1095-8649.2002.tb02413.x","https://scholar.google.com/scholar?q=related:NaMhMRRA_AgJ:scholar.google.com/&scioq=author:%22katunzi+efb%22&hl=en&as_sdt=2007"
49,"MA Kishe-Machumu, F Witte, JH Wanink, EFB Katunzi","The diet of Nile perch, Lates niloticus (L.) after resurgence of haplochromine cichlids in the Mwanza Gulf of Lake Victoria",2012,"Hydrobiologia","Springer","https://link.springer.com/article/10.1007/s10750-011-0822-1","https://scholar.google.com/scholar?cites=17886463848470754010&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 07:16:03","HTML","10.1007/s10750-011-0822-1","","",,,,,49,5.44,12,4,9,"Haplochromine cichlids used to be the main prey of the introduced Nile perch, Lates niloticus, in Lake Victoria. After depletion of the haplochromine stocks at the end of the …","https://link.springer.com/article/10.1007/s10750-011-0822-1","https://scholar.google.com/scholar?q=related:2jL3hxp8OfgJ:scholar.google.com/&scioq=author:%22katunzi+efb%22&hl=en&as_sdt=2007"
54,"EFB Katunzi, WLT Van Densen, JH Wanink, F Witte","Spatial and seasonal patterns in the feeding habits of juvenile Lates niloticus (L.), in the Mwanza Gulf of Lake Victoria",2006,"Hydrobiologia","Springer","https://link.springer.com/article/10.1007/s10750-006-0033-3","https://scholar.google.com/scholar?cites=5137346440977947920&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 07:16:03","","10.1007/s10750-006-0033-3","","",,,,,54,3.60,14,4,15,"Flexibility in the feeding habits of juvenile Nile perch (1–30 cm total length) was studied from September 1988 to September 1989 at four sites (depth range: 1–25 m) in the Mwanza Gulf …","https://core.ac.uk/download/pdf/29271528.pdf","https://scholar.google.com/scholar?q=related:EJ2bhl6FS0cJ:scholar.google.com/&scioq=author:%22katunzi+efb%22&hl=en&as_sdt=2007"
52,"EFB Katunzi, J Zoutendijk…","Lost zooplanktivorous cichlid from Lake Victoria reappears with a new trade",2003,"… of Freshwater Fish","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1600-0633.2003.00023.x","https://scholar.google.com/scholar?cites=15158570400525847291&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 07:16:03","","10.1046/j.1600-0633.2003.00023.x","","",,,,,52,2.89,17,3,18,"The zooplanktivorous cichlid Haplochromis pyrrhocephalus, which was one of the most common haplochromine species in the Mwanza Gulf of Lake Victoria, had almost completely …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1600-0633.2003.00023.x","https://scholar.google.com/scholar?q=related:-woYOncPXtIJ:scholar.google.com/&scioq=author:%22katunzi+efb%22&hl=en&as_sdt=2007"
22,"AJ Rothuis, MNJ Turenhout, A van Duijn, AJ Roem…","Aquaculture in East Africa: a regional approach",2014,"","library.wur.nl","https://library.wur.nl/WebQuery/wurpubs/fulltext/324139","https://scholar.google.com/scholar?cites=10019238382124704490&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 07:16:03","PDF","","","",,,,,22,3.14,4,5,7,"1.1 Background Aquaculture has the potential to make a significant contribution to food security and income generation. This has been recognised by multilateral organisations …","https://library.wur.nl/WebQuery/wurpubs/fulltext/324139","https://scholar.google.com/scholar?q=related:6qKAbjl8C4sJ:scholar.google.com/&scioq=author:%22katunzi+efb%22&hl=en&as_sdt=2007"
19,"MJ Musiba, GW Ngupula, BB Kashindye…","Performance of locally formulated feeds for rearing of African catfish in Tanzania",2014,"African Crop Science …","ajol.info","https://www.ajol.info/index.php/acsj/article/view/108550","https://scholar.google.com/scholar?cites=6139581381091088981&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 07:16:03","","","","",,,,,19,2.71,5,4,7,"PERFORMANCE OF LOCALLY FORMULATED FEEDS FOR REARING OF AFRICAN CATFISH IN TANZANIA ABSTRACT Key Words: Clari Page 1 African Crop Science Journal, Vol. 22 …","https://www.ajol.info/index.php/acsj/article/download/108550/98351","https://scholar.google.com/scholar?q=related:VVqJubwsNFUJ:scholar.google.com/&scioq=author:%22katunzi+efb%22&hl=en&as_sdt=2007"
32,"KPC Goudswaard, JH Wanink, F Witte, EFB Katunzi…","Diel vertical migration of major fish-species in Lake Victoria, East Africa",2004,"Hydrobiologia","Springer","https://link.springer.com/article/10.1023/B:hydr.0000018179.80116.93","https://scholar.google.com/scholar?cites=15507733322972592971&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 07:16:03","","10.1023/B:hydr.0000018179.80116.93","","",,,,,32,1.88,6,5,17,"Understanding of migration patterns is essential in the interpretation of hydro-acoustic stock assessment data of partly demersal partly pelagic fish stocks. In this paper we provide this …","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.577.5120&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:S_tEM0uJNtcJ:scholar.google.com/&scioq=author:%22katunzi+efb%22&hl=en&as_sdt=2007"
36,"W Ligtvoet, PJ Mous, OC Mkumbo…","The Lake Victoria fish stocks and fisheries.",1995,"Fish stocks and …","library.wur.nl","https://library.wur.nl/WebQuery/wurpubs/fulltext/350916","https://scholar.google.com/scholar?cites=7881270584572432044&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-12 07:16:03","PDF","","","",,,,,36,1.38,9,4,26,"In this chapter a review is given of the recent changes in the fish communities of Lake Victoria. The abundance and spatial distribution of the currently most important commercial …","https://library.wur.nl/WebQuery/wurpubs/fulltext/350916","https://scholar.google.com/scholar?q=related:rM4sBNflX20J:scholar.google.com/&scioq=author:%22katunzi+efb%22&hl=en&as_sdt=2007"
28,"JH Wanink, EFB Katunzi, KPC Goudswaard…","The shift to smaller zooplankton in Lake Victoria cannot be attributed to the 'sardine'Rastrineobola argentea (Cyprinidae)",2002,"Aquatic Living …","cambridge.org","https://www.cambridge.org/core/journals/aquatic-living-resources/article/shift-to-smaller-zooplankton-in-lake-victoria-cannot-be-attributed-to-the-sardine-rastrineobola-argentea-cyprinidae/B863F8E41D3CEE01EA5F6024E8F70FA4","https://scholar.google.com/scholar?cites=5555628301531328127&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-12 07:16:03","","","","",,,,,28,1.47,7,4,19,"After the population increase of introduced Nile perch (Lates niloticus) in Lake Victoria, a decrease in the relative abundance of herbivorous cladocerans and calanoids was reported …","https://www.alr-journal.org/articles/alr/pdf/2002/01/alr2103.pdf","https://scholar.google.com/scholar?q=related:f67hWIGOGU0J:scholar.google.com/&scioq=author:%22katunzi+efb%22&hl=en&as_sdt=2007"
