Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
116,"IA Kimirei, I Nagelkerken, B Griffioen, C Wagner…","Ontogenetic habitat use by mangrove/seagrass-associated coral reef fishes shows flexibility in time and space",2011,"Estuarine, Coastal and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0272771410004270","https://scholar.google.com/scholar?cites=9726903579718442707&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-08 08:56:12","","","","",,,,,116,11.60,23,5,10,"Tropical shallow-water habitats such as mangroves and seagrass beds are widely acknowledged as important juvenile habitats for various coral reef fish species, most of …","https://www.academia.edu/download/51046270/j.ecss.2010.12.01620161224-26432-15e6mox.pdf","https://scholar.google.com/scholar?q=related:096XOUXn_IYJ:scholar.google.com/&scioq=author:%22ismael+kimirei%22&hl=en&as_sdt=2007"
103,"MM Igulu, I Nagelkerken, M Dorenbosch, MGG Grol…","Mangrove habitat use by juvenile reef fish: meta-analysis reveals that tidal regime matters more than biogeographic region",2014,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0114715","https://scholar.google.com/scholar?cites=1814118207064625442&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-08 08:56:12","HTML","","","",,,,,103,14.71,21,5,7,"Identification of critical life-stage habitats is key to successful conservation efforts. Juveniles of some species show great flexibility in habitat use while other species rely heavily on a …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0114715","https://scholar.google.com/scholar?q=related:ItGn0OUKLRkJ:scholar.google.com/&scioq=author:%22ismael+kimirei%22&hl=en&as_sdt=2007"
84,"IA Kimirei, I Nagelkerken, YD Mgaya, CM Huijbers","The mangrove nursery paradigm revisited: otolith stable isotopes support nursery-to-reef movements by Indo-Pacific fishes",2013,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0066320","https://scholar.google.com/scholar?cites=1229728638106073472&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-08 08:56:12","HTML","","","",,,,,84,10.50,21,4,8,"Mangroves and seagrass beds have long been perceived as important nurseries for many fish species. While there is growing evidence from the Western Atlantic that mangrove …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0066320","https://scholar.google.com/scholar?q=related:gPlvVK7fEBEJ:scholar.google.com/&scioq=author:%22ismael+kimirei%22&hl=en&as_sdt=2007"
7,"J Junker, JA Rick, PB McIntyre, I Kimirei…","Structural genomic variation leads to genetic differentiation in Lake Tanganyika's sardines",2020,"Molecular …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.15559","https://scholar.google.com/scholar?cites=824681292676097551&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-08 08:56:12","","10.1111/mec.15559","","",,,,,7,7.00,1,5,1,"Identifying patterns in genetic structure and the genetic basis of ecological adaptation is a core goal of evolutionary biology and can inform the management and conservation of …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/mec.15559","https://scholar.google.com/scholar?q=related:D2beLkTbcQsJ:scholar.google.com/&scioq=author:%22ismael+kimirei%22&hl=en&as_sdt=2007"
45,"P Mziray, IA Kimirei","Bioaccumulation of heavy metals in marine fishes (Siganus sutor, Lethrinus harak, and Rastrelliger kanagurta) from Dar es Salaam Tanzania",2016,"Regional studies in marine science","Elsevier","https://www.sciencedirect.com/science/article/pii/S2352485516300780","https://scholar.google.com/scholar?cites=11011228592165348693&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-08 08:56:12","","","","",,,,,45,9.00,23,2,5,"Toxic metals that bioaccumulate and magnify along food chains are a concern to human health worldwide. This study determined heavy metal concentrations in three commercial …","https://www.academia.edu/download/46467543/Mziray_and_Kimirei_uncorrected_proofs_RSMA.pdf","https://scholar.google.com/scholar?q=related:VeWjiBC-z5gJ:scholar.google.com/&scioq=author:%22ismael+kimirei%22&hl=en&as_sdt=2007"
16,"M Semba, R Lumpkin, I Kimirei, Y Shaghude…","Seasonal and spatial variation of surface current in the Pemba Channel, Tanzania",2019,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0210303","https://scholar.google.com/scholar?cites=8902601813134290317&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-08 08:56:12","HTML","","","",,,,,16,8.00,3,5,2,"The surface current speeds within the Pemba channel were examined using 24 years of drifter data received from the Global Drifter Program. This study aimed to uncover varying …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0210303","https://scholar.google.com/scholar?q=related:jS2eWC5ljHsJ:scholar.google.com/&scioq=author:%22ismael+kimirei%22&hl=en&as_sdt=2007"
4,"JS Lucas, MM McGlue, IA Kimirei, MJ Soreghan…","Geophysical benthic habitat mapping in Lake Tanganyika (Tanzania): Implications for spatial planning of small-scale coastal protected areas",2020,"Journal of Great Lakes …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0380133020300265","https://scholar.google.com/scholar?cites=16417566942667681261&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-08 08:56:12","","","","",,,,,4,4.00,1,5,1,"Optimizing community-based fisheries management to enhance both food resource and biodiversity conservation in large lakes requires detailed knowledge of benthic habitats …","https://www.researchgate.net/profile/Michael_McGlue/publication/338970085_Geophysical_benthic_habitat_mapping_in_Lake_Tanganyika_Tanzania_Implications_for_spatial_planning_of_small-scale_coastal_protected_areas/links/60acfe1d299bf13438e4a7d5/Geophysical-benthic-habitat-mapping-in-Lake-Tanganyika-Tanzania-Implications-for-spatial-planning-of-small-scale-coastal-protected-areas.pdf","https://scholar.google.com/scholar?q=related:7S3nfSbq1uMJ:scholar.google.com/&scioq=author:%22ismael+kimirei%22&hl=en&as_sdt=2007"
21,"IA Kimirei, I Nagelkerken, N Slooter…","Demography of fish populations reveals new challenges in appraising juvenile habitat values",2015,"Marine Ecology …","int-res.com","https://www.int-res.com/abstracts/meps/v518/p225-237/","https://scholar.google.com/scholar?cites=18433333568637987338&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-08 08:56:12","","","","",,,,,21,3.50,5,4,6,"Understanding the 'value'of nursery habitats is increasingly perceived as essential to conservation management of marine ecosystems globally. Yet, most work on this topic has …","http://www.int-res.com/articles/meps_oa/m518p225.pdf","https://scholar.google.com/scholar?q=related:CmrzeDdb0P8J:scholar.google.com/&scioq=author:%22ismael+kimirei%22&hl=en&as_sdt=2007"
26,"JP Descy, AL Tarbe, S Stenuite, S Pirlot…","Drivers of phytoplankton diversity in Lake Tanganyika",2010,"Fifty years after the '' …","Springer","https://link.springer.com/chapter/10.1007/978-90-481-9908-2_4","https://scholar.google.com/scholar?cites=9200520462846867834&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-08 08:56:12","","10.1007/978-90-481-9908-2_4","","",,,,,26,2.36,5,5,11,"In keeping with the theme of this volume, the present article commemorates the 50 years of Hutchinson's (Am Nat 93: 145–159, 1959) famous publication on the 'very general question …","https://www.academia.edu/download/7730187/drivers%20of%20phytoplankton%20diversity%20in%20lake%20tanganyika.pdf","https://scholar.google.com/scholar?q=related:ejmzUJ3Qrn8J:scholar.google.com/&scioq=author:%22ismael+kimirei%22&hl=en&as_sdt=2007"
11,"J Busch, M Soreghan, K de Beurs, M McGlue…","Linking watershed disturbance with nearshore sedimentation and the shell beds of Lake Tanganyika (Mahale Mountains, Tanzania)",2018,"Environmental Earth …","Springer","https://link.springer.com/article/10.1007/s12665-018-7644-7","https://scholar.google.com/scholar?cites=13403395344048627428&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-08 08:56:12","","10.1007/s12665-018-7644-7","","",,,,,11,3.67,2,5,3,"Extensive deposits of shell-rich sediments in the nearshore environment of Lake Tanganyika, Africa, form a unique habitat for a diverse group of endemic gastropods …","https://www.geo.arizona.edu/sites/default/files/data/busch2018_article_linkingwatersheddisturbancewit.pdf","https://scholar.google.com/scholar?q=related:5J4kGg1tAroJ:scholar.google.com/&scioq=author:%22ismael+kimirei%22&hl=en&as_sdt=2007"
