Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
54,"MD McGee, SR Borstein, JI Meier, DA Marques…","The ecological and genomic basis of explosive adaptive radiation",2020,"Nature","nature.com","https://www.nature.com/articles/s41586-020-2652-7","https://scholar.google.com/scholar?cites=13945942443905589161&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-11 22:23:06","","","","",,,,,54,54.00,11,5,1,"Speciation rates vary considerably among lineages, and our understanding of what drives the rapid succession of speciation events within young adaptive radiations remains …","https://www.eawag.ch/fileadmin/Domain1/Abteilungen/fishec/Publikationen/2020/McGee_et_al_2020_Nature.pdf","https://scholar.google.com/scholar?q=related:qR8Jk8PwicEJ:scholar.google.com/&scioq=author:%22mary+kishe%22&hl=en&as_sdt=2007"
9,"C Xiong, Z Guo, SS Chen, Q Gao, MA Kishe…","Understanding the pathway of phosphorus metabolism in urban household consumption system: A case study of Dar es Salaam, Tanzania",2020,"Journal of Cleaner …","Elsevier","https://www.sciencedirect.com/science/article/pii/S095965262032919X","https://scholar.google.com/scholar?cites=15126954226907087481&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-11 22:23:06","","","","",,,,,9,9.00,2,6,1,"Phosphorus discharge in urban household consumption system has an important impact on the urban ecological environment, especially the surface water environment. In this study, a …","","https://scholar.google.com/scholar?q=related:eQJkLLm87dEJ:scholar.google.com/&scioq=author:%22mary+kishe%22&hl=en&as_sdt=2007"
5,"RC Blackman, A Bruder, FJ Burdon, P Convey…","A meeting framework for inclusive and sustainable science",2020,"Nature ecology & …","nature.com","https://www.nature.com/articles/s41559-020-1190-x","https://scholar.google.com/scholar?cites=11051271835212327990&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-11 22:23:06","HTML","","","",,,,,5,5.00,1,5,1,"Conferences are, next to publications in scientific journals, the most commonly used format to present and disseminate recent advances in scientific research. Conferences are also …","https://www.nature.com/articles/s41559-020-1190-x","https://scholar.google.com/scholar?q=related:Niwcli4BXpkJ:scholar.google.com/&scioq=author:%22mary+kishe%22&hl=en&as_sdt=2007"
3,"V Natugonza, L Musinguzi, MA Kishe…","The consequences of anthropogenic stressors on cichlid fish communities: revisiting Lakes Victoria, Kyoga, and Nabugabo",2021,"The Behavior, Ecology …","Springer","https://link.springer.com/chapter/10.1007/978-94-024-2080-7_7","https://scholar.google.com/scholar?cites=16020350862580536697&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-11 22:23:06","","10.1007/978-94-024-2080-7_7","","",,,,,3,3.00,1,4,1,"Abstract Lakes Victoria, Kyoga, and Nabugabo (“the Lake Victoria region”) are remarkable for hosting one of the largest assemblages of cichlid fishes among the African inland lakes …","",""
2,"JC Rijssel, R Jong, MA Kishe, F Witte","Rapid evolutionary responses in cichlids: genetics of adaptation, morphology and taxonomic Implications",2021,"The Behavior, Ecology and …","Springer","https://link.springer.com/chapter/10.1007/978-94-024-2080-7_8","https://scholar.google.com/scholar?cites=7913982650126418353&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-11 22:23:06","","10.1007/978-94-024-2080-7_8","","",,,,,2,2.00,1,4,1,"The haplochromine cichlids of Lake Victoria exhibit the fastest adaptive radiation of vertebrates known. Species identification of these lacustrine cichlids has been subject of …","",""
78,"AS Downing, EH van Nes, JS Balirwa, J Beuving…","Coupled human and natural system dynamics as key to the sustainability of Lake Victoria's ecosystem services",2014,"Ecology and …","JSTOR","https://www.jstor.org/stable/26269672","https://scholar.google.com/scholar?cites=11232955591706652483&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-11 22:23:06","","","","",,,,,78,11.14,16,5,7,"East Africa's Lake Victoria provides resources and services to millions of people on the lake's shores and abroad. In particular, the lake's fisheries are an important source of …","https://www.jstor.org/stable/pdf/26269672.pdf","https://scholar.google.com/scholar?q=related:Q69pjZh545sJ:scholar.google.com/&scioq=author:%22mary+kishe%22&hl=en&as_sdt=2007"
33,"SM Limbu, AP Shoko, HA Lamtane…","Fish polyculture system integrated with vegetable farming improves yield and economic benefits of small‐scale farmers",2017,"Aquaculture …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/are.13188","https://scholar.google.com/scholar?cites=4218186252898946703&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-11 22:23:06","","10.1111/are.13188","","",,,,,33,8.25,8,4,4,"This study explored the yield and economic benefits of African sharptooth catfish, Clarias gariepinus, and Nile tilapia, Oreochromis niloticus polyculture, reared in earthen ponds for …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/are.13188","https://scholar.google.com/scholar?q=related:j056UAwCijoJ:scholar.google.com/&scioq=author:%22mary+kishe%22&hl=en&as_sdt=2007"
49,"MA Kishe-Machumu, F Witte, JH Wanink, EFB Katunzi","The diet of Nile perch, Lates niloticus (L.) after resurgence of haplochromine cichlids in the Mwanza Gulf of Lake Victoria",2012,"Hydrobiologia","Springer","https://link.springer.com/article/10.1007/s10750-011-0822-1","https://scholar.google.com/scholar?cites=17886463848470754010&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-11 22:23:06","HTML","10.1007/s10750-011-0822-1","","",,,,,49,5.44,12,4,9,"Haplochromine cichlids used to be the main prey of the introduced Nile perch, Lates niloticus, in Lake Victoria. After depletion of the haplochromine stocks at the end of the …","https://link.springer.com/article/10.1007/s10750-011-0822-1","https://scholar.google.com/scholar?q=related:2jL3hxp8OfgJ:scholar.google.com/&scioq=author:%22mary+kishe%22&hl=en&as_sdt=2007"
49,"J Wanink, F Witte, M Kishe-Machumu","Dietary shift in benthivorous cichlids after the ecological changes in Lake Victoria",2008,"Animal Biology","brill.com","https://brill.com/view/journals/ab/58/4/article-p401_6.xml","https://scholar.google.com/scholar?cites=16398916159760354632&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-11 22:23:06","","","","",,,,,49,3.77,16,3,13,"Abstract Cichlid fishes of Lake Victoria are well known for their trophic specializations. In our study area, the sub-littoral waters of the Mwanza Gulf (Tanzania), at least 12 trophic groups …","https://www.academia.edu/download/46354889/Dietary_shift_in_benthivorous_cichlids_a20160608-23459-1d4eybr.pdf","https://scholar.google.com/scholar?q=related:SM3ts1ynlOMJ:scholar.google.com/&scioq=author:%22mary+kishe%22&hl=en&as_sdt=2007"
33,"F Witte, O Seehausen, JH Wanink…","Cichlid species diversity in naturally and anthropogenically turbid habitats of Lake Victoria, East Africa",2013,"Aquatic Sciences","Springer","https://link.springer.com/content/pdf/10.1007/s00027-012-0265-4.pdf","https://scholar.google.com/scholar?cites=6415311686320763564&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-11 22:23:06","PDF","10.1007/s00027-012-0265-4","","",,,,,33,4.13,8,4,8,"During the past decades, major anthropogenic environmental changes occurred in Lake Victoria, including increased predation pressure due to Nile perch introduction, and …","https://link.springer.com/content/pdf/10.1007/s00027-012-0265-4.pdf","https://scholar.google.com/scholar?q=related:rLKPKv3DB1kJ:scholar.google.com/&scioq=author:%22mary+kishe%22&hl=en&as_sdt=2007"
