Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
65,"MA MacNeil, DD Chapman, M Heupel…","Global status and conservation potential of reef sharks",2020,"Nature","nature.com","https://www.nature.com/articles/s41586-020-2519-y","https://scholar.google.com/scholar?cites=18073885525515803696&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-08 09:01:25","","","","",,,,,65,65.00,16,4,1,"Decades of overexploitation have devastated shark populations, leaving considerable doubt as to their ecological status 1, 2. Yet much of what is known about sharks has been inferred …","https://archimer.ifremer.fr/doc/00644/75627/83233.pdf","https://scholar.google.com/scholar?q=related:MJxxOyBX0_oJ:scholar.google.com/&scioq=author:%22baraka+kuguru%22&hl=en&as_sdt=2007"
14,"B Sekadende, L Scott, J Anderson, S Aswani…","The small pelagic fishery of the Pemba Channel, Tanzania: What we know and what we need to know for management under climate change",2020,"Ocean & Coastal …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0964569120302325","https://scholar.google.com/scholar?cites=15278223072834725338&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-08 09:01:25","HTML","","","",,,,,14,14.00,3,5,1,"Small pelagic fish, including anchovies, sardines and sardinellas, mackerels, capelin, hilsa, sprats and herrings, are distributed widely, from the tropics to the far north Atlantic Ocean …","https://www.sciencedirect.com/science/article/pii/S0964569120302325","https://scholar.google.com/scholar?q=related:2qV97-8mB9QJ:scholar.google.com/&scioq=author:%22baraka+kuguru%22&hl=en&as_sdt=2007"
10,"PSE Zu Ermgassen, N Mukherjee…","Fishers who rely on mangroves: Modelling and mapping the global intensity of mangrove-associated fisheries",2021,"Estuarine, Coastal and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0272771420308933","https://scholar.google.com/scholar?cites=11647659290084560556&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-08 09:01:25","HTML","","","",,,,,10,10.00,3,3,1,"Mangroves are critical nursery habitats for fish and invertebrates, providing livelihoods for many coastal communities. Despite their importance, there is currently no estimate of the …","https://www.sciencedirect.com/science/article/pii/S0272771420308933","https://scholar.google.com/scholar?q=related:rM5EkmnMpKEJ:scholar.google.com/&scioq=author:%22baraka+kuguru%22&hl=en&as_sdt=2007"
10,"CA Rohner, JEM Cochran…","No place like home? High residency and predictable seasonal movement of whale sharks off Tanzania",2020,"Frontiers in …","internal-journal.frontiersin.org","https://internal-journal.frontiersin.org/articles/10.3389/fmars.2020.00423/full","https://scholar.google.com/scholar?cites=4187537771548704618&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-08 09:01:25","HTML","","","",,,,,10,10.00,3,3,1,"Highly mobile marine megafauna species, while widely distributed and frequently threatened, often aggregate in distinct localized habitats. Implementation of local …","https://internal-journal.frontiersin.org/articles/10.3389/fmars.2020.00423/full","https://scholar.google.com/scholar?q=related:av-wrGofHToJ:scholar.google.com/&scioq=author:%22baraka+kuguru%22&hl=en&as_sdt=2007"
36,"B Kuguru, G Winters, S Beer, SR Santos, NE Chadwick","Adaptation strategies of the corallimorpharian Rhodactis rhodostoma to irradiance and temperature",2007,"Marine Biology","Springer","https://link.springer.com/article/10.1007/s00227-006-0589-5","https://scholar.google.com/scholar?cites=15169489688094832274&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-08 09:01:25","","10.1007/s00227-006-0589-5","","",,,,,36,2.57,7,5,14,"Corallimorpharians may dominate some habitats on coral reefs and compete with stony corals for access to light, yet little is known concerning their photosynthetic traits. At Eilat in …","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.709.7358&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:kvbX-n_ahNIJ:scholar.google.com/&scioq=author:%22baraka+kuguru%22&hl=en&as_sdt=2007"
34,"CA Muhando, BL Kuguru, GM Wagner, NE Mbije…","Environmental effects on the distribution of corallimorpharians in Tanzania",2002,"AMBIO: A Journal of the …","BioOne","https://bioone.org/journals/ambio-a-journal-of-the-human-environment/volume-31/issue-7/0044-7447-31.7.558/Environmental-Effects-on-the-Distribution-of-Corallimorpharians-in-Tanzania/10.1579/0044-7447-31.7.558.short","https://scholar.google.com/scholar?cites=6218748393170296896&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-08 09:01:25","","10.1579/0044-7447-31.7.558.short","","",,,,,34,1.79,7,5,19,"This study examined the distribution and abundance of corallimorpharians (Cnidaria, Anthozoa) in Tanzania in relation to different aspects of the coral reef environment. Five …","https://www.researchgate.net/profile/Baraka-Kuguru/publication/10912535_Environmental_Effects_on_the_Distribution_of_Corallimorpharians_in_Tanzania/links/5e1254304585159aa4b46da2/Environmental-Effects-on-the-Distribution-of-Corallimorpharians-in-Tanzania.pdf","https://scholar.google.com/scholar?q=related:QGByGrduTVYJ:scholar.google.com/&scioq=author:%22baraka+kuguru%22&hl=en&as_sdt=2007"
26,"B Kuguru, Y Achituv, DF Gruber, D Tchernov","Photoacclimation mechanisms of corallimorpharians on coral reefs: photosynthetic parameters of zooxanthellae and host cellular responses to variation in irradiance",2010,"Journal of Experimental …","Elsevier","https://www.sciencedirect.com/science/article/pii/S002209811000256X","https://scholar.google.com/scholar?cites=9121472603794680061&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-08 09:01:25","","","","",,,,,26,2.36,7,4,11,"Rhodactis rhodostoma and Discosoma unguja are the most common corallimorpharians on coral reefs in the northern Red Sea, where individuals of R. rhodostoma form large …","https://www.academia.edu/download/49759495/j.jembe.2010.07.00720161021-15776-gan8u0.pdf","https://scholar.google.com/scholar?q=related:_aijaQH7lX4J:scholar.google.com/&scioq=author:%22baraka+kuguru%22&hl=en&as_sdt=2007"
6,"B Kuguru, J Groeneveld, S Singh…","First record of giant freshwater prawn Macrobrachium rosenbergii (de Man, 1879) from small-scale fisheries in East Africa, confirmed with DNA barcoding.",2019,"BioInvasions …","researchgate.net","https://www.researchgate.net/profile/Baraka-Kuguru/publication/333040990_First_record_of_giant_freshwater_prawn_Macrobrachium_rosenbergii_de_Man_1879_from_small-scale_fisheries_in_East_Africa_confirmed_with_DNA_barcoding/links/5e1254644585159aa4b46daa/First-record-of-giant-freshwater-prawn-Macrobrachium-rosenbergii-de-Man-1879-from-small-scale-fisheries-in-East-Africa-confirmed-with-DNA-barcoding.pdf","https://scholar.google.com/scholar?cites=1004999424339130038&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-08 09:01:25","PDF","","","",,,,,6,3.00,2,4,2,"We report, for the first time in the wild, giant freshwater prawn Macrobrachium rosenbergii populations in East Africa. Specimens caught by fishermen in the lower reaches of the Ruvu …","https://www.researchgate.net/profile/Baraka-Kuguru/publication/333040990_First_record_of_giant_freshwater_prawn_Macrobrachium_rosenbergii_de_Man_1879_from_small-scale_fisheries_in_East_Africa_confirmed_with_DNA_barcoding/links/5e1254644585159aa4b46daa/First-record-of-giant-freshwater-prawn-Macrobrachium-rosenbergii-de-Man-1879-from-small-scale-fisheries-in-East-Africa-confirmed-with-DNA-barcoding.pdf","https://scholar.google.com/scholar?q=related:trY016Z58g0J:scholar.google.com/&scioq=author:%22baraka+kuguru%22&hl=en&as_sdt=2007"
19,"B Kuguru, NE Chadwick, Y Achituv…","Mechanisms of habitat segregation between corallimorpharians: photosynthetic parameters and Symbiodinium types",2008,"Marine Ecology …","int-res.com","https://www.int-res.com/abstracts/meps/v369/p115-129/","https://scholar.google.com/scholar?cites=11308870495585352068&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-08 09:01:25","","","","",,,,,19,1.46,5,4,13,"Corallimorpharians are evolutionarily important relatives to reef-building corals, yet little is known about their ecophysiology. We demonstrate that physiological mechanisms …","http://www.int-res.com/articles/meps2008/369/m369p115.pdf","https://scholar.google.com/scholar?q=related:hLlCfMwt8ZwJ:scholar.google.com/&scioq=author:%22baraka+kuguru%22&hl=en&as_sdt=2007"
0,"MA MacNeil, DD Chapman, M Heupel…","Author Correction: Global status and conservation potential of reef sharks",2020,"Nature","nature.com","https://www.nature.com/articles/s41586-020-2692-z","",10,"2021-11-08 09:01:25","HTML","","","",,,,,0,0.00,0,4,1,"Thank you for visiting nature.com. You are using a browser version with limited support for CSS. To obtain the best experience, we recommend you use a more up to date browser (or turn …","https://www.nature.com/articles/s41586-020-2692-z",""
