Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
45,"F Nunan, J Luomba, C Lwenya, E Yongo…","Finding space for participation: fisherfolk mobility and co-management of Lake Victoria fisheries",2012,"Environmental …","Springer","https://link.springer.com/article/10.1007/s00267-012-9881-y","https://scholar.google.com/scholar?cites=1211700591048273640&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:23:35","","10.1007/s00267-012-9881-y","","",,,,,45,5.00,9,5,9,"The literature on fisheries co-management is almost silent on the issue of the movement of fisherfolk within fisheries, although such movement must have implications for the …","https://www.academia.edu/download/32022422/Finding_Space_for_Participation_published_2012.pdf","https://scholar.google.com/scholar?q=related:6C6Qh0TT0BAJ:scholar.google.com/&scioq=author:%22joseph+luomba%22&hl=en&as_sdt=2007"
18,"J Luomba, R Chuenpagdee, AM Song","A bottom-up understanding of illegal, unreported, and unregulated fishing in Lake Victoria",2016,"Sustainability","mdpi.com","https://www.mdpi.com/162162","https://scholar.google.com/scholar?cites=6840843548463987346&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:23:35","","","","",,,,,18,3.60,6,3,5,"Illegal, unreported, and unregulated (IUU) fishing is a major concern in fisheries management around the world. Several measures have been taken to address the problem …","https://www.mdpi.com/2071-1050/8/10/1062/pdf","https://scholar.google.com/scholar?q=related:kvo3hvaO714J:scholar.google.com/&scioq=author:%22joseph+luomba%22&hl=en&as_sdt=2007"
26,"K Odongkara, RO Abila, J Luomba","The contribution of Lake Victoria fisheries to national economies",2009,"African journal of tropical …","academia.edu","https://www.academia.edu/download/32022430/Paper_7_(Odonkara_et_al)__p._47-51.pdf","https://scholar.google.com/scholar?cites=3448635903184290228&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:23:35","PDF","","","",,,,,26,2.17,9,3,12,"The paper discusses the contribution of the Lake Victoria fisheries resources to the riparian states as well as the communities. The paper has used data from studies conducted …","https://www.academia.edu/download/32022430/Paper_7_(Odonkara_et_al)__p._47-51.pdf","https://scholar.google.com/scholar?q=related:tEH1EBUE3C8J:scholar.google.com/&scioq=author:%22joseph+luomba%22&hl=en&as_sdt=2007"
17,"C Lwenya, B Mbilingi, J Luomba, E Yongo","Gender integration in the management of the Lake Victoria fisheries",2009,"African Journal of Tropical …","Citeseer","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.404.3647&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=1201087246016589781&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 06:23:35","PDF","","","",,,,,17,1.42,4,4,12,"The riparian governments of Lake Victoria have adopted co-management approach in fisheries management. This paper discusses gender mainstreaming in fisheries …","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.404.3647&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:1S8Sk3weqxAJ:scholar.google.com/&scioq=author:%22joseph+luomba%22&hl=en&as_sdt=2007"
15,"JO Luomba","Role and place of women in aquaculture a case study of ukerewe district, Tanzania",2013,"International Journal of Aquaculture","hortherbpublisher.com","http://hortherbpublisher.com/index.php/ija/article/view/933","https://scholar.google.com/scholar?cites=11238414258080598924&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 06:23:35","","","","",,,,,15,1.88,15,1,8,"The aquaculture sector is often considered a male domain because of the high levels of investments and nature of work. Women's role and participation has often been ignored …","http://hortherbpublisher.com/index.php/ija/article/html/933/","https://scholar.google.com/scholar?q=related:jEuUWzne9psJ:scholar.google.com/&scioq=author:%22joseph+luomba%22&hl=en&as_sdt=2007"
7,"JO Luomba, PO Onyango","Dagaa Fishery: The Unknown Wealth of Lake Victoria",2012,"","ir.library.oregonstate.edu","https://ir.library.oregonstate.edu/concern/conference_proceedings_or_journals/rx913v67r","https://scholar.google.com/scholar?cites=10691645471125199759&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 06:23:35","","","","",,,,,7,0.78,4,2,9,"The paper discusses contribution of dagaa Rastreneobola argentae fishery to Tanzanian economy. It uses data from two studies conducted in Lake Victoria as well as literature …","","https://scholar.google.com/scholar?q=related:j9vUwuhaYJQJ:scholar.google.com/&scioq=author:%22joseph+luomba%22&hl=en&as_sdt=2007"
0,"SA Klein, KL van den Broek, J Luomba…","How knowledge acquisition shapes system understanding in small-scale fisheries",2021,"Current Research in …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2666622721000113","",7,"2021-11-12 06:23:35","HTML","","","",,,,,0,0.00,0,4,1,"Within socio-ecological systems, actors' interaction with the system may differ greatly, which is likely to result in differences in system understanding. The current work investigated this …","https://www.sciencedirect.com/science/article/pii/S2666622721000113",""
2,"KL van den Broek, J Luomba…","A framework for co‐developing conservation research projects with stakeholders: A Lake Victoria case study",2020,"Lakes & Reservoirs …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/lre.12342","https://scholar.google.com/scholar?cites=3751329500775285785&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 06:23:35","","10.1111/lre.12342","","",,,,,2,2.00,1,3,1,"Stakeholder engagement has increasingly gained popularity in conservation research since it promotes relevant research that has impact and can inform evidence‐based policy. Lake …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/lre.12342","https://scholar.google.com/scholar?q=related:GYQnOU5mDzQJ:scholar.google.com/&scioq=author:%22joseph+luomba%22&hl=en&as_sdt=2007"
4,"J Luomba, P Onyango, R Chuenpagdee","Closing loopholes with the small-scale fisheries guidelines: addressing illegal, unreported and unregulated fishing in Lake Victoria, Tanzania",2017,"The Small-Scale Fisheries …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-55074-9_25","https://scholar.google.com/scholar?cites=9313887428908484327&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-12 06:23:35","","10.1007/978-3-319-55074-9_25","","",,,,,4,1.00,1,3,4,"Illegal, unreported, and unregulated (IUU) fishing poses a serious challenge to fisheries governance as it does not go away easily despite various efforts to combat it. The …","http://ndl.ethernet.edu.et/bitstream/123456789/16308/1/194.pdf.pdf#page=542","https://scholar.google.com/scholar?q=related:5wYR_kSTQYEJ:scholar.google.com/&scioq=author:%22joseph+luomba%22&hl=en&as_sdt=2007"
1,"F Diekert, T Eymess, J Luomba, I Waichman","The creation of social norms under weak institutions",2020,"","econstor.eu","https://www.econstor.eu/handle/10419/235007","https://scholar.google.com/scholar?cites=6917638557744855983&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-12 06:23:35","","","","",,,,,1,1.00,0,4,1,"Preventing overfishing at Lake Victoria is a typical situation where policies have to rely on norm-based interventions to improve outcomes. Our lab-in-the-field experiment studies how …","https://www.econstor.eu/bitstream/10419/235007/1/1698319797.pdf","https://scholar.google.com/scholar?q=related:r3vt9p1jAGAJ:scholar.google.com/&scioq=author:%22joseph+luomba%22&hl=en&as_sdt=2007"
