Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
42,"SB Mahongo, J Francis, SE Osima","Wind patterns of coastal Tanzania: their variability and trends",2011,"Western Indian Ocean Journal of …","ajol.info","https://www.ajol.info/index.php/wiojms/article/view/85853","https://scholar.google.com/scholar?cites=3967414316949369160&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:51:45","","","","",,,,,42,4.20,14,3,10,"1Tanzania Fisheries Research Institute, PO Box 9750, Dar es Salaam, Tanzania; 2Department of Aquatic Sciences and Fisheries, University of Dar es Salaam, PO Box …","https://www.ajol.info/index.php/wiojms/article/view/85853/75729","https://scholar.google.com/scholar?q=related:SPGQDk0WDzcJ:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
31,"SB Mahongo, YW Shaghude","Modelling the dynamics of the Tanzanian coastal waters",2014,"Journal of Oceanography and …","academicjournals.org","https://academicjournals.org/journal/JOMS/article-abstract/B8F85F242619","https://scholar.google.com/scholar?cites=2684055577294252317&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:51:45","","","","",,,,,31,4.43,16,2,7,"A numerical modeling study was carried out using the Regional Ocean Modeling System (ROMS) for the Tanzanian coast to investigate the seasonal dynamics of water circulation …","https://academicjournals.org/journal/JOMS/article-full-text-pdf/B8F85F242619.pdf","https://scholar.google.com/scholar?q=related:HakHqlOuPyUJ:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
31,"YW Shaghude, KO Wannas, SB Mahongo","Biogenic assemblage and hydrodynamic settings of the tidally dominated reef platform sediments of the Zanzibar Channel",2002,"","aquadocs.org","https://aquadocs.org/handle/1834/32","https://scholar.google.com/scholar?cites=1068761860631022614&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:51:45","","","","",,,,,31,1.63,10,3,19,"The biogenic assemblage and hydrodynamic settings of the tidally dominated reef platform sediments (TDRPS) east of the Zanzibar channel were investigated in order to characterise …","https://aquadocs.org/bitstream/handle/1834/32/WIOJ12107.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:Fsxl7D8B1Q4J:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
18,"SB Mahongo, MC Deo","Using artificial neural networks to forecast monthly and seasonal sea surface temperature anomalies in the western Indian Ocean",2013,"The International Journal of Ocean …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1260/1759-3131.4.2.133","https://scholar.google.com/scholar?cites=2471062791111977175&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 06:51:45","","10.1260/1759-3131.4.2.133","","",,,,,18,2.25,9,2,8,"A study implementing Nonlinear Autoregressive with Exogenous Input (NARX) neural network has been undertaken to predict monthly and seasonal SST anomalies in the …","https://journals.sagepub.com/doi/pdf/10.1260/1759-3131.4.2.133","https://scholar.google.com/scholar?q=related:1yjqKYT6SiIJ:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
15,"J Francis, SB Mahongo","Analysis of rainfall variations and trends in coastal Tanzania",2012,"Western Indian Ocean Journal of Marine Science","ajol.info","https://www.ajol.info/index.php/wiojms/article/view/78644","https://scholar.google.com/scholar?cites=363143717540622727&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 06:51:45","","","","",,,,,15,1.67,8,2,9,"Rainfall in coastal Tanzania has been investigated for their variability and trends from seven key weather stations during the last 50 years (1960-2009). Results indicate that the island of …","https://www.ajol.info/index.php/wiojms/article/download/78644/86976","https://scholar.google.com/scholar?q=related:h3FsfkklCgUJ:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
11,"SB Mahongo, J Francis","Monthly variations in sea level at the island of Zanzibar",2010,"Western Indian Ocean Journal of Marine Science","ajol.info","https://www.ajol.info/index.php/wiojms/article/view/73963","https://scholar.google.com/scholar?cites=11350306979916045815&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 06:51:45","","","","",,,,,11,1.00,6,2,11,"Meteorological and tide gauge data were used to analyze correlations between climatic parameters and variations in mean sea level at Zanzibar for the period 1985-2004. This …","https://www.ajol.info/index.php/wiojms/article/download/73963/64635","https://scholar.google.com/scholar?q=related:912IzQ9khJ0J:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
14,"SB Mahongo","The changing global climate and its implication on sea level trends in Tanzania and the Western Indian Ocean Region",2009,"Western Indian Ocean Journal of Marine Science","ajol.info","https://www.ajol.info/index.php/wiojms/article/view/56971","https://scholar.google.com/scholar?cites=15038680243706374593&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 06:51:45","","","","",,,,,14,1.17,14,1,12,"Global mean sea levels show a general rising trend that has been accelerated by the recent changes in world climate. This is ascertained through geological and historical records …","https://www.ajol.info/index.php/wiojms/article/view/56971/45368","https://scholar.google.com/scholar?q=related:wanN2AAgtNAJ:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
2,"JS Sululu, AT Kamukuru, BC Sekadende…","Reproductive biology of the anchovy (Stolephorus commersonnii, Lacepède, 1803) and spotted sardine (Amblygaster sirm, Walbaum, 1792) from Tanga Region …",2020,"Western Indian Ocean …","ajol.info","https://www.ajol.info/index.php/wiojms/article/view/174218","https://scholar.google.com/scholar?cites=8623631399225137066&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 06:51:45","","","","",,,,,2,2.00,1,4,1,"The present study investigated the reproductive biology of Stolephorus commersonnii and Amblygaster sirm at two landing sites in Tanga on the northern coast of Tanzania. Fish …","https://www.ajol.info/index.php/wiojms/article/download/174218/192287","https://scholar.google.com/scholar?q=related:qhe4UBFLrXcJ:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
6,"SB Mahongo, OI Khamis","The Tanzania National Sea Level Report",2006,"… Institute and Department of Survey and …","researchgate.net","https://www.researchgate.net/profile/Shigalla-Mahongo/publication/268422243_THE_TANZANIAN_NATIONAL_SEA_LEVEL_REPORT/links/54bdce120cf27c8f2814cd1f/THE-TANZANIAN-NATIONAL-SEA-LEVEL-REPORT.pdf","https://scholar.google.com/scholar?cites=5451459999324522166&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-12 06:51:45","PDF","","","",,,,,6,0.40,3,2,15,"This report has been prepared for the IOC/GLOSS Training Workshop on Sea Level Measurement, Interpretation and Related Fields held in Tokyo (Japan) from 15-26 May 2006 …","https://www.researchgate.net/profile/Shigalla-Mahongo/publication/268422243_THE_TANZANIAN_NATIONAL_SEA_LEVEL_REPORT/links/54bdce120cf27c8f2814cd1f/THE-TANZANIAN-NATIONAL-SEA-LEVEL-REPORT.pdf","https://scholar.google.com/scholar?q=related:tkb9fvx5p0sJ:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
1,"I Halo, P Sagero, M Manyilizu, SB Mahongo","Biophysical modelling of coastal upwelling variability and circulation along the Tanzanian and Kenyan coasts",2020,"Western Indian Ocean …","ajol.info","https://www.ajol.info/index.php/wiojms/article/view/181566","https://scholar.google.com/scholar?cites=14490222735931833369&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-12 06:51:45","","","","",,,,,1,1.00,0,4,1,"Ocean circulation, upwelling phenomena and chlorophyll-a concentrations were investigated within the framework of numerical model simulations with 1/12 nested …","https://www.ajol.info/index.php/wiojms/article/download/181566/192284","https://scholar.google.com/scholar?q=related:GXyBS86cF8kJ:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
2,"IA Kimirei, M Semba, C Mwakosya, YD Mgaya…","Environmental Changes in the Tanzanian Part of Lake Victoria",2017,"Lake Victoria Fisheries …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-69656-0_3","https://scholar.google.com/scholar?cites=14609593990559801209&as_sdt=2005&sciodt=2007&hl=en",11,"2021-11-12 06:51:45","","10.1007/978-3-319-69656-0_3","","",,,,,2,0.50,0,5,4,"Lake Victoria is known for its explosive speciation and recent time hybridization, which is highly mediated by deterioration of water quality. This chapter summarizes the knowledge …","http://ndl.ethernet.edu.et/bitstream/123456789/41021/1/206.Yunus%20D.%20Mgaya.pdf#page=47","https://scholar.google.com/scholar?q=related:eZ__V1S0v8oJ:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
3,"SB Mahongo","Analysis of met-ocean processes in relation to changes in large scale climatic systems in Tanzania and the western Indian Ocean",2014,"","University of Dar es Salaam","","https://scholar.google.com/scholar?cites=3368689549759380089&as_sdt=2005&sciodt=2007&hl=en",12,"2021-11-12 06:51:45","CITATION","","","",,,,,3,0.43,3,1,7,"","","https://scholar.google.com/scholar?q=related:eXr6I0z9vy4J:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
3,"SB Mahongo","Radiative heat exchange in a tropical Chwaka bay, east coast of Zanzibar",2000,"","nopr.niscair.res.in","http://nopr.niscair.res.in/handle/123456789/25267","https://scholar.google.com/scholar?cites=15619187657605614457&as_sdt=2005&sciodt=2007&hl=en",13,"2021-11-12 06:51:45","","","","",,,,,3,0.14,3,1,21,"Radiative heat fluxes were measured from a platform during the period 18 January through 9 February 1996. Cloud cover ranged from clear skies to overcast while the air temperature …","http://nopr.niscair.res.in/bitstream/123456789/25267/1/IJMS%2029(1)%2012-18.pdf","https://scholar.google.com/scholar?q=related:eYu_q2uAwtgJ:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
3,"SB Mahongo","The Tanzania Sea Level Network: A National Report (Draft)",2001,"Tanzania Fisheries Research Institute","gloss-sealevel.org","https://www.gloss-sealevel.org/sites/gloss/files/publications/documents/tanzania_2001.pdf","https://scholar.google.com/scholar?cites=11923626726020045889&as_sdt=2005&sciodt=2007&hl=en",14,"2021-11-12 06:51:45","PDF","","","",,,,,3,0.15,3,1,20,"THE TANZANIAN TIDE GAUGE NETWORK Page 1 THE TANZANIAN SEA LEVEL NETWORK: A NATIONAL REPORT (DRAFT) Shigalla B. Mahongo Tanzania Fisheries Research Institute …","https://www.gloss-sealevel.org/sites/gloss/files/publications/documents/tanzania_2001.pdf","https://scholar.google.com/scholar?q=related:QVzHTlU7eaUJ:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
2,"SB Mahongo","Annual to Inter-Decadal Variability of Surface Air Temperature along the Coast of Tanzania",2014,"Western Indian Ocean Journal of Marine Science","ajol.info","https://www.ajol.info/index.php/wiojms/article/view/78728","https://scholar.google.com/scholar?cites=14183430635159937875&as_sdt=2005&sciodt=2007&hl=en",15,"2021-11-12 06:51:45","","","","",,,,,2,0.29,2,1,7,"The patterns of atmospheric surface temperature along the coast of Tanzania were investigated for variability and decadal trends over the past 50 years (1960-2009). Various …","https://www.ajol.info/index.php/wiojms/article/view/78728/119612","https://scholar.google.com/scholar?q=related:U-MZAQSr1cQJ:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
4,"YW Shaghude, SB Mahongo, A Muzuka…","Physical and geological processes in Chwaka Bay",2012,"People, Nature and …","researchgate.net","https://www.researchgate.net/profile/Shigalla-Mahongo/publication/256133451_Physical_and_Geological_Processes_in_Chwaka_Bay/links/5c5bfc79a6fdccb608ae0499/Physical-and-Geological-Processes-in-Chwaka-Bay.pdf","https://scholar.google.com/scholar?cites=13016248047004218670&as_sdt=2005&sciodt=2007&hl=en",16,"2021-11-12 06:51:45","PDF","","","",,,,,4,0.44,1,4,9,"Estuaries, lagoons and bays are among the most prominent coastal geomorphological features of the coast of Tanzania. These features are extensively utilized by communities for …","https://www.researchgate.net/profile/Shigalla-Mahongo/publication/256133451_Physical_and_Geological_Processes_in_Chwaka_Bay/links/5c5bfc79a6fdccb608ae0499/Physical-and-Geological-Processes-in-Chwaka-Bay.pdf","https://scholar.google.com/scholar?q=related:LvUOvqIAo7QJ:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
1,"EFB Katunzi, PO Onyango, SB Mahongo…","Historical Perspectives and Trends in Fisheries Research in Tanzania",2017,"Lake Victoria Fisheries …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-69656-0_2","https://scholar.google.com/scholar?cites=12034061448117630297&as_sdt=2005&sciodt=2007&hl=en",17,"2021-11-12 06:51:45","","10.1007/978-3-319-69656-0_2","","",,,,,1,0.25,0,4,4,"This chapter traces the history and trends in fisheries research for the Tanzanian part of Lake Victoria and its basin back to the late nineteenth century when the haplochromine …","https://ndl.ethernet.edu.et/bitstream/123456789/41021/1/206.Yunus%20D.%20Mgaya.pdf#page=22","https://scholar.google.com/scholar?q=related:WTVGvCCTAacJ:scholar.google.com/&scioq=author:%22mahongo+sb%22&hl=en&as_sdt=2007"
