Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
33,"SM Limbu, AP Shoko, HA Lamtane…","Fish polyculture system integrated with vegetable farming improves yield and economic benefits of small‐scale farmers",2017,"Aquaculture …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/are.13188","https://scholar.google.com/scholar?cites=4218186252898946703&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-11 22:23:57","","10.1111/are.13188","","",,,,,33,8.25,8,4,4,"This study explored the yield and economic benefits of African sharptooth catfish, Clarias gariepinus, and Nile tilapia, Oreochromis niloticus polyculture, reared in earthen ponds for …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/are.13188","https://scholar.google.com/scholar?q=related:j056UAwCijoJ:scholar.google.com/&scioq=author:%22athanasio+mbonde%22&hl=en&as_sdt=2007"
4,"JS Lucas, MM McGlue, IA Kimirei, MJ Soreghan…","Geophysical benthic habitat mapping in Lake Tanganyika (Tanzania): Implications for spatial planning of small-scale coastal protected areas",2020,"Journal of Great Lakes …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0380133020300265","https://scholar.google.com/scholar?cites=16417566942667681261&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-11 22:23:57","","","","",,,,,4,4.00,1,5,1,"Optimizing community-based fisheries management to enhance both food resource and biodiversity conservation in large lakes requires detailed knowledge of benthic habitats …","https://www.researchgate.net/profile/Michael_McGlue/publication/338970085_Geophysical_benthic_habitat_mapping_in_Lake_Tanganyika_Tanzania_Implications_for_spatial_planning_of_small-scale_coastal_protected_areas/links/60acfe1d299bf13438e4a7d5/Geophysical-benthic-habitat-mapping-in-Lake-Tanganyika-Tanzania-Implications-for-spatial-planning-of-small-scale-coastal-protected-areas.pdf","https://scholar.google.com/scholar?q=related:7S3nfSbq1uMJ:scholar.google.com/&scioq=author:%22athanasio+mbonde%22&hl=en&as_sdt=2007"
22,"AS Mbonde, L Sitoki…","Phytoplankton composition and microcystin concentrations in open and closed bays of Lake Victoria, Tanzania",2015,"Aquatic ecosystem health & …","read.dukeupress.edu","https://read.dukeupress.edu/aehm/article-abstract/18/2/212/169236","https://scholar.google.com/scholar?cites=5153811179727491769&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-11 22:23:57","","","","",,,,,22,3.67,7,3,6,"This study was carried out in order to investigate the spatial variation of algal toxin (microcystin) concentrations along the shoreline of Lake Victoria. A total of 16 nearshore …","https://www.ncbi.nlm.nih.gov/pmc/articles/pmc5221727/","https://scholar.google.com/scholar?q=related:uRIYP_YDhkcJ:scholar.google.com/&scioq=author:%22athanasio+mbonde%22&hl=en&as_sdt=2007"
4,"BS Lowe, SK Jacobson, H Anold, AS Mbonde…","The neglected role of religion in fisheries management",2019,"Fish and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/faf.12388","https://scholar.google.com/scholar?cites=8259148039360485029&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-11 22:23:57","","10.1111/faf.12388","","",,,,,4,2.00,1,5,2,"Religion and spirituality have long played important roles in fishery systems around the world, and yet are often neglected in modern fisheries management and research. We …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/faf.12388","https://scholar.google.com/scholar?q=related:pRZyCWJjnnIJ:scholar.google.com/&scioq=author:%22athanasio+mbonde%22&hl=en&as_sdt=2007"
5,"BS Lowe, SK Jacobson, H Anold, AS Mbonde…","Adapting to change in inland fisheries: analysis from Lake Tanganyika, East Africa",2019,"Regional Environmental …","Springer","https://link.springer.com/article/10.1007/s10113-019-01516-5","https://scholar.google.com/scholar?cites=16319066154629822767&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-11 22:23:57","","10.1007/s10113-019-01516-5","","",,,,,5,2.50,1,5,2,"Fisheries around the world are declining due to growing anthropogenic pressures including climate change and overexploitation. Understanding how small-scale fishers respond to this …","","https://scholar.google.com/scholar?q=related:L3nPnDT4eOIJ:scholar.google.com/&scioq=author:%22athanasio+mbonde%22&hl=en&as_sdt=2007"
0,"MM McGlue, KM Yeager, MJ Soreghan, M Behm…","Spatial variability in nearshore sediment pollution in Lake Tanganyika (East Africa) and implications for fisheries conservation",2021,"Anthropocene","Elsevier","https://www.sciencedirect.com/science/article/pii/S2213305421000047","",6,"2021-11-11 22:23:57","","","","",,,,,0,0.00,0,5,1,"Climate warming coupled with local disturbances within lakes is an accelerating global problem. This issue is acute at Lake Tanganyika (eastern Africa), where warming and …","","https://scholar.google.com/scholar?q=related:G76yOPhDAkgJ:scholar.google.com/&scioq=author:%22athanasio+mbonde%22&hl=en&as_sdt=2007"
2,"B Ehrenfels, M Bartosiewicz, AS Mbonde…","Thermocline depth and euphotic zone thickness regulate the abundance of diazotrophic cyanobacteria in Lake Tanganyika",2020,"Biogeosciences …","bg.copernicus.org","https://bg.copernicus.org/preprints/bg-2020-214/","https://scholar.google.com/scholar?cites=18445388914209073532&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-11 22:23:57","","","","",,,,,2,2.00,1,4,1,"In spite of the fact that cyanobacterial blooms are classically associated with high nutrient loadings, there is also abundant evidence revealing that nitrogen fixing cyanobacteria …","https://bg.copernicus.org/preprints/bg-2020-214/bg-2020-214.pdf","https://scholar.google.com/scholar?q=related:fClcV30v-_8J:scholar.google.com/&scioq=author:%22athanasio+mbonde%22&hl=en&as_sdt=2007"
4,"EA Sweke, JM Assam, AI Chande…","Comparing the performance of protected and unprotected areas in conserving freshwater fish abundance and biodiversity in Lake Tanganyika, Tanzania",2016,"International Journal of …","hindawi.com","https://www.hindawi.com/journals/ijecol/2016/7139689/","https://scholar.google.com/scholar?cites=10753589021542645887&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-11 22:23:57","HTML","","","",,,,,4,0.80,1,4,5,"Marine protected areas have been shown to conserve aquatic resources including fish, but few studies have been conducted of protected areas in freshwater environments. This is …","https://www.hindawi.com/journals/ijecol/2016/7139689/","https://scholar.google.com/scholar?q=related:fwCXeT1sPJUJ:scholar.google.com/&scioq=author:%22athanasio+mbonde%22&hl=en&as_sdt=2007"
4,"AS Mbonde, SM Limbu, AP Shoko…","Phytoplankton and food selectivity in Nile tilapia reared in earthen ponds under monoculture and polyculture with African Sharptooth catfish",2017,"Journal of Aquaculture …","researchgate.net","https://www.researchgate.net/profile/Samwel-Limbu/publication/317240586_PHYTOPLANKTON_AND_FOOD_SELECTIVITY_IN_NILE_TILAPIA_REARED_IN_EARTHEN_PONDS_UNDER_MONOCULTURE_AND_POLYCULTURE_WITH_AFRICAN_SHARPTOOTH_CATFISH/links/592e2c8a45851553b6533cb2/PHYTOPLANKTON-AND-FOOD-SELECTIVITY-IN-NILE-TILAPIA-REARED-IN-EARTHEN-PONDS-UNDER-MONOCULTURE-AND-POLYCULTURE-WITH-AFRICAN-SHARPTOOTH-CATFISH.pdf","https://scholar.google.com/scholar?cites=17316993119296530930&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-11 22:23:57","PDF","","","",,,,,4,1.00,1,4,4,"Phytoplankton availability is one of the most important biotic factors affecting the successful culture of Nile tilapia (Oreochromis niloticus, Linnaeus) in semi-intensive ponds. The present …","https://www.researchgate.net/profile/Samwel-Limbu/publication/317240586_PHYTOPLANKTON_AND_FOOD_SELECTIVITY_IN_NILE_TILAPIA_REARED_IN_EARTHEN_PONDS_UNDER_MONOCULTURE_AND_POLYCULTURE_WITH_AFRICAN_SHARPTOOTH_CATFISH/links/592e2c8a45851553b6533cb2/PHYTOPLANKTON-AND-FOOD-SELECTIVITY-IN-NILE-TILAPIA-REARED-IN-EARTHEN-PONDS-UNDER-MONOCULTURE-AND-POLYCULTURE-WITH-AFRICAN-SHARPTOOTH-CATFISH.pdf","https://scholar.google.com/scholar?q=related:8qmNHX5RUvAJ:scholar.google.com/&scioq=author:%22athanasio+mbonde%22&hl=en&as_sdt=2007"
0,"B Ehrenfels, J Junker, D Namutebi, CM Callbeck…","Isotopic signatures induced by upwelling tag regional fish populations in Lake Tanganyika",2021,"bioRxiv","biorxiv.org","https://www.biorxiv.org/content/10.1101/2021.10.05.463178.abstract","",10,"2021-11-11 22:23:57","","10.1101/2021.10.05.463178.abstract","","",,,,,0,0.00,0,5,1,"Lake Tanganyika9s pelagic fish sustain the second largest inland fishery in Africa and are under pressure from heavy fishing and global warming related increases in stratification …","https://www.biorxiv.org/content/biorxiv/early/2021/10/06/2021.10.05.463178.full.pdf",""
1,"AS Mbonde, L Sitoki","Phytoplankton composition and microcystin concentrations in open and closed bays of Lake Victoria, Tanzania.(2015).",,"research.tukenya.ac.ke","","http://research.tukenya.ac.ke/images/abstracts/2015/anthanasio_2015.pdf","https://scholar.google.com/scholar?cites=1736086482636727098&as_sdt=2005&sciodt=2007&hl=en",11,"2021-11-11 22:23:57","","","","",,,,,1,0.00,1,2,,"This study was carried out in order to investigate the spatial variation of algal toxin (microcystin) concentrations along the shoreline of Lake Victoria. A total of 16 nearshore …","",""
0,"B Ehrenfels, M Bartosiewicz, AS Mbonde…","Diazotrophic Cyanobacteria are Associated With a Low Nitrate Resupply to Surface Waters in Lake Tanganyika",2021,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fenvs.2021.716765/full?field=&id=716765&journalName=Frontiers_in_Environmental_Science","",12,"2021-11-11 22:23:57","HTML","","","",,,,,0,0.00,0,4,1,"In Lake Tanganyika, blooms of nitrogen-fixing (diazotrophic) cyanobacteria emerge, when the upper water column re-stratifies after a period of upwelling and convective mixing …","https://www.frontiersin.org/articles/10.3389/fenvs.2021.716765/full?field=&id=716765&journalName=Frontiers_in_Environmental_Science",""
0,"RA Smiley, MM McGlue, KM Yeager…","Preliminary Nearshore Sedimentation Rate Analysis of the Tuungane Project Northern Mahale Conservation Area, Lake Tanganyika (Tanzania)",2017,"AGU Fall Meeting …","ui.adsabs.harvard.edu","https://ui.adsabs.harvard.edu/abs/2017AGUFMPP31B1277S/abstract","",13,"2021-11-11 22:23:57","","","","",,,,,0,0.00,0,4,4,"The combined effects of climate change, overfishing, and sediment pollution are altering Lake Tanganyika's littoral fisheries in profoundly negative ways. One method for conserving …","",""
0,"MM McGlue, JS Lucas, KM Yeager, MJ Soreghan…","CONSERVATION LIMNOGEOLOGY AT LAKE TANGANYIKA: NEW RESULTS FROM THE TUUNGANE PROJECT CO-MANAGEMENT AREA AT …",2018,"GSA Annual Meeting in …","GSA","","",14,"2021-11-11 22:23:57","CITATION","","","",,,,,0,0.00,0,5,3,"","",""
0,"AS Mbonde","Concentrations of cyanobacteria and microcystins in the near shore waters of Lake Victoria, Tanzania",2010,"","na","","",15,"2021-11-11 22:23:57","CITATION","","","",,,,,0,0.00,0,1,11,"","",""
