Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6,"AI Chande, HA Mhitu","Fish species and size distribution and abundance in different areas in Lake Victoria, Tanzania",2005,"Tanzania Journal of Science","ajol.info","https://www.ajol.info/index.php/tjs/article/view/18411","https://scholar.google.com/scholar?cites=4663498323158764115&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:45:39","","","","",,,,,6,0.38,3,2,16,"The study was carried out to investigate fish species distribution and abundance in different areas and size structure variations according to depth in Lake Victoria, Tanzania. Data were …","https://www.ajol.info/index.php/tjs/article/view/18411/29865","https://scholar.google.com/scholar?q=related:UwqCQgQTuEAJ:scholar.google.com/&scioq=author:%22ha+mhitu%22&hl=en&as_sdt=2007"
6,"HA Mhitu, YD Mgaya, MAK Ngoile","Growth and reproduction of the big fin squid, Sepioteuthis lessoniana, in the coastal waters of Zanzibar",2001,"Marine science development …","researchgate.net","https://www.researchgate.net/profile/Yunus-Mgaya/publication/267810043_Growth_and_reproduction_of_the_big_fin_squid_Sepioteuthis_lessoniana_in_the_coastal_waters_of_Zanzibar/links/558eac2b08aed6ec4bf517d2/Growth-and-reproduction-of-the-big-fin-squid-Sepioteuthis-lessoniana-in-the-coastal-waters-of-Zanzibar.pdf","https://scholar.google.com/scholar?cites=9020462698150752094&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:45:39","PDF","","","",,,,,6,0.30,2,3,20,"Aspects of growth and reproduction of the bigfin reef squid Sepioteuthis lessoniana (Lesson, 1830) in the coastal waters of Zanzibar were investigated with a view to obtaining basic …","https://www.researchgate.net/profile/Yunus-Mgaya/publication/267810043_Growth_and_reproduction_of_the_big_fin_squid_Sepioteuthis_lessoniana_in_the_coastal_waters_of_Zanzibar/links/558eac2b08aed6ec4bf517d2/Growth-and-reproduction-of-the-big-fin-squid-Sepioteuthis-lessoniana-in-the-coastal-waters-of-Zanzibar.pdf","https://scholar.google.com/scholar?q=related:Xu_vEAgfL30J:scholar.google.com/&scioq=author:%22ha+mhitu%22&hl=en&as_sdt=2007"
3,"JA Mwambungu, A Chande, HA Mhitu","Benthic Macro-invertebrates of the Tanzania side of Lake Victoria and their role in Fish Production",2010,"","repository.eac.int","http://repository.eac.int/handle/11671/732","https://scholar.google.com/scholar?cites=11840255278156427020&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:45:39","","","","",,,,,3,0.27,1,3,11,"Studies on the taxonomic diversity, abundance and distribution of macro-invertebrates and their role in fish production were carried out on sediments of Southeastern Lake Victoria in …","http://repository.eac.int:8080/bitstream/handle/11671/732/Benthic%20macro-invetebrates%20of%20the%20Tanzania%20side%20of%20Lake%20Victoria%20and%20their%20role%20in%20fish%20production.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:DC91cHEJUaQJ:scholar.google.com/&scioq=author:%22ha+mhitu%22&hl=en&as_sdt=2007"
2,"HA Mhitu, AI Chande","Diurnal feeding patterns and food habits of Lates Niloticus in the Speke Gulf, Lake Victoria",2004,"Tanzania Journal of Science","ajol.info","https://www.ajol.info/index.php/tjs/article/view/18391","https://scholar.google.com/scholar?cites=691363734490944837&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 06:45:39","","","","",,,,,2,0.12,1,2,17,"Twenty four hour sampling sessions were conducted to investigate the feeding patterns and food habits of Lates niloticus in the Speke Gulf, Lake Victoria during January/February …","https://www.ajol.info/index.php/tjs/article/download/18391/17329","https://scholar.google.com/scholar?q=related:RZXrTKc3mAkJ:scholar.google.com/&scioq=author:%22ha+mhitu%22&hl=en&as_sdt=2007"
0,"HA Mhitu, AI Chande","“Institute Headquarters, PO Box 9750, Dar es Salaam",,"ajol.info","","https://www.ajol.info/index.php/tjs/article/download/18391/17329/0","",5,"2021-11-12 06:45:39","PDF","","","",,,,,0,0.00,0,2,,"Twenty four hour sampling sessions were conducted to investigate the feeding patterns and food habits of Lates niloticus in the Speke Gulf, Lake Victoria during January/February …","https://www.ajol.info/index.php/tjs/article/download/18391/17329/0","https://scholar.google.com/scholar?q=related:MS0cxkBqR80J:scholar.google.com/&scioq=author:%22ha+mhitu%22&hl=en&as_sdt=2007"
0,"HA Mhitu, AI Chande, RK Waya, JA Mwambungu","Flow of food materials among fish communities in Lake Victoria",2004,"","repository.eac.int","http://repository.eac.int/handle/11671/757","",6,"2021-11-12 06:45:39","","","","",,,,,0,0.00,0,4,17,"Trophic relationships for different fish communities interacting in Tanzania waters of Lake Victoria were investigated in order to understand the flow of materials among those …","http://repository.eac.int:8080/bitstream/handle/11671/757/Flow%20of%20food%20materials%20among%20fish%20communities%20in%20Lake%20Victoria.pdf?sequence=1&isAllowed=y",""
0,"AI Chande, HA Mhitu","The role of reproductive strategies in recovery and success of selected fish species of Lake Victoria, Tanzania",2005,"","repository.eac.int","http://repository.eac.int/handle/11671/820","",7,"2021-11-12 06:45:39","","","","",,,,,0,0.00,0,2,16,"selection of mates, parental care, environmental conditions, clutch size, gonadal maturation and genetic differences in fitness. The present study which started in 1997 investigated …","http://repository.eac.int/bitstream/handle/11671/820/The%20role%20of%20reproductive%20strategies%20in%20recovery%20and%20success%20of%20selected%20fish%20species%20of%20Lake%20Victoria%20Tanzania.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:eSUm1cMKypkJ:scholar.google.com/&scioq=author:%22ha+mhitu%22&hl=en&as_sdt=2007"
2,"HA Mhitu","The reproductive biology of the squid, sepioteuthis lessoniana (lesson, 1830) in the coastal waters of Zanzibar.",1997,"","University of Dar es Salaam","","https://scholar.google.com/scholar?cites=16663868446887017360&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 06:45:39","CITATION","","","",,,,,2,0.08,2,1,24,"","","https://scholar.google.com/scholar?q=related:kHuKQBD0QecJ:scholar.google.com/&scioq=author:%22ha+mhitu%22&hl=en&as_sdt=2007"
0,"POJ Bwathondi, AI Chande, CG Mahika, HA Mhitu…","The potential of Sinda Islands for ecotourism and recreation development",2001,"2 nd Western Indian Ocean …","","","",9,"2021-11-12 06:45:39","CITATION","","","",,,,,0,0.00,0,5,20,"","",""
8,"…, SP Mwaiko, AI Chande, GU Mwamsojo, HA Mhitu","Crustacean resource assessment in Rufiji and by-catch studies of prawn trawlers",1993,"A consultancy report …","","","https://scholar.google.com/scholar?cites=3851084788208031948&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-12 06:45:39","CITATION","","","",,,,,8,0.29,2,5,28,"","","https://scholar.google.com/scholar?q=related:zNgMATbNcTUJ:scholar.google.com/&scioq=author:%22ha+mhitu%22&hl=en&as_sdt=2007"
8,"POJ Bwathondi, AI Chande, HA Mhitu, JJ Kulekana…","Investigation on the abundance and distribution of prawns at Bagamoyo and Rufiji delta",2002,"… Report, Tanzania Fisheries …","","","https://scholar.google.com/scholar?cites=10019056824566200117&as_sdt=2005&sciodt=2007&hl=en",11,"2021-11-12 06:45:39","CITATION","","","",,,,,8,0.42,2,5,19,"","","https://scholar.google.com/scholar?q=related:Nbe4RBnXCosJ:scholar.google.com/&scioq=author:%22ha+mhitu%22&hl=en&as_sdt=2007"
6,"AI Chande, GF Mtoka, HA Mhitu","Marine mammals and fisheries interactions in Tanzania. Tanzanian Fisheries Research Institute",1994,"Unpublished report to UNEP. 39p","","","https://scholar.google.com/scholar?cites=13233715082073010426&as_sdt=2005&sciodt=2007&hl=en",12,"2021-11-12 06:45:39","CITATION","","","",,,,,6,0.22,2,3,27,"","","https://scholar.google.com/scholar?q=related:-vCwfcCZp7cJ:scholar.google.com/&scioq=author:%22ha+mhitu%22&hl=en&as_sdt=2007"
6,"POJ Bwathondi, AI Chande, JDR Bayona, HA Mhitu…","Investigation of prawn abundance and distribution in Bagamoyo and Rufiji areas",2002,"Report submitted to the …","","","https://scholar.google.com/scholar?cites=3601433469605745651&as_sdt=2005&sciodt=2007&hl=en",13,"2021-11-12 06:45:39","CITATION","","","",,,,,6,0.32,1,5,19,"","","https://scholar.google.com/scholar?q=related:85MNzqjc-jEJ:scholar.google.com/&scioq=author:%22ha+mhitu%22&hl=en&as_sdt=2007"
4,"AI Chande, GF Mtoka, HA Mhitu","Marine mammals and fisheries interactions in Tanzania",1994,"Report to the United Nations Environment …","","","https://scholar.google.com/scholar?cites=374775011680803602&as_sdt=2005&sciodt=2007&hl=en",14,"2021-11-12 06:45:39","CITATION","","","",,,,,4,0.15,1,3,27,"","","https://scholar.google.com/scholar?q=related:ElvtMeN3MwUJ:scholar.google.com/&scioq=author:%22ha+mhitu%22&hl=en&as_sdt=2007"
2,"AI Chande, GF Mtoka, HA Mhitu","Marine Mammals and Fisheries in Tanzania",1994,"A report to United Nations Environment Programme …","","","https://scholar.google.com/scholar?cites=1207523490002922172&as_sdt=2005&sciodt=2007&hl=en",15,"2021-11-12 06:45:39","CITATION","","","",,,,,2,0.07,1,3,27,"","","https://scholar.google.com/scholar?q=related:vGqQZzf8wRAJ:scholar.google.com/&scioq=author:%22ha+mhitu%22&hl=en&as_sdt=2007"
2,"HA Mhitu, AI Chande","Food, feeding habits and trophic relationships of selected fish species in Tanzania waters of Lake Victoria",2003,"Proceedings of the LVEMP Tanzania 2001 Scientific …","","","https://scholar.google.com/scholar?cites=7264447819747625711&as_sdt=2005&sciodt=2007&hl=en",16,"2021-11-12 06:45:39","CITATION","","","",,,,,2,0.11,1,2,18,"","","https://scholar.google.com/scholar?q=related:7wprqc2A0GQJ:scholar.google.com/&scioq=author:%22ha+mhitu%22&hl=en&as_sdt=2007"
0,"…, FAS Sobo, S Kimaro, R Maly, M Mwanuo, HA Mhitu…","Tanzania Mariculture Guidelines Source Book.",,"repository.costech.or.tz","","http://repository.costech.or.tz/handle/123456789/2291","",17,"2021-11-12 06:45:39","CITATION","","","",,,,,0,0.00,0,7,,"Tanzania Mariculture Guidelines Source Book. COSTECH Integrated Repository Tanzania Mariculture Guidelines Source Book. Login COSTECH Repository Home → University of …","",""
0,"Z Lugazo, B Kalangahe, HA Mhitu, S Kimaro…","Tanzania Mariculture Guidelines Source Book.",2001,"","196.44.162.10","http://196.44.162.10:8080/xmlui/handle/123456789/533","",18,"2021-11-12 06:45:39","CITATION","","","",,,,,0,0.00,0,5,20,"Tanzania Mariculture Guidelines Source Book. University of Dar es Salaam Research Repository Tanzania Mariculture Guidelines Source Book. Login Home → College of …","",""
