Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
78,"AS Downing, EH van Nes, JS Balirwa, J Beuving…","Coupled human and natural system dynamics as key to the sustainability of Lake Victoria's ecosystem services",2014,"Ecology and …","JSTOR","https://www.jstor.org/stable/26269672","https://scholar.google.com/scholar?cites=11232955591706652483&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:11:16","","","","",,,,,78,11.14,16,5,7,"East Africa's Lake Victoria provides resources and services to millions of people on the lake's shores and abroad. In particular, the lake's fisheries are an important source of …","https://www.jstor.org/stable/pdf/26269672.pdf","https://scholar.google.com/scholar?q=related:Q69pjZh545sJ:scholar.google.com/&scioq=author:%22enock+mlaponi%22&hl=en&as_sdt=2007"
52,"R Kayanda, AM Taabu, R Tumwebaze…","Status of the major commercial fish stocks and proposed species-specific management plans for Lake Victoria",2009,"African Journal of …","researchgate.net","https://www.researchgate.net/profile/Enock-Mlaponi/publication/265161949_Status_of_the_Major_Commercial_Fish_Stocks_and_Proposed_Species-specific_Management_Plans_for_Lake_Victoria/links/5400df550cf2bba34c1ae123/Status-of-the-Major-Commercial-Fish-Stocks-and-Proposed-Species-specific-Management-Plans-for-Lake-Victoria.pdf","https://scholar.google.com/scholar?cites=624002723090848654&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:11:16","PDF","","","",,,,,52,4.33,13,4,12,"Abstract The fishery of Lake Victoria is dominated by four species, the introduced Nile perch (Lates niloticus) and Nile tilapia,(Oreochromis niloticus), the native dagaa,(Rastrineobola …","https://www.researchgate.net/profile/Enock-Mlaponi/publication/265161949_Status_of_the_Major_Commercial_Fish_Stocks_and_Proposed_Species-specific_Management_Plans_for_Lake_Victoria/links/5400df550cf2bba34c1ae123/Status-of-the-Major-Commercial-Fish-Stocks-and-Proposed-Species-specific-Management-Plans-for-Lake-Victoria.pdf","https://scholar.google.com/scholar?q=related:jtu0qCvnqAgJ:scholar.google.com/&scioq=author:%22enock+mlaponi%22&hl=en&as_sdt=2007"
26,"E Mlaponi","The role of research and development in agriculture and its dependent concepts in agriculture",2015,"Science and Engineering","academia.edu","https://www.academia.edu/download/37273452/379-1260-1-PB.pdf","https://scholar.google.com/scholar?cites=12777465600691783440&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:11:16","PDF","","","",,,,,26,4.33,26,1,6,"Increasing of agriculture products is of importance so that research and development in this branch considers as one of the most important infrastructure which develops production …","https://www.academia.edu/download/37273452/379-1260-1-PB.pdf","https://scholar.google.com/scholar?q=related:EMcBE0StUrEJ:scholar.google.com/&scioq=author:%22enock+mlaponi%22&hl=en&as_sdt=2007"
38,"OC Mkumbo, E Mlaponi","Impact of the baited hook fishery on the recovering endemic fish species in Lake Victoria",2007,"Aquatic Ecosystem Health & …","read.dukeupress.edu","https://read.dukeupress.edu/aehm/article-abstract/10/4/458/170892","https://scholar.google.com/scholar?cites=8612265808252268566&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 06:11:16","","","","",,,,,38,2.71,19,2,14,"As gillnet yields of Nile perch stagnated in the middle of the 1990s, the hook and line fishery intensified in Lake Victoria. Frame surveys show that the number of hooks used in this …","","https://scholar.google.com/scholar?q=related:FnAedB_qhHcJ:scholar.google.com/&scioq=author:%22enock+mlaponi%22&hl=en&as_sdt=2007"
3,"R Proud, R Mangeni-Sande, RJ Kayanda…","Automated classification of schools of the silver cyprinid Rastrineobola argentea in Lake Victoria acoustic survey data using random forests",2020,"ICES Journal of …","academic.oup.com","https://academic.oup.com/icesjms/article-abstract/77/4/1379/5835268","https://scholar.google.com/scholar?cites=17212071786049246071&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 06:11:16","","","","",,,,,3,3.00,1,4,1,"Biomass of the schooling fish Rastrineobola argentea (dagaa) is presently estimated in Lake Victoria by acoustic survey following the simple “rule” that dagaa is the source of most echo …","https://academic.oup.com/icesjms/article/77/4/1379/5835268","https://scholar.google.com/scholar?q=related:dxP9jxiQ3e4J:scholar.google.com/&scioq=author:%22enock+mlaponi%22&hl=en&as_sdt=2007"
2,"MV Elison, E Mlaponi, MJ Musiba…","Changes in the Diet of Synodontis victoriae and Synodontis afrofischeri in Lake Victoria, Tanzanian waters.",2018,"African Journal of …","researchgate.net","https://www.researchgate.net/profile/Benedicto-Kashindye/publication/325477948_Changes_in_the_Diet_of_Synodontis_victoriae_and_Synodontis_afrofischeri_in_Lake_Victoria_Tanzanian_waters/links/5e7b134592851cdfca2f6d2d/Changes-in-the-Diet-of-Synodontis-victoriae-and-Synodontis-afrofischeri-in-Lake-Victoria-Tanzanian-waters.pdf","https://scholar.google.com/scholar?cites=13428277802537115864&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 06:11:16","PDF","","","",,,,,2,0.67,1,4,3,"The diet of Synodontis victoriae and S. afrofischeri was investigated from samples collected for stomach analysis in May 2013, October 2013, and April 2014 in the Tanzanian waters of …","https://www.researchgate.net/profile/Benedicto-Kashindye/publication/325477948_Changes_in_the_Diet_of_Synodontis_victoriae_and_Synodontis_afrofischeri_in_Lake_Victoria_Tanzanian_waters/links/5e7b134592851cdfca2f6d2d/Changes-in-the-Diet-of-Synodontis-victoriae-and-Synodontis-afrofischeri-in-Lake-Victoria-Tanzanian-waters.pdf","https://scholar.google.com/scholar?q=related:2OB87YPTWroJ:scholar.google.com/&scioq=author:%22enock+mlaponi%22&hl=en&as_sdt=2007"
4,"M Salehe, E Mlaponi, PO Onyango, HDJ Mrosso","Contribution of Lake Victoria dagaa fishery in east and central African fish trade",2012,"","ir.library.oregonstate.edu","https://ir.library.oregonstate.edu/concern/conference_proceedings_or_journals/gt54ks368","https://scholar.google.com/scholar?cites=1278949267821451650&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 06:11:16","","","","",,,,,4,0.44,1,4,9,"While the focus of Lake Victoria Nile-perch fishery is to serve the global market and tilapia is mainly for domestic market in Tanzania; Dagaa has a great potential for small scale trade in …","","https://scholar.google.com/scholar?q=related:glk-OpW9vxEJ:scholar.google.com/&scioq=author:%22enock+mlaponi%22&hl=en&as_sdt=2007"
25,"M Njiru, A Getabu, AM Taabu, E Mlaponi, L Muhoozi…","Managing Nile Perch using slot size: is it possible?",2009,"African Journal of Tropical …","","","https://scholar.google.com/scholar?cites=4328399940666930547&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 06:11:16","CITATION","","","",,,,,25,2.08,4,6,12,"","https://www.researchgate.net/profile/Enock-Mlaponi/publication/265161841_Managing_Nile_perch_using_slot_size_is_it_possible/links/5400d3ff0cf23d9765a48a3b/Managing-Nile-perch-using-slot-size-is-it-possible.pdf","https://scholar.google.com/scholar?q=related:czVGLdCQETwJ:scholar.google.com/&scioq=author:%22enock+mlaponi%22&hl=en&as_sdt=2007"
0,"M Salehe, J Luomba, E Mlaponi","Socio-economic Factors Affecting Consumer Behaviour and Preference for Farmed and Wild Fish around Lake Victoria, Tanzania",2017,"African Journal of Tropical …","academia.edu","https://www.academia.edu/download/56823677/Socio-economic_Factors_Affecting_Consumer_Behaviour_and_Preference_for_Farmed_and_Wild_Fish.pdf","",9,"2021-11-12 06:11:16","PDF","","","",,,,,0,0.00,0,3,4,"The continued fish decline in most capture fisheries including the Lake Victoria fisheries have led to increased promotion of fish farming. However, little is known about consumers' …","https://www.academia.edu/download/56823677/Socio-economic_Factors_Affecting_Consumer_Behaviour_and_Preference_for_Farmed_and_Wild_Fish.pdf","https://scholar.google.com/scholar?q=related:jnZ77xwYxOsJ:scholar.google.com/&scioq=author:%22enock+mlaponi%22&hl=en&as_sdt=2007"
21,"EM ImaniKapinga, N Kasozi","Effect of stocking density on the growth performance of sex reversed male Nile tilapia (Oreochromis niloticus) under pond conditions in Tanzania",2014,"World","researchgate.net","https://www.researchgate.net/profile/Nasser-Kasozi/publication/281119278_Effect_of_Stocking_Density_on_the_Growth_Performance_of_Sex_Reversed_Male_Nile_Tilapia_Oreochromis_niloticus_Under_Pond_Conditions_in_Tanzania/links/55d751ee08aed6a199a6804d/Effect-of-Stocking-Density-on-the-Growth-Performance-of-Sex-Reversed-Male-Nile-Tilapia-Oreochromis-niloticus-Under-Pond-Conditions-in-Tanzania.pdf","https://scholar.google.com/scholar?cites=8648428979411053259&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-12 06:11:16","PDF","","","",,,,,21,3.00,11,2,7,"A study was conducted to compare the growth potential of monosex Nile tilapia at two different stocking densities. Fish of 2.6±0.1 g average weight were stocked in ponds at the …","https://www.researchgate.net/profile/Nasser-Kasozi/publication/281119278_Effect_of_Stocking_Density_on_the_Growth_Performance_of_Sex_Reversed_Male_Nile_Tilapia_Oreochromis_niloticus_Under_Pond_Conditions_in_Tanzania/links/55d751ee08aed6a199a6804d/Effect-of-Stocking-Density-on-the-Growth-Performance-of-Sex-Reversed-Male-Nile-Tilapia-Oreochromis-niloticus-Under-Pond-Conditions-in-Tanzania.pdf","https://scholar.google.com/scholar?q=related:y2r93lVkBXgJ:scholar.google.com/&scioq=author:%22enock+mlaponi%22&hl=en&as_sdt=2007"
