Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
179,"K Geheb, S Kalloch, M Medard, AT Nyapendi…","Nile perch and the hungry of Lake Victoria: Gender, status and food in an East African fishery",2008,"Food Policy","Elsevier","https://www.sciencedirect.com/science/article/pii/S030691920700036X","https://scholar.google.com/scholar?cites=12273731251604207320&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:54:46","","","","",,,,,179,13.77,36,5,13,"Abstract Lake Victoria supports Africa's largest inland fishery, and its most valuable product is the Nile perch, much of which is exported. This has given rise to arguments claiming a …","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.3586&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:2LZ6WIsNVaoJ:scholar.google.com/&scioq=author:%22modesta+medard%22&hl=en&as_sdt=2007"
78,"AS Downing, EH van Nes, JS Balirwa, J Beuving…","Coupled human and natural system dynamics as key to the sustainability of Lake Victoria's ecosystem services",2014,"Ecology and …","JSTOR","https://www.jstor.org/stable/26269672","https://scholar.google.com/scholar?cites=11232955591706652483&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:54:46","","","","",,,,,78,11.14,16,5,7,"East Africa's Lake Victoria provides resources and services to millions of people on the lake's shores and abroad. In particular, the lake's fisheries are an important source of …","https://www.jstor.org/stable/pdf/26269672.pdf","https://scholar.google.com/scholar?q=related:Q69pjZh545sJ:scholar.google.com/&scioq=author:%22modesta+medard%22&hl=en&as_sdt=2007"
50,"J Kolding, M Medard, O Mkumbo…","Status, trends and management of the Lake Victoria fisheries",2014,"… fisheries evolution and …","researchgate.net","https://www.researchgate.net/profile/Jeppe-Kolding/publication/283069905_Status_trends_and_management_of_the_Lake_Victoria_Fisheries/links/5645aa5208aef646e6ccdc2d/Status-trends-and-management-of-the-Lake-Victoria-Fisheries.pdf","https://scholar.google.com/scholar?cites=1115195529555196244&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:54:46","PDF","","","",,,,,50,7.14,13,4,7,"Equatorial Lake Victoria in East Africa (Figure 1) is the second largest lake in the world, covering an area of 68,000 km 2 and surrounded by a dense and fast growing human …","https://www.researchgate.net/profile/Jeppe-Kolding/publication/283069905_Status_trends_and_management_of_the_Lake_Victoria_Fisheries/links/5645aa5208aef646e6ccdc2d/Status-trends-and-management-of-the-Lake-Victoria-Fisheries.pdf","https://scholar.google.com/scholar?q=related:VLk98mz4eQ8J:scholar.google.com/&scioq=author:%22modesta+medard%22&hl=en&as_sdt=2007"
41,"M Medard, F Sobo, T Ngatunga, S Chirwa","Women and gender participation in the fisheries sector in Lake Victoria",2002,"","digitalarchive.worldfishcenter.org","https://digitalarchive.worldfishcenter.org/handle/20.500.12348/2239","https://scholar.google.com/scholar?cites=13234145877324243743&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 06:54:46","","","","",,,,,41,2.16,10,4,19,"The paper starts with an analysis of the gender roles of women in the fisheries sector. These roles are recognized inthree stages of production: fishing, processing and marketing …","https://digitalarchive.worldfishcenter.org/bitstream/handle/20.500.12348/2239/wifg_africa_victoria.pdf?sequence=1","https://scholar.google.com/scholar?q=related:H6Oc044hqbcJ:scholar.google.com/&scioq=author:%22modesta+medard%22&hl=en&as_sdt=2007"
33,"M Medard","Relations between people, relations about things: gendered investment and the case of the Lake Victoria fishery, Tanzania",2012,"Signs: Journal of Women in Culture and Society","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/662704","https://scholar.google.com/scholar?cites=2395153615972777486&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 06:54:46","","10.1086/662704","","",,,,,33,3.67,33,1,9,"Using the example of one of the African fisheries that has been most significantly transformed from family based to commercialized—that on Lake Victoria in Tanzania—this …","","https://scholar.google.com/scholar?q=related:Dr6MDoZLPSEJ:scholar.google.com/&scioq=author:%22modesta+medard%22&hl=en&as_sdt=2007"
46,"DC Wilson, M Medard, CK Harris, DS Wiley","The implications for participatory fisheries management of intensified commercialization on Lake Victoria",1999,"Rural Sociology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1549-0831.1999.tb00378.x","https://scholar.google.com/scholar?cites=599463630609181834&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 06:54:46","","10.1111/j.1549-0831.1999.tb00378.x","","",,,,,46,2.09,12,4,22,"Participation by stakeholders in fisheries management has become widely accepted. It is held that it increases both the effectiveness and the legitimacy of management. Many …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1549-0831.1999.tb00378.x","https://scholar.google.com/scholar?q=related:iuw59v64UQgJ:scholar.google.com/&scioq=author:%22modesta+medard%22&hl=en&as_sdt=2007"
9,"M Medard, H Van Dijk, P Hebinck","Competing for kayabo: gendered struggles for fish and livelihood on the shore of Lake Victoria",2019,"Maritime Studies","Springer","https://link.springer.com/article/10.1007/s40152-019-00146-1","https://scholar.google.com/scholar?cites=4367810119191936217&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 06:54:46","HTML","10.1007/s40152-019-00146-1","","",,,,,9,4.50,3,3,2,"The dry-salted trade of Nile perch or kayabo is important for many along the shores of Lake Victoria. The kayabo trade started in the 1990s and has been increasingly restructured due …","https://link.springer.com/article/10.1007/s40152-019-00146-1","https://scholar.google.com/scholar?q=related:2bzKaCmUnTwJ:scholar.google.com/&scioq=author:%22modesta+medard%22&hl=en&as_sdt=2007"
30,"M Medard, DC Wilson","Changing economic problems for women in the Nile perch fishing communities on Lake Victoria",1996,"Anthropologica","JSTOR","https://www.jstor.org/stable/25605837","https://scholar.google.com/scholar?cites=13692232579094662094&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 06:54:46","","","","",,,,,30,1.20,15,2,25,"Large-scale changes in the ecology of Lake Victoria have had a number of implications for the women in riparian households. It has proven difficult for them to take advantage of the …","http://dlc.dlib.indiana.edu/dlc/bitstream/handle/10535/2290/Changing_Economic_Problems_for_Women_in_the_Nile_Perch_Fishing_Communities_on_Lake_Victoria.pdf?sequence=1","https://scholar.google.com/scholar?q=related:zsv3cvyUBL4J:scholar.google.com/&scioq=author:%22modesta+medard%22&hl=en&as_sdt=2007"
7,"M Medard, H Van Dijk, P Hebinck, K Geheb","Governance in a beach seine fishery: a case study from Lake Victoria, Tanzania",2016,"Maritime Studies","Springer","https://link.springer.com/article/10.1186/s40152-016-0051-3","https://scholar.google.com/scholar?cites=17914900985299724060&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-12 06:54:46","HTML","10.1186/s40152-016-0051-3","","",,,,,7,1.40,2,4,5,"Beach seine gear is one of the prominent fishing gears in Nile Perch fishery. Before Nile Perch was introduced to the lake, beach seines the species targeted with beach seine were …","https://link.springer.com/article/10.1186/s40152-016-0051-3","https://scholar.google.com/scholar?q=related:HOcVZ4eDnvgJ:scholar.google.com/&scioq=author:%22modesta+medard%22&hl=en&as_sdt=2007"
11,"M Medard, K Geheb…","Conflicts amongst resource users: The Case of Kabangaja Fishing and farming community on Lake Victoria (Tanzania)",2002,"Africa's Inland Fisheries …","dlc.dlib.indiana.edu","http://dlc.dlib.indiana.edu/dlc/handle/10535/677","https://scholar.google.com/scholar?cites=16415024324055888558&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-12 06:54:46","","","","",,,,,11,0.58,4,3,19,""" This paper explores the conflict between two ethnic groups in a fishery: migrant Ha fishermen that have settled on the shores of Lake Victoria; and resident Sukuma people. In …","https://dlc.dlib.indiana.edu/dlc/bitstream/handle/10535/677/medardm061101.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:rnK_9qbhzeMJ:scholar.google.com/&scioq=author:%22modesta+medard%22&hl=en&as_sdt=2007"
