Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
89,"M Nikaido, H Noguchi, H Nishihara, A Toyoda…","Coelacanth genomes reveal signatures for evolutionary transition from water to land",2013,"Genome …","genome.cshlp.org","https://genome.cshlp.org/content/23/10/1740.short","https://scholar.google.com/scholar?cites=17084428580261556014&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:59:50","","","","",,,,,89,11.13,18,5,8,"Coelacanths are known as “living fossils,” as they show remarkable morphological resemblance to the fossil record and belong to the most primitive lineage of living …","https://genome.cshlp.org/content/23/10/1740.full.pdf","https://scholar.google.com/scholar?q=related:Lm8FzUYVGO0J:scholar.google.com/&scioq=author:%22mzighani+s%22&hl=en&as_sdt=2007"
36,"A Shechonge, BP Ngatunga, SJ Bradbeer, JJ Day…","Widespread colonisation of Tanzanian catchments by introduced Oreochromis tilapia fishes: the legacy from decades of deliberate introduction",2019,"Hydrobiologia","Springer","https://link.springer.com/article/10.1007/s10750-018-3597-9","https://scholar.google.com/scholar?cites=15160485155460977395&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:59:50","HTML","10.1007/s10750-018-3597-9","","",,,,,36,18.00,7,5,2,"From the 1950s onwards, programmes to promote aquaculture and improve capture fisheries in East Africa have relied heavily on the promise held by introduced species. In …","https://link.springer.com/article/10.1007/s10750-018-3597-9","https://scholar.google.com/scholar?q=related:85LV2ezcZNIJ:scholar.google.com/&scioq=author:%22mzighani+s%22&hl=en&as_sdt=2007"
75,"S Mzighani","Fecundity and population structure of cockles, Anadara antiquata L. 1758 (Bivalvia: Arcidae) from a sandy/muddy beach near Dar es Salaam, Tanzania",2005,"Western indian ocean journal of marine science","ajol.info","https://www.ajol.info/index.php/wiojms/article/view/28475","https://scholar.google.com/scholar?cites=12288192806937283570&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:59:50","","","","",,,,,75,4.69,75,1,16,"The fecundity and population structure of the cockle, Anadara antiquataL., from sandy/muddy intertidal habitats in the intertidal of Ocean Road beach was examined from …","https://www.ajol.info/index.php/wiojms/article/view/28475/5155","https://scholar.google.com/scholar?q=related:8ssBlUBuiKoJ:scholar.google.com/&scioq=author:%22mzighani+s%22&hl=en&as_sdt=2007"
53,"R Miyagi, Y Terai, M Aibara, T Sugawara…","Correlation between nuptial colors and visual sensitivities tuned by opsins leads to species richness in sympatric Lake Victoria cichlid fishes",2012,"Molecular Biology …","academic.oup.com","https://academic.oup.com/mbe/article-abstract/29/11/3281/1143622","https://scholar.google.com/scholar?cites=11412908670777318992&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 06:59:50","","","","",,,,,53,5.89,11,5,9,"Reproductive isolation that prevents interspecific hybridization between closely related coexisting species maintains sympatric species diversity. One of the reproductive isolations …","https://academic.oup.com/mbe/article/29/11/3281/1143622","https://scholar.google.com/scholar?q=related:UF6ox_fLYp4J:scholar.google.com/&scioq=author:%22mzighani+s%22&hl=en&as_sdt=2007"
21,"Y Terai, R Miyagi, M Aibara, S Mizoiri, H Imai…","Visual adaptation in Lake Victoria cichlid fishes: depth-related variation of color and scotopic opsins in species from sand/mud bottoms",2017,"BMC evolutionary …","Springer","https://link.springer.com/article/10.1186/s12862-017-1040-x","https://scholar.google.com/scholar?cites=4748607810904042946&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 06:59:50","HTML","10.1186/s12862-017-1040-x","","",,,,,21,5.25,4,6,4,"For Lake Victoria cichlid species inhabiting rocky substrates with differing light regimes, it has been proposed that adaptation of the long-wavelength-sensitive (LWS) opsin gene …","https://link.springer.com/article/10.1186/s12862-017-1040-x","https://scholar.google.com/scholar?q=related:wq2UEqVx5kEJ:scholar.google.com/&scioq=author:%22mzighani+s%22&hl=en&as_sdt=2007"
0,"H Nakamura, M Aibara, R Kajitani…","Genomic Signatures for Species-Specific Adaptation in Lake Victoria Cichlids Derived from Large-Scale Standing Genetic Variation",2021,"Molecular Biology …","academic.oup.com","https://academic.oup.com/mbe/advance-article-abstract/doi/10.1093/molbev/msab084/6179338","",6,"2021-11-12 06:59:50","","10.1093/molbev","","",,,,,0,0.00,0,4,1,"Abstract The cichlids of Lake Victoria are a textbook example of adaptive radiation, as> 500 endemic species arose in just 14,600 years. The degree of genetic differentiation among …","https://academic.oup.com/mbe/advance-article-pdf/doi/10.1093/molbev/msab084/37757486/msab084.pdf","https://scholar.google.com/scholar?q=related:9PXTBz2BDvoJ:scholar.google.com/&scioq=author:%22mzighani+s%22&hl=en&as_sdt=2007"
30,"M Nikaido, T Sasaki, JJ Emerson…","Genetically distinct coelacanth population off the northern Tanzanian coast",2011,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/content/108/44/18009/","https://scholar.google.com/scholar?cites=16907955909713357321&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 06:59:50","HTML","","","",,,,,30,3.00,8,4,10,"Since the sensational discovery of a living coelacanth off the east coast of South Africa, the geographic distribution of viable coelacanth populations has been a subject of debate. In the …","https://www.pnas.org/content/108/44/18009/","https://scholar.google.com/scholar?q=related:CWpuVFEgpeoJ:scholar.google.com/&scioq=author:%22mzighani+s%22&hl=en&as_sdt=2007"
22,"MJ Genner, E Connell, A Shechonge…","Nile tilapia invades the Lake Malawi catchment",2013,"African Journal of …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.2989/16085914.2013.842157","https://scholar.google.com/scholar?cites=7344651746933675641&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 06:59:50","","10.2989/16085914.2013.842157","","",,,,,22,2.75,6,4,8,"The Lake Malawi/Nyasa catchment contains over 835 endemic cichlid fish species. This unique biodiversity has made it widely recognised as one of the world's most significant …","http://malawifisheries.org/xmlui/bitstream/handle/20.500.12364/856/139193147703871689374232450399439174114.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:eRbvptlx7WUJ:scholar.google.com/&scioq=author:%22mzighani+s%22&hl=en&as_sdt=2007"
17,"M Nikaido, T Ota, T Hirata, H Suzuki…","Multiple episodic evolution events in V1R receptor genes of East-African cichlids",2014,"Genome biology and …","academic.oup.com","https://academic.oup.com/gbe/article-abstract/6/5/1135/604142","https://scholar.google.com/scholar?cites=8651660927253459954&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-12 06:59:50","","","","",,,,,17,2.43,3,5,7,"Fish use olfaction to detect a variety of nonvolatile chemical signals, and thus, this sense is key to survival and communication. However, the contribution of the olfactory sense to social …","https://academic.oup.com/gbe/article/6/5/1135/604142","https://scholar.google.com/scholar?q=related:8rMRXsbfEHgJ:scholar.google.com/&scioq=author:%22mzighani+s%22&hl=en&as_sdt=2007"
17,"MJ Genner, BP Ngatunga, S Mzighani…","Geographical ancestry of Lake Malawi's cichlid fish diversity",2015,"Biology …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rsbl.2015.0232","https://scholar.google.com/scholar?cites=10334631450168344684&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-12 06:59:50","","10.1098/rsbl.2015.0232","","",,,,,17,2.83,4,4,6,"The Lake Malawi haplochromine cichlid flock is one of the largest vertebrate adaptive radiations. The geographical source of the radiation has been assumed to be rivers to the …","https://royalsocietypublishing.org/doi/pdf/10.1098/rsbl.2015.0232","https://scholar.google.com/scholar?q=related:bEDdd4z8a48J:scholar.google.com/&scioq=author:%22mzighani+s%22&hl=en&as_sdt=2007"
