Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
79,"E Ólafsson, S Carlström, SGM Ndaro","Meiobenthos of hypersaline tropical mangrove sediment in relation to spring tide inundation",2000,"Life at interfaces and under extreme …","Springer","https://link.springer.com/chapter/10.1007/978-94-011-4148-2_5","https://scholar.google.com/scholar?cites=4061930590749380545&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:36:41","","10.1007/978-94-011-4148-2_5","","",,,,,79,3.76,26,3,21,"Tropical intertidal sediments often contain porewater of relatively high salinity, especially in areas exposed to longer periods without seawater inundation and high evaporation. Such …","http://196.44.162.10:8080/xmlui/bitstream/handle/20.500.11810/2142/Meiobenthos%20of%20hypersaline%20tropical%20mangrove%20sediment.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:wc_o61ngXjgJ:scholar.google.com/&scioq=author:%22sgm+ndaro%22&hl=en&as_sdt=2007"
83,"OA Amir, P Berggren, SGM Ndaro…","Feeding ecology of the Indo-Pacific bottlenose dolphin (Tursiops aduncus) incidentally caught in the gillnet fisheries off Zanzibar, Tanzania",2005,"Estuarine, Coastal and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0272771404003580","https://scholar.google.com/scholar?cites=14080137015084193651&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:36:41","","","","",,,,,83,5.19,21,4,16,"The stomach contents of 26 Indo-Pacific bottlenose dolphins (Tursiops aduncus) incidentally caught in gillnet fisheries around Unguja Island (Zanzibar) between February 2000 and …","","https://scholar.google.com/scholar?q=related:cxfs9AOyZsMJ:scholar.google.com/&scioq=author:%22sgm+ndaro%22&hl=en&as_sdt=2007"
82,"E Ólafsson, RW Johnstone, SGM Ndaro","Effects of intensive seaweed farming on the meiobenthos in a tropical lagoon",1995,"Journal of Experimental Marine …","Elsevier","https://www.sciencedirect.com/science/article/pii/002209819500055V","https://scholar.google.com/scholar?cites=9807960632131867947&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:36:41","","","","",,,,,82,3.15,27,3,26,"Open water aquaculture of the seaweed Eucheuma spinosum, imported to Zanzibar from the Philippines in 1989, is presently a large scale operation on the island, with algal farms …","https://www.academia.edu/download/50965023/Effects_of_intensive_seaweed_farming_on_20161219-24448-y976b1.pdf","https://scholar.google.com/scholar?q=related:K1U86TrgHIgJ:scholar.google.com/&scioq=author:%22sgm+ndaro%22&hl=en&as_sdt=2007"
78,"SGM Ndaro, E Olafsson","Soft-bottom fauna with emphasis on nematode assemblage structure in a tropical intertidal lagoon in Zanzibar, eastern Africa: I. Spatial variability",1999,"Hydrobiologia","Springer","https://link.springer.com/article/10.1023/A:1003874122971","https://scholar.google.com/scholar?cites=15673799789726859130&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 06:36:41","","10.1023/A:1003874122971","","",,,,,78,3.55,39,2,22,"Twenty stations were sampled in a reef-protected lagoon on the east coast of Zanzibar from a variety of habitats: seagrass beds, fine sand, bare medium sand and coarse sand. Total …","http://196.44.162.10:8080/xmlui/bitstream/handle/20.500.11810/2145/Soft-bottom%20fauna%20with%20emphasis%20on%20nematode%20assemblage%20structure.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:ev9Ci92FhNkJ:scholar.google.com/&scioq=author:%22sgm+ndaro%22&hl=en&as_sdt=2007"
61,"M Raes, M De Troch, SGM Ndaro, A Muthumbi…","The structuring role of microhabitat type in coral degradation zones: a case study with marine nematodes from Kenya and Zanzibar",2007,"Coral Reefs","Springer","https://link.springer.com/content/pdf/10.1007/s00338-006-0184-8.pdf","https://scholar.google.com/scholar?cites=3497335654770040558&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 06:36:41","","10.1007/s00338-006-0184-8","","",,,,,61,4.36,12,5,14,"Nematode genus assemblages were identified from four locations in coral degradation zones (CDZs) along the African east coast: Watamu and Tiwi Beach (Kenya) and Matemwe …","https://www.researchgate.net/profile/Marleen-De-Troch/publication/200031288_The_structuring_role_of_microhabitat_structure_in_coral_degradation_zones_a_case_study_with_marine_nematodes_from_Kenya_and_Zanzibar/links/0fcfd5057852fe60e8000000/The-structuring-role-of-microhabitat-structure-in-coral-degradation-zones-a-case-study-with-marine-nematodes-from-Kenya-and-Zanzibar.pdf","https://scholar.google.com/scholar?q=related:7l7gkj8IiTAJ:scholar.google.com/&scioq=author:%22sgm+ndaro%22&hl=en&as_sdt=2007"
58,"T Kithakeni, SGM Ndaro","Some aspects of sea cucumber, Holothuria scabra (Jaeger, 1935), along the coast of Dar es Salaam",2002,"","aquadocs.org","https://aquadocs.org/handle/1834/38","https://scholar.google.com/scholar?cites=10342623172644286394&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 06:36:41","","","","",,,,,58,3.05,29,2,19,"Some aspects of the biology of the sea cucumber Holothuria scabra Jaeger, 1935 were studied along the coast of Dar es Salaam. Samples of Holothuria scabra were collected from …","https://aquadocs.org/bitstream/handle/1834/38/WIOJ12163.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:uq8vW_pgiI8J:scholar.google.com/&scioq=author:%22sgm+ndaro%22&hl=en&as_sdt=2007"
62,"E Ólafsson, SGM Ndaro","Impact of the mangrove crabs Uca annulipes and Dotilla fenestrata on meiobenthos",1997,"Marine Ecology Progress Series","int-res.com","https://www.int-res.com/abstracts/meps/v158/p225-231/","https://scholar.google.com/scholar?cites=13510163782613229186&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 06:36:41","","","","",,,,,62,2.58,31,2,24,"To assess the effects of 2 mangrove crabs on benthic meiofauna a laboratory experiment was performed in Zanzibar, eastern Africa. The 2 ocypodidae crab species Uca annulipes …","https://www.int-res.com/articles/meps/158/m158p225.pdf","https://scholar.google.com/scholar?q=related:gl4CYGG-fbsJ:scholar.google.com/&scioq=author:%22sgm+ndaro%22&hl=en&as_sdt=2007"
32,"H Gheerardyn, M De Troch, SGM Ndaro…","Community structure and microhabitat preferences of harpacticoid copepods in a tropical reef lagoon (Zanzibar Island, Tanzania)",2008,"Journal of the marine …","cambridge.org","https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/community-structure-and-microhabitat-preferences-of-harpacticoid-copepods-in-a-tropical-reef-lagoon-zanzibar-island-tanzania/C8B85D0655D1992D62840EF8B7B52F2D","https://scholar.google.com/scholar?cites=18287668863646695074&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 06:36:41","","","","",,,,,32,2.46,8,4,13,"Three microhabitat types (dead coral fragments, coral gravel and coral sand) were distinguished and sampled at two locations (Matemwe and Makunduchi) in a tropical lagoon …","https://biblio.ugent.be/publication/433803/file/887025","https://scholar.google.com/scholar?q=related:ov6hc_DZyv0J:scholar.google.com/&scioq=author:%22sgm+ndaro%22&hl=en&as_sdt=2007"
15,"M Callens, H Gheerardyn, SGM Ndaro…","Harpacticoid copepod colonization of coral fragments in a tropical reef lagoon (Zanzibar, Tanzania)",2012,"Journal of the marine …","cambridge.org","https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/harpacticoid-copepod-colonization-of-coral-fragments-in-a-tropical-reef-lagoon-zanzibar-tanzania/0855EBAC6B49EDC9CB525BC7A9B49336","https://scholar.google.com/scholar?cites=38682674548217749&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-12 06:36:41","","","","",,,,,15,1.67,4,4,9,"Colonization experiments were conducted in a tropical lagoon (Zanzibar Island, off the coast of Tanzania) to investigate the temporal dynamics and mode of colonization of the …","https://lirias.kuleuven.be/retrieve/181265","https://scholar.google.com/scholar?q=related:lZdoA7BtiQAJ:scholar.google.com/&scioq=author:%22sgm+ndaro%22&hl=en&as_sdt=2007"
12,"SGM Ndaro, E Olafsson, S Sjoling","Small-scale variation in major meiofaunal taxa and sediment chemistry in tropical sediments",1995,"","196.44.162.10","http://196.44.162.10:8080/xmlui/handle/20.500.11810/2163","https://scholar.google.com/scholar?cites=13015550957918874409&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-12 06:36:41","","","","",,,,,12,0.46,4,3,26,"Variations in sediment biochemistry and abundance of meiofauna were investigated in three tropical habitats: mangrove forest, intertidal lagoon, and subtidal reef area in eastern Africa …","","https://scholar.google.com/scholar?q=related:Keu_CqOGoLQJ:scholar.google.com/&scioq=author:%22sgm+ndaro%22&hl=en&as_sdt=2007"
