Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
251,"M Malinsky, RJ Challis, AM Tyers, S Schiffels…","Genomic islands of speciation separate cichlid ecomorphs in an East African crater lake",2015,"…","science.sciencemag.org","https://science.sciencemag.org/content/350/6267/1493.abstract","https://scholar.google.com/scholar?cites=3899454376100151588&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:35:27","","","","",,,,,251,41.83,50,5,6,"The genomic causes and effects of divergent ecological selection during speciation are still poorly understood. Here we report the discovery and detailed characterization of early-stage …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4700518/","https://scholar.google.com/scholar?q=related:JMFKSRilHTYJ:scholar.google.com/&scioq=author:%22benjamin+ngatunga%22&hl=en&as_sdt=2007"
36,"H Svardal, FX Quah, M Malinsky…","Ancestral hybridization facilitated species diversification in the Lake Malawi cichlid fish adaptive radiation",2020,"Molecular biology …","academic.oup.com","https://academic.oup.com/mbe/article-abstract/37/4/1100/5671705","https://scholar.google.com/scholar?cites=12004994858061009482&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:35:27","","","","",,,,,36,36.00,9,4,1,"The adaptive radiation of cichlid fishes in East African Lake Malawi encompasses over 500 species that are believed to have evolved within the last 800,000 years from a common …","https://academic.oup.com/mbe/article/37/4/1100/5671705","https://scholar.google.com/scholar?q=related:ShIe3TdPmqYJ:scholar.google.com/&scioq=author:%22benjamin+ngatunga%22&hl=en&as_sdt=2007"
89,"M Nikaido, H Noguchi, H Nishihara, A Toyoda…","Coelacanth genomes reveal signatures for evolutionary transition from water to land",2013,"Genome …","genome.cshlp.org","https://genome.cshlp.org/content/23/10/1740.short","https://scholar.google.com/scholar?cites=17084428580261556014&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:35:27","","","","",,,,,89,11.13,18,5,8,"Coelacanths are known as “living fossils,” as they show remarkable morphological resemblance to the fossil record and belong to the most primitive lineage of living …","https://genome.cshlp.org/content/23/10/1740.full.pdf","https://scholar.google.com/scholar?q=related:Lm8FzUYVGO0J:scholar.google.com/&scioq=author:%22benjamin+ngatunga%22&hl=en&as_sdt=2007"
36,"A Shechonge, BP Ngatunga, SJ Bradbeer, JJ Day…","Widespread colonisation of Tanzanian catchments by introduced Oreochromis tilapia fishes: the legacy from decades of deliberate introduction",2019,"Hydrobiologia","Springer","https://link.springer.com/article/10.1007/s10750-018-3597-9","https://scholar.google.com/scholar?cites=15160485155460977395&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 06:35:27","HTML","10.1007/s10750-018-3597-9","","",,,,,36,18.00,7,5,2,"From the 1950s onwards, programmes to promote aquaculture and improve capture fisheries in East Africa have relied heavily on the promise held by introduced species. In …","https://link.springer.com/article/10.1007/s10750-018-3597-9","https://scholar.google.com/scholar?q=related:85LV2ezcZNIJ:scholar.google.com/&scioq=author:%22benjamin+ngatunga%22&hl=en&as_sdt=2007"
13,"H Alzaylaee, RA Collins, G Rinaldi…","Schistosoma species detection by environmental DNA assays in African freshwaters",2020,"PLoS neglected …","journals.plos.org","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0008129","https://scholar.google.com/scholar?cites=15067119425337731891&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 06:35:27","HTML","","","",,,,,13,13.00,3,4,1,"Background Schistosomiasis is a neglected tropical parasitic disease associated with severe pathology, mortality and economic loss worldwide. Programs for disease control may …","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0008129","https://scholar.google.com/scholar?q=related:M6ukz0kpGdEJ:scholar.google.com/&scioq=author:%22benjamin+ngatunga%22&hl=en&as_sdt=2007"
18,"AGP Ford, TR Bullen, L Pang, MJ Genner…","Molecular phylogeny of Oreochromis (Cichlidae: Oreochromini) reveals mito-nuclear discordance and multiple colonisation of adverse aquatic environments",2019,"Molecular phylogenetics …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1055790318305062","https://scholar.google.com/scholar?cites=775996436259404422&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-12 06:35:27","","","","",,,,,18,9.00,4,5,2,"Although the majority of cichlid diversity occurs in the African Great Lakes, these fish have also diversified across the African continent. Such continental radiations, occurring in both …","https://pure.roehampton.ac.uk/ws/files/1300718/Oreochromis_phylogeny_25032019_FINAL_withFigures.pdf","https://scholar.google.com/scholar?q=related:hvo1uqXkxAoJ:scholar.google.com/&scioq=author:%22benjamin+ngatunga%22&hl=en&as_sdt=2007"
4,"T Blackwell, AGP Ford, AG Ciezarek…","Newly discovered cichlid fish biodiversity threatened by hybridization with non‐native species",2021,"Molecular …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.15638","https://scholar.google.com/scholar?cites=1995545230678934478&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 06:35:27","","10.1111/mec.15638","","",,,,,4,4.00,1,4,1,"Invasive freshwater fishes are known to readily hybridize with indigenous congeneric species, driving loss of unique and irreplaceable genetic resources. Here we reveal that …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/mec.15638","https://scholar.google.com/scholar?q=related:zsPXf9CZsRsJ:scholar.google.com/&scioq=author:%22benjamin+ngatunga%22&hl=en&as_sdt=2007"
21,"SJ Bradbeer, J Harrington, H Watson, A Warraich…","Limited hybridization between introduced and Critically Endangered indigenous tilapia fishes in northern Tanzania",2019,"Hydrobiologia","Springer","https://link.springer.com/article/10.1007/s10750-018-3572-5","https://scholar.google.com/scholar?cites=1113307665633907240&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 06:35:27","HTML","10.1007/s10750-018-3572-5","","",,,,,21,10.50,4,5,2,"Hybridization between introduced and indigenous species can lead to loss of unique genetic resources and precipitate extinction. In Tanzania, the Nile tilapia (Oreochromis …","https://link.springer.com/article/10.1007/s10750-018-3572-5","https://scholar.google.com/scholar?q=related:KBLUX2xDcw8J:scholar.google.com/&scioq=author:%22benjamin+ngatunga%22&hl=en&as_sdt=2007"
21,"A Shechonge, BP Ngatunga, R Tamatamah…","Losing cichlid fish biodiversity: genetic and morphological homogenization of tilapia following colonization by introduced species",2018,"Conservation …","Springer","https://link.springer.com/article/10.1007/s10592-018-1088-1","https://scholar.google.com/scholar?cites=585295344683427302&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-12 06:35:27","HTML","10.1007/s10592-018-1088-1","","",,,,,21,7.00,5,4,3,"Among the many negative impacts of invasive species, hybridization with indigenous species has increasingly become recognized as a major issue. However, relatively few …","https://link.springer.com/article/10.1007/s10592-018-1088-1","https://scholar.google.com/scholar?q=related:5qWL1ANjHwgJ:scholar.google.com/&scioq=author:%22benjamin+ngatunga%22&hl=en&as_sdt=2007"
12,"H Alzaylaee, RA Collins…","Environmental DNA-based xenomonitoring for determining Schistosoma presence in tropical freshwaters",2020,"Parasites & …","parasitesandvectors.biomedcentral …","https://parasitesandvectors.biomedcentral.com/articles/10.1186/s13071-020-3941-6","https://scholar.google.com/scholar?cites=8255158927186173616&as_sdt=2005&sciodt=2007&hl=en",10,"2021-11-12 06:35:27","HTML","10.1186/s13071-020-3941-6","","",,,,,12,12.00,4,3,1,"Schistosomiasis is a neglected tropical disease that infects over 200 million people worldwide. Control measures can benefit from improved surveillance methods in …","https://parasitesandvectors.biomedcentral.com/articles/10.1186/s13071-020-3941-6","https://scholar.google.com/scholar?q=related:sJ5Te043kHIJ:scholar.google.com/&scioq=author:%22benjamin+ngatunga%22&hl=en&as_sdt=2007"
