Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"LM Rasmusson, M Gullström, PCB Gunnarsson…","Estimation of a whole plant Q10 to assess seagrass productivity during temperature shifts",2019,"Scientific reports","nature.com","https://www.nature.com/articles/s41598-019-49184-z","https://scholar.google.com/scholar?cites=351357857930254752&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 05:59:37","HTML","","","",,,,,11,5.50,3,4,2,"Through respiration and photosynthesis, seagrass meadows contribute greatly to carbon and oxygen fluxes in shallow coastal waters. There is increasing concern about how shallow …","https://www.nature.com/articles/s41598-019-49184-z","https://scholar.google.com/scholar?q=related:oJn5NhxG4AQJ:scholar.google.com/&scioq=author:%22george+rushingisha%22&hl=en&as_sdt=2007"
9,"LM Rasmusson, P Buapet, R George…","Effects of temperature and hypoxia on respiration, photorespiration, and photosynthesis of seagrass leaves from contrasting temperature regimes",2020,"ICES Journal of …","academic.oup.com","https://academic.oup.com/icesjms/article-abstract/77/6/2056/5869942","https://scholar.google.com/scholar?cites=18296185824412891838&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 05:59:37","","","","",,,,,9,9.00,2,4,1,"In near-future climate change scenarios, elevated ocean temperatures with higher and more frequent peaks are anticipated than at present. Moreover, increased eutrophication and …","https://academic.oup.com/icesjms/article/77/6/2056/5869942","https://scholar.google.com/scholar?q=related:vvqq6BEc6f0J:scholar.google.com/&scioq=author:%22george+rushingisha%22&hl=en&as_sdt=2007"
19,"R George, M Gullström, MM Mangora…","High midday temperature stress has stronger effects on biomass than on photosynthesis: a mesocosm experiment on four tropical seagrass species",2018,"Ecology and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.3952","https://scholar.google.com/scholar?cites=5621163757403380318&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 05:59:37","","10.1002/ece3.3952","","",,,,,19,6.33,5,4,3,"The effect of repeated midday temperature stress on the photosynthetic performance and biomass production of seagrass was studied in a mesocosm setup with four common …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.3952","https://scholar.google.com/scholar?q=related:XhpUuKdiAk4J:scholar.google.com/&scioq=author:%22george+rushingisha%22&hl=en&as_sdt=2007"
9,"R George, M Gullström, MSP Mtolera…","Methane emission and sulfide levels increase in tropical seagrass sediments during temperature stress: A mesocosm experiment",2020,"Ecology and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.6009","https://scholar.google.com/scholar?cites=12710859221614491089&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 05:59:37","","10.1002/ece3.6009","","",,,,,9,9.00,2,4,1,"Climate change‐induced ocean warming is expected to greatly affect carbon dynamics and sequestration in vegetated shallow waters, especially in the upper subtidal where water …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.6009","https://scholar.google.com/scholar?q=related:0XVU9h0LZrAJ:scholar.google.com/&scioq=author:%22george+rushingisha%22&hl=en&as_sdt=2007"
1,"R George","Seagrasses in warming oceans: physiological and biogeochemical responses",2019,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1302283","https://scholar.google.com/scholar?cites=13266837260920480655&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-12 05:59:37","HTML","","","",,,,,1,0.50,1,1,2,"The exponential increase of atmospheric greenhouse gas concentrations over the past 50 years has caused a rise in the global average temperature by more than 1ºC above pre …","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1302283","https://scholar.google.com/scholar?q=related:j-MUtjJGHbgJ:scholar.google.com/&scioq=author:%22george+rushingisha%22&hl=en&as_sdt=2007"
0,"RO Ismail, ME Asplund, M Gullström, R George, M Dahl…","Plant productivity, community composition and carbon import are key drivers of air-water CO2 fluxes in a tropical seagrass meadow: implications for blue carbon …",2021,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1607256","",6,"2021-11-12 05:59:37","","","","",,,,,0,0.00,0,6,1,"Seagrass meadows are considered efficient sinks of Blue Carbon. They capture CO 2 by an effective photosynthetic uptake as well as by trapping large amounts of carbon originating …","",""
0,"RO Ismail, ME Asplund, M Gullström, R George, M Dahl…","Effects of calcification on air-water CO2 fluxes in tropical seagrass meadows: a mesocosm experiment",2021,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1607257","",7,"2021-11-12 05:59:37","","","","",,,,,0,0.00,0,6,1,"Seagrass meadows deliver a range of ecosystem services and one of the more important is the capacity to store carbon, and thus serve as sinks for atmospheric carbon dioxide. The …","",""
0,"L Rasmusson, M Gullström, P Gunnarsson, R George…","Seagrass productivity during temperature variations: estimation of a whole plant Q10 for respiration and photosynthesis in Zostera marina",2019,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1301983","",8,"2021-11-12 05:59:37","","","","",,,,,0,0.00,0,5,2,"The exponential increase of atmospheric greenhouse gas concentrations over the past 50 years has caused a rise in the global average temperature by more than 1ºC above pre …","",""
0,"R Ismail, M Asplund, R George, A Buriyo, M Gullström…","Calcifying algae modify the air-sea flux of CO2 in tropical seagrass meadows",2019,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1301985","",9,"2021-11-12 05:59:37","","","","",,,,,0,0.00,0,6,2,"The exponential increase of atmospheric greenhouse gas concentrations over the past 50 years has caused a rise in the global average temperature by more than 1ºC above pre …","",""
0,"L Rasmusson, P Buapet, R George, P Gunnarsson…","Effects of temperature and hypoxia on respiration, photorespiration and photosynthesis of seagrasses",2019,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1301978","",10,"2021-11-12 05:59:37","","","","",,,,,0,0.00,0,5,2,"The exponential increase of atmospheric greenhouse gas concentrations over the past 50 years has caused a rise in the global average temperature by more than 1ºC above pre …","",""
