Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
15,"B Sekadende, L Scott, J Anderson, S Aswani…","The small pelagic fishery of the Pemba Channel, Tanzania: What we know and what we need to know for management under climate change",2020,"Ocean & Coastal …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0964569120302325","https://scholar.google.com/scholar?cites=15278223072834725338&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-12 06:07:00","HTML","","","",,,,,15,15.00,3,5,1,"Small pelagic fish, including anchovies, sardines and sardinellas, mackerels, capelin, hilsa, sprats and herrings, are distributed widely, from the tropics to the far north Atlantic Ocean …","https://www.sciencedirect.com/science/article/pii/S0964569120302325","https://scholar.google.com/scholar?q=related:2qV97-8mB9QJ:scholar.google.com/&scioq=author:%22baraka+sekadende%22&hl=en&as_sdt=2007"
68,"BC Sekadende, TJ Lyimo, R Kurmayer","Microcystin production by cyanobacteria in the Mwanza Gulf (Lake Victoria, Tanzania)",2005,"Hydrobiologia","Springer","https://link.springer.com/article/10.1007/s10750-004-6949-6","https://scholar.google.com/scholar?cites=17734607585538137691&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-12 06:07:00","","10.1007/s10750-004-6949-6","","",,,,,68,4.25,23,3,16,"In order to investigate the potential for microcystin (MC) production by cyanobacteria in the Mwanza Gulf (Lake Victoria, Tanzania), nutrients, phytoplankton and microcystins were …","https://www.researchgate.net/profile/Thomas-Lyimo/publication/226523013_Microcystin_production_by_cyanobacteria_in_the_Mwanza_Gulf_Lake_Victoria_Tanzania/links/0fcfd51161b1da3ead000000/Microcystin-production-by-cyanobacteria-in-the-Mwanza-Gulf-Lake-Victoria-Tanzania.pdf","https://scholar.google.com/scholar?q=related:W97yFqP7HfYJ:scholar.google.com/&scioq=author:%22baraka+sekadende%22&hl=en&as_sdt=2007"
6,"SC Painter, B Sekadende, A Michael, M Noyon…","Evidence of localised upwelling in Pemba Channel (Tanzania) during the southeast monsoon",2021,"Ocean & Coastal …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0964569120303690","https://scholar.google.com/scholar?cites=4740313410428350036&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-12 06:07:00","HTML","","","",,,,,6,6.00,1,5,1,"Oceanographic and biogeochemical observations collected in Pemba Channel, a deep-water (800 m) channel separating Pemba Island from mainland Tanzania, during the South …","https://www.sciencedirect.com/science/article/pii/S0964569120303690","https://scholar.google.com/scholar?q=related:VC6aeO75yEEJ:scholar.google.com/&scioq=author:%22baraka+sekadende%22&hl=en&as_sdt=2007"
13,"AP Shoko, SM Limbu, HA Lamtane…","The role of fish-poultry integration on fish growth performance, yields and economic benefits among smallholder farmers in sub-Saharan Africa, Tanzania",2019,"African Journal of …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.2989/16085914.2018.1555512","https://scholar.google.com/scholar?cites=11023673927292502875&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-12 06:07:00","","10.2989/16085914.2018.1555512","","",,,,,13,6.50,3,4,2,"Aquaculture practices from sub-Saharan Africa are characterised by low production, owing to improper technology. Production can be increased through integrating fish farming with …","","https://scholar.google.com/scholar?q=related:W0MB7Af1-5gJ:scholar.google.com/&scioq=author:%22baraka+sekadende%22&hl=en&as_sdt=2007"
0,"MR Palmer, YW Shagude, MJ Roberts…","Marine robots for coastal ocean research in the Western Indian Ocean",2021,"Ocean & Coastal …","Elsevier","https://www.sciencedirect.com/science/article/pii/S096456912100288X","",5,"2021-11-12 06:07:00","HTML","","","",,,,,0,0.00,0,4,1,"Marine robots have the potential to enhance WIO marine research to improve regional adaptation to the challenges presented by climate change by providing enhanced research …","https://www.sciencedirect.com/science/article/pii/S096456912100288X",""
0,"BC Sekadende, A Michael, SC Painter, S Shayo…","Spatial variation in the phytoplankton community of the Pemba Channel, Tanzania, during the south-east monsoon",2021,"Ocean & Coastal …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0964569121002829","",6,"2021-11-12 06:07:00","HTML","","","",,,,,0,0.00,0,5,1,"The spatiotemporal distribution of phytoplankton within Tanzanian coastal waters is considered to be poorly known. Improved knowledge of the phytoplankton community …","https://www.sciencedirect.com/science/article/pii/S0964569121002829",""
11,"JG Mshana, B Sekadende","Assessment of Heavy Metal Pollution in Octopus cyanea in the Coastal Waters of Tanzania",2014,"Journal of Health Pollution","meridian.allenpress.com","https://meridian.allenpress.com/jhp/article-abstract/4/6/10/67456","https://scholar.google.com/scholar?cites=5443817538621491164&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-12 06:07:00","","","","",,,,,11,1.57,6,2,7,"Background. The accumulation of toxic metals in marine environments has become a problem of increasing concern. In Tanzania, large amounts of industrial and domestic waste …","https://meridian.allenpress.com/jhp/article-pdf/4/6/10/1707549/2156-9614-4-6_10.pdf","https://scholar.google.com/scholar?q=related:3EeTczVTjEsJ:scholar.google.com/&scioq=author:%22baraka+sekadende%22&hl=en&as_sdt=2007"
2,"JS Sululu, AT Kamukuru, BC Sekadende…","Reproductive biology of the anchovy (Stolephorus commersonnii, Lacepède, 1803) and spotted sardine (Amblygaster sirm, Walbaum, 1792) from Tanga Region …",2020,"Western Indian Ocean …","ajol.info","https://www.ajol.info/index.php/wiojms/article/view/174218","https://scholar.google.com/scholar?cites=8623631399225137066&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-12 06:07:00","","","","",,,,,2,2.00,1,4,1,"The present study investigated the reproductive biology of Stolephorus commersonnii and Amblygaster sirm at two landing sites in Tanga on the northern coast of Tanzania. Fish …","https://www.ajol.info/index.php/wiojms/article/download/174218/192287","https://scholar.google.com/scholar?q=related:qhe4UBFLrXcJ:scholar.google.com/&scioq=author:%22baraka+sekadende%22&hl=en&as_sdt=2007"
5,"BC Sekadende, JF Machiwa, FF Mwanuzi","Processes governing the retention of phosphorus and nitrogen in nyashishi wetland",2014,"Open Journal of Ecology","scirp.org","https://www.scirp.org/html/5-1380176_43739.htm","https://scholar.google.com/scholar?cites=632982309940393080&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-12 06:07:00","HTML","","","",,,,,5,0.71,2,3,7,"One of the important functions of the wetland is the retention of catchment nutrients and improving lacustrine water quality. This study analyzed how much nutrients were retained in …","https://www.scirp.org/html/5-1380176_43739.htm","https://scholar.google.com/scholar?q=related:eHQapQ7OyAgJ:scholar.google.com/&scioq=author:%22baraka+sekadende%22&hl=en&as_sdt=2007"
0,"AP Shoko, IA Kimirei, BC Sekadende…","Online course in conjunction with face-to-face workshops to improve writing skills leading towards more publications in peer reviewed journals",2021,"European Science …","ese.arphahub.com","https://ese.arphahub.com/article/54417/download/pdf/","",10,"2021-11-12 06:07:00","PDF","","","",,,,,0,0.00,0,4,1,"Background: Researchers in the developing countries often have inadequate scientific writing skills to publish their research in international peer reviewed journals. Objectives: To …","https://ese.arphahub.com/article/54417/download/pdf/","https://scholar.google.com/scholar?q=related:XGpgt_JkOtUJ:scholar.google.com/&scioq=author:%22baraka+sekadende%22&hl=en&as_sdt=2007"
