Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
17,"L Musinguzi, J Lugya, P Rwezawula, A Kamya…","The extent of cage aquaculture, adherence to best practices and reflections for sustainable aquaculture on African inland waters",2019,"Journal of Great Lakes …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0380133019301728","https://scholar.google.com/scholar?cites=11509799424571235955&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-11 22:06:40","","","","",,,,,17,8.50,3,5,2,"Cage aquaculture is expanding on African inland waters and has potential to close the fish supply deficit in the region and provide other social benefits such as employment and …","","https://scholar.google.com/scholar?q=related:c16QWZgFu58J:scholar.google.com/&scioq=author:%22amon+shoko%22&hl=en&as_sdt=2007"
48,"AP Shoko, SM Limbu, HDJ Mrosso…","Effect of stocking density on growth, production and economic benefits of mixed sex N ile tilapia (O reochromis niloticus) and A frican sharptooth catfish (C larias …",2016,"Aquaculture …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/are.12463","https://scholar.google.com/scholar?cites=17506784774379073623&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-11 22:06:40","","10.1111/are.12463","","",,,,,48,9.60,12,4,5,"On‐farm fish production experiments were conducted for 240 days to investigate the effect of stocking density on growth, yield and economic benefits of N ile tilapia (O reochromis …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/are.12463","https://scholar.google.com/scholar?q=related:V_AUVP-X9PIJ:scholar.google.com/&scioq=author:%22amon+shoko%22&hl=en&as_sdt=2007"
33,"SM Limbu, AP Shoko, HA Lamtane…","Fish polyculture system integrated with vegetable farming improves yield and economic benefits of small‐scale farmers",2017,"Aquaculture …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/are.13188","https://scholar.google.com/scholar?cites=4218186252898946703&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-11 22:06:40","","10.1111/are.13188","","",,,,,33,8.25,8,4,4,"This study explored the yield and economic benefits of African sharptooth catfish, Clarias gariepinus, and Nile tilapia, Oreochromis niloticus polyculture, reared in earthen ponds for …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/are.13188","https://scholar.google.com/scholar?q=related:j056UAwCijoJ:scholar.google.com/&scioq=author:%22amon+shoko%22&hl=en&as_sdt=2007"
32,"AP Shoko, SM Limbu, YD Mgaya","Effect of stocking density on growth performance, survival, production, and financial benefits of African sharptooth catfish (Clarias gariepinus) monoculture in earthen …",2016,"Journal of Applied Aquaculture","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/10454438.2016.1188338","https://scholar.google.com/scholar?cites=15029038588402889587&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-11 22:06:40","","10.1080/10454438.2016.1188338","","",,,,,32,6.40,11,3,5,"The present on-farm study assessed the effect of different stocking densities on growth, production, and financial benefits of African sharptooth catfish (Clarias gariepinus) in …","","https://scholar.google.com/scholar?q=related:c3NkCfjekdAJ:scholar.google.com/&scioq=author:%22amon+shoko%22&hl=en&as_sdt=2007"
45,"AP Shoko, SM Limbu, HDJ Mrosso…","A comparison of diurnal dynamics of water quality parameters in Nile tilapia (Oreochromis niloticus, Linnaeus, 1758) monoculture and polyculture with African …",2014,"International Aquatic …","Springer","https://link.springer.com/article/10.1007/s40071-014-0056-8","https://scholar.google.com/scholar?cites=18300969454765781443&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-11 22:06:40","HTML","10.1007/s40071-014-0056-8","","",,,,,45,6.43,11,4,7,"The overall performance of an aquaculture system is partly determined by its water quality parameters. Poor water quality stresses and adversely affects fish growth causing low …","https://link.springer.com/article/10.1007/s40071-014-0056-8","https://scholar.google.com/scholar?q=related:w7GWpMEa-v0J:scholar.google.com/&scioq=author:%22amon+shoko%22&hl=en&as_sdt=2007"
22,"AJ Rothuis, MNJ Turenhout, A van Duijn, AJ Roem…","Aquaculture in East Africa: a regional approach",2014,"","library.wur.nl","https://library.wur.nl/WebQuery/wurpubs/fulltext/324139","https://scholar.google.com/scholar?cites=10019238382124704490&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-11 22:06:40","PDF","","","",,,,,22,3.14,4,5,7,"1.1 Background Aquaculture has the potential to make a significant contribution to food security and income generation. This has been recognised by multilateral organisations …","https://library.wur.nl/WebQuery/wurpubs/fulltext/324139","https://scholar.google.com/scholar?q=related:6qKAbjl8C4sJ:scholar.google.com/&scioq=author:%22amon+shoko%22&hl=en&as_sdt=2007"
23,"SM Limbu, AP Shoko, HA Lamtane…","Supplemental effects of mixed ingredients and rice bran on the growth performance, survival and yield of Nile tilapia, Oreochromis niloticus reared in fertilized …",2016,"…","springerplus.springeropen.com","https://springerplus.springeropen.com/articles/10.1186/s40064-015-1643-x","https://scholar.google.com/scholar?cites=40596549089106777&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-11 22:06:40","HTML","10.1186/s40064-015-1643-x","","",,,,,23,4.60,6,4,5,"Unaffordability of commercial feeds to semi-intensive Nile tilapia, Oreochromis niloticus farmers has led to reliance on supplemental feeding and fertilization for nutrition of their fish …","https://springerplus.springeropen.com/articles/10.1186/s40064-015-1643-x","https://scholar.google.com/scholar?q=related:WRuQp1g6kAAJ:scholar.google.com/&scioq=author:%22amon+shoko%22&hl=en&as_sdt=2007"
17,"SM Limbu, AP Shoko, HA Lamtane, ED Shirima…","Effect of initial stocking size of the predatory African sharptooth catfish (Clarias gariepinu s) on recruits, growth performance, survival and yield of mixed-sex …",2015,"International Aquatic …","Springer","https://link.springer.com/article/10.1007/s40071-014-0093-3","https://scholar.google.com/scholar?cites=863379595084430437&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-11 22:06:40","HTML","10.1007/s40071-014-0093-3","","",,,,,17,2.83,3,5,6,"Prolific breeding and production of high percentage of recruits are main problems in mixed-sex Nile tilapia (Oreochromis niloticus) culture in earthen ponds. The current study assessed …","https://link.springer.com/article/10.1007/s40071-014-0093-3","https://scholar.google.com/scholar?q=related:ZfxT1ypX-wsJ:scholar.google.com/&scioq=author:%22amon+shoko%22&hl=en&as_sdt=2007"
12,"APA Shoko, HD Matola, S Mzighani…","Fishpond performance of Nile tilapia Oreochromis niloticus (Linnaeus, 1758) in the Lake Victoria basin, Tanzania",2011,"Journal of Aquaculture in …","tafiri.go.tz","http://www.tafiri.go.tz/publications/shoko_et_al_2011_jat.pdf","https://scholar.google.com/scholar?cites=983387408234547448&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-11 22:06:40","PDF","","","",,,,,12,1.20,3,4,10,"ABSTRACT A study was conducted in January through February 2004 to assess the fishpond performance in the districts of Muleba and Bukoba (Kagera region) and Tarime …","http://www.tafiri.go.tz/publications/shoko_et_al_2011_jat.pdf","https://scholar.google.com/scholar?q=related:-IhpOKOxpQ0J:scholar.google.com/&scioq=author:%22amon+shoko%22&hl=en&as_sdt=2007"
0,"AP Shoko, IA Kimirei, BC Sekadende…","Online course in conjunction with face-to-face workshops to improve writing skills leading towards more publications in peer reviewed journals",2021,"European Science …","ese.arphahub.com","https://ese.arphahub.com/article/54417/download/pdf/","",10,"2021-11-11 22:06:40","PDF","","","",,,,,0,0.00,0,4,1,"Background: Researchers in the developing countries often have inadequate scientific writing skills to publish their research in international peer reviewed journals. Objectives: To …","https://ese.arphahub.com/article/54417/download/pdf/","https://scholar.google.com/scholar?q=related:XGpgt_JkOtUJ:scholar.google.com/&scioq=author:%22amon+shoko%22&hl=en&as_sdt=2007"
3,"PGM Van der Heijden, AP Shoko, AP van Duijn…","Review and analysis of small-scale aquaculture production in East Africa: Part 3. Tanzania",2018,"","library.wur.nl","https://library.wur.nl/WebQuery/wurpubs/545024","https://scholar.google.com/scholar?cites=14872485138424764196&as_sdt=2005&sciodt=2007&hl=en",11,"2021-11-11 22:06:40","","","","",,,,,3,1.00,1,4,3,"This report describes the findings of a literature study and of interviews with fish farmers and key informants familiar with the Tanzanian freshwater aquaculture sector. The study was part …","https://library.wur.nl/WebQuery/wurpubs/fulltext/467337","https://scholar.google.com/scholar?q=related:JJcVg2-uZc4J:scholar.google.com/&scioq=author:%22amon+shoko%22&hl=en&as_sdt=2007"
