Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
36,"A Shechonge, BP Ngatunga, SJ Bradbeer, JJ Day…","Widespread colonisation of Tanzanian catchments by introduced Oreochromis tilapia fishes: the legacy from decades of deliberate introduction",2019,"Hydrobiologia","Springer","https://link.springer.com/article/10.1007/s10750-018-3597-9","https://scholar.google.com/scholar?cites=15160485155460977395&as_sdt=2005&sciodt=2007&hl=en",1,"2021-11-11 22:22:38","HTML","10.1007/s10750-018-3597-9","","",,,,,36,18.00,7,5,2,"From the 1950s onwards, programmes to promote aquaculture and improve capture fisheries in East Africa have relied heavily on the promise held by introduced species. In …","https://link.springer.com/article/10.1007/s10750-018-3597-9","https://scholar.google.com/scholar?q=related:85LV2ezcZNIJ:scholar.google.com/&scioq=author:%22emmanuel+sweke%22&hl=en&as_sdt=2007"
7,"J Junker, JA Rick, PB McIntyre, I Kimirei…","Structural genomic variation leads to genetic differentiation in Lake Tanganyika's sardines",2020,"Molecular …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.15559","https://scholar.google.com/scholar?cites=824681292676097551&as_sdt=2005&sciodt=2007&hl=en",2,"2021-11-11 22:22:38","","10.1111/mec.15559","","",,,,,7,7.00,1,5,1,"Identifying patterns in genetic structure and the genetic basis of ecological adaptation is a core goal of evolutionary biology and can inform the management and conservation of …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/mec.15559","https://scholar.google.com/scholar?q=related:D2beLkTbcQsJ:scholar.google.com/&scioq=author:%22emmanuel+sweke%22&hl=en&as_sdt=2007"
21,"EA Sweke, JM Assam, T Matsuishi…","Fish diversity and abundance of Lake Tanganyika: Comparison between protected area (Mahale Mountains National Park) and unprotected areas",2013,"… Journal of Biodiversity","downloads.hindawi.com","https://downloads.hindawi.com/archive/2013/269141.pdf","https://scholar.google.com/scholar?cites=5148449585757371147&as_sdt=2005&sciodt=2007&hl=en",3,"2021-11-11 22:22:38","PDF","","","",,,,,21,2.63,5,4,8,"High biodiversity is the most remarkable characteristic of Lake Tanganyika including vertebrates, invertebrates, and plants. A few protected areas have been created along the …","https://downloads.hindawi.com/archive/2013/269141.pdf","https://scholar.google.com/scholar?q=related:CzsT3573ckcJ:scholar.google.com/&scioq=author:%22emmanuel+sweke%22&hl=en&as_sdt=2007"
5,"G Bulengela, P Onyango, J Brehm, PA Staehr…","“Bring fishermen at the center”: the value of local knowledge for understanding fisheries resources and climate-related changes in Lake Tanganyika",2020,"Environment …","Springer","https://link.springer.com/article/10.1007/s10668-019-00443-z","https://scholar.google.com/scholar?cites=3660509274072162297&as_sdt=2005&sciodt=2007&hl=en",4,"2021-11-11 22:22:38","","10.1007/s10668-019-00443-z","","",,,,,5,5.00,1,5,1,"In this paper, we discuss the value of local knowledge of fishermen from Kigoma, along the North Eastern shores of Lake Tanganyika, regarding fish and climate-related issues of the …","","https://scholar.google.com/scholar?q=related:-R8YYsq9zDIJ:scholar.google.com/&scioq=author:%22emmanuel+sweke%22&hl=en&as_sdt=2007"
2,"B Ehrenfels, M Bartosiewicz, AS Mbonde…","Thermocline depth and euphotic zone thickness regulate the abundance of diazotrophic cyanobacteria in Lake Tanganyika",2020,"Biogeosciences …","bg.copernicus.org","https://bg.copernicus.org/preprints/bg-2020-214/","https://scholar.google.com/scholar?cites=18445388914209073532&as_sdt=2005&sciodt=2007&hl=en",5,"2021-11-11 22:22:38","","","","",,,,,2,2.00,1,4,1,"In spite of the fact that cyanobacterial blooms are classically associated with high nutrient loadings, there is also abundant evidence revealing that nitrogen fixing cyanobacteria …","https://bg.copernicus.org/preprints/bg-2020-214/bg-2020-214.pdf","https://scholar.google.com/scholar?q=related:fClcV30v-_8J:scholar.google.com/&scioq=author:%22emmanuel+sweke%22&hl=en&as_sdt=2007"
11,"EA Sweke, Y Kobayashi, M Makino…","Comparative job satisfaction of fishers in northeast Hokkaido, Japan for coastal fisheries management and aquaculture development",2016,"Ocean & Coastal …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0964569115300764","https://scholar.google.com/scholar?cites=4498835878729884995&as_sdt=2005&sciodt=2007&hl=en",6,"2021-11-11 22:22:38","","","","",,,,,11,2.20,3,4,5,"To foster future research directions and propose feasible adaptive management strategies, the factors affecting job satisfaction were examined in Akkeshi and Erimo, two local fishing …","","https://scholar.google.com/scholar?q=related:QyV6VmUTbz4J:scholar.google.com/&scioq=author:%22emmanuel+sweke%22&hl=en&as_sdt=2007"
2,"A Shechonge, BP Ngatunga, R Tamatamah…","Population genetic evidence for a unique resource of Nile tilapia in Lake Tanganyika, East Africa",2019,"… Biology of Fishes","Springer","https://link.springer.com/article/10.1007/s10641-019-00895-2","https://scholar.google.com/scholar?cites=927798063737046525&as_sdt=2005&sciodt=2007&hl=en",7,"2021-11-11 22:22:38","","10.1007/s10641-019-00895-2","","",,,,,2,1.00,1,4,2,"Nile tilapia (Oreochromis niloticus) is one of the most important species in Tanzania for inland fisheries and aquaculture. Although indigenous to the country, it is only naturally …","https://research.bangor.ac.uk/portal/files/24370044/2019_Population_genetic_evidence_for_a_unique_resource.pdf","https://scholar.google.com/scholar?q=related:_YVXXGwz4AwJ:scholar.google.com/&scioq=author:%22emmanuel+sweke%22&hl=en&as_sdt=2007"
4,"EA Sweke, JM Assam, AI Chande…","Comparing the performance of protected and unprotected areas in conserving freshwater fish abundance and biodiversity in Lake Tanganyika, Tanzania",2016,"International Journal of …","hindawi.com","https://www.hindawi.com/journals/ijecol/2016/7139689/","https://scholar.google.com/scholar?cites=10753589021542645887&as_sdt=2005&sciodt=2007&hl=en",8,"2021-11-11 22:22:38","HTML","","","",,,,,4,0.80,1,4,5,"Marine protected areas have been shown to conserve aquatic resources including fish, but few studies have been conducted of protected areas in freshwater environments. This is …","https://www.hindawi.com/journals/ijecol/2016/7139689/","https://scholar.google.com/scholar?q=related:fwCXeT1sPJUJ:scholar.google.com/&scioq=author:%22emmanuel+sweke%22&hl=en&as_sdt=2007"
1,"JK Bukombe, AK Nkwabi, LJ Mangewa…","Alien Invasive Species in Tanzania",2021,"… and Issues from …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119607045.ch9","https://scholar.google.com/scholar?cites=17753115063673381001&as_sdt=2005&sciodt=2007&hl=en",9,"2021-11-11 22:22:38","","10.1002/9781119607045.ch9","","",,,,,1,1.00,0,4,1,"Alien invasive species (AIS) are species that have become established in areas outside of their native range and cause harm to human health, the economy, and the environment in …","","https://scholar.google.com/scholar?q=related:iWDjIhe8X_YJ:scholar.google.com/&scioq=author:%22emmanuel+sweke%22&hl=en&as_sdt=2007"
0,"JA Rick, J Junker, IA Kimirei, EA Sweke, JB Mosille…","The genetic population structure of Lake Tanganyika's Lates species flock, an endemic radiation of pelagic top predators",2021,"bioRxiv","biorxiv.org","https://www.biorxiv.org/content/10.1101/2021.04.23.441176v2.abstract","",10,"2021-11-11 22:22:38","","10.1101/2021.04.23.441176v2.abstract","","",,,,,0,0.00,0,6,1,"Life history traits are important factors in shaping gene flow within species, and these traits can thus be determinants of whether a species exhibits genetic homogeneity across its …","https://www.biorxiv.org/content/biorxiv/early/2021/04/24/2021.04.23.441176.full.pdf","https://scholar.google.com/scholar?q=related:uTWZGwWlw4cJ:scholar.google.com/&scioq=author:%22emmanuel+sweke%22&hl=en&as_sdt=2007"
