authors,title,System,year,publisher,type,abstract
"AP Mwijage, DA Shilla, JF Machiwa","Differences in trophic resources and niches of two juvenile predatory species in three Pangani estuarine zones, Tanzania: stomach contents and stable …",Marine,2018,Springer,HTML,"Estuaries are primary habitats that serve as feeding and nursery grounds for most juvenile marine fish. However, estuaries have been used as fishing grounds by the artisanal fishers …"
"AP Mwijage, DA Shilla, JF Machiwa, J Zhang…","Important organic matter sources and trophic pathways for the nutrition of Hilsa kelee (Cuvier, 1829) and Valamugil buchanani (Bleeker, 1853) in Pangani macro …",Marine,2018,Taylor & Francis,NA,The study investigated the spatial variation in the main sources of organic matter (OM) and trophic pathways for zooplanktivorous Hilsa kelee and phytodetritivorous Valamugil …
AP Mwijage,"The role of local ecological knowledge in the sustainable use of wetland resources and poverty reduction: the case study of Kagera river Wetland, Misenyi …",Freshwater,2010,Unversity of Dar es Salaam,CITATION,NA
AP Mwijage,The role of local ecological knowledge in the role of local ecological knowledge in the sustainable use of wetland resources and poverty reduction: the …,NA,2010,University of Dar es salaam,CITATION,NA
"A Shechonge, BP Ngatunga, SJ Bradbeer, JJ Day…",Widespread colonisation of Tanzanian catchments by introduced Oreochromis tilapia fishes: the legacy from decades of deliberate introduction,Freshwater,2019,Springer,HTML,"From the 1950s onwards, programmes to promote aquaculture and improve capture fisheries in East Africa have relied heavily on the promise held by introduced species. In …"
"H Alzaylaee, RA Collins, G Rinaldi…",Schistosoma species detection by environmental DNA assays in African freshwaters,Freshwater,2020,journals.plos.org,HTML,"Background Schistosomiasis is a neglected tropical parasitic disease associated with severe pathology, mortality and economic loss worldwide. Programs for disease control may …"
"AGP Ford, TR Bullen, L Pang, MJ Genner…",Molecular phylogeny of Oreochromis (Cichlidae: Oreochromini) reveals mito-nuclear discordance and multiple colonisation of adverse aquatic environments,Freshwater,2019,Elsevier,NA,"Although the majority of cichlid diversity occurs in the African Great Lakes, these fish have also diversified across the African continent. Such continental radiations, occurring in both …"
"LJ White, G Sutton, A Shechonge…",Adaptation of the carbamoyl-phosphate synthetase enzyme in an extremophile fish,,2020,royalsocietypublishing.org,NA,Tetrapods and fish have adapted distinct carbamoyl-phosphate synthase (CPS) enzymes to initiate the ornithine urea cycle during the detoxification of nitrogenous wastes. We report …
"T Blackwell, AGP Ford, AG Ciezarek…",Newly discovered cichlid fish biodiversity threatened by hybridization with non‐native species,Freshwater,2021,Wiley Online Library,NA,"Invasive freshwater fishes are known to readily hybridize with indigenous congeneric species, driving loss of unique and irreplaceable genetic resources. Here we reveal that …"
"SJ Bradbeer, J Harrington, H Watson, A Warraich…",Limited hybridization between introduced and Critically Endangered indigenous tilapia fishes in northern Tanzania,Freshwater,2019,Springer,HTML,"Hybridization between introduced and indigenous species can lead to loss of unique genetic resources and precipitate extinction. In Tanzania, the Nile tilapia (Oreochromis …"
"A Shechonge, BP Ngatunga, R Tamatamah…",Losing cichlid fish biodiversity: genetic and morphological homogenization of tilapia following colonization by introduced species,Freshwater,2018,Springer,HTML,"Among the many negative impacts of invasive species, hybridization with indigenous species has increasingly become recognized as a major issue. However, relatively few …"
"H Alzaylaee, RA Collins…",Environmental DNA-based xenomonitoring for determining Schistosoma presence in tropical freshwaters,Freshwater,2020,parasitesandvectors.biomedcentral …,HTML,Schistosomiasis is a neglected tropical disease that infects over 200 million people worldwide. Control measures can benefit from improved surveillance methods in …
"G Sutton, LJ White, AGP Ford, A Shechonge…",Exploring the Expression of Cardiac Regulators in a Vertebrate Extremophile: The Cichlid Fish Oreochromis (Alcolapia) alcalica,Freshwater,2020,mdpi.com,NA,"Although it is widely accepted that the cellular and molecular mechanisms of vertebrate cardiac development are evolutionarily conserved, this is on the basis of data from only a …"
"G Vernaz, AG Hudson, ME Santos, B Fischer…",Epigenetic divergence during early stages of speciation in an African crater lake cichlid fish,Freshwater,2021,biorxiv.org,NA,Epigenetic variation can alter transcription and promote phenotypic divergence between populations facing different environmental challenges. Here we assess the epigenetic basis …
"G Sutton, LJ White, AGP Ford…",Exploring the expression of cardiac regulators in a vertebrate adapted to an extreme environment: the cichlid fish Oreochromis (Alcolapia) alcalica,Freshwater,2020,discovery.ucl.ac.uk,NA,"Although it is widely accepted that the cellular and molecular mechanisms of vertebrate cardiac development are evolutionarily conserved, this is on the basis of data from only a …"
"A Shechonge, BP Ngatunga, R Tamatamah…","Population genetic evidence for a unique resource of Nile tilapia in Lake Tanganyika, East Africa",Freshwater,2019,Springer,NA,"Nile tilapia (Oreochromis niloticus) is one of the most important species in Tanzania for inland fisheries and aquaculture. Although indigenous to the country, it is only naturally …"
"A Ciezarek, A Ford, G Etherington, K Nasser…",Whole genome resequencing data enables a targeted SNP panel for conservation and aquaculture of Oreochromis cichlid fishes,Freshwater,2021,biorxiv.org,NA,Cichlid fish of the genus Oreochromis form the basis of the global tilapia aquaculture and fisheries industry. Non-native farmed tilapia populations are known to be widely distributed …
"H Munby, T Linderoth, B Fischer, M Du, G Vernaz…",Differential use of multiple genetic sex determination systems in divergent ecomorphs of an African crater lake cichlid,Freshwater,2021,biorxiv.org,NA,"African cichlid fishes not only exhibit remarkably high rates of speciation but also have some of the fastest evolving sex determination systems in vertebrates. However, little is known …"
"H Alzaylaee, RA Collins, G Rinaldi…",Correction: Schistosoma species detection by environmental DNA assays in African freshwaters,Freshwater,2020,journals.plos.org,NA,"After publication of this article [1], the authors noticed a reporting error in the results section. The species described in the first paragraph of the results sub-section 'Environmental DNA …"
AH Shechonge,"Biogeography, diversity and conservation of Tilapia genetic resources in Tanzanian watersheds",Freshwater,2019,University of Dar es Salaam,CITATION,NA
"SJBJH Henry, WA Warraich, ASASR Tamatamah…",Limited hybridization between introduced and Critically Endangered indigenous tilapia fishes in northern Tanzania,Freshwater,NA,NA,PDF,"Hybridization between introduced and indigenous species can lead to loss of unique genetic resources and precipitate extinction. In Tanzania, the Nile tilapia (Oreochromis …"
JDR BAYONA,"Some Aspects of the Biology og Kuhe, Boulengerochromis Microlepis, in the Kigoma Region, Eastern Coast of Lake Tanganyika",Freshwater,1991,repository.kulib.kyoto-u.ac.jp,NA,Beach-seining surveys were carried out over a period of four years (from June 1984 to March 1987) in the littoral zone of the eastern coast of Lake Tangayika. The total catch from …
JDR BAYONA,"Species composition and some observations on the littoral fishes based on beach-seining in the Kigoma region, eastern coast of Lake Tanganyika",Freshwater,1991,repository.kulib.kyoto-u.ac.jp,NA,"Fishes in the inshore waters of Lake Tanganyika were sampled in the Kigoma Region between June 1984 and May 1988, using a beach-seine. This study collected 78 fish …"
JDR Bayona,A review of the biological productivity and fish predation in Lake Tanganyika,Freshwater,1988,agris.fao.org,CITATION,A review of the biological productivity and fish predation in Lake Tanganyika FAO_logo home-icon English Español Français العربية 中文 Русский home-icon Translate with Google …
"JDR Bayona, B Msuku, S Mzighani","Fish species composition, size structure and distribution in non-Trawlable areas of Lake Victoria (Tanzania) with emphasis on Mwanza gulf and Mori bay",Freshwater,2004,ajol.info,NA,Fish diversity studies in littoral non-trawlable areas of Lake Victoria (Tanzania) were undertaken during six systematic surveys (November 2000 to December 2002). Information …
"JDR Bayona, BE Marshall, R Mubamba",Variation in abundance and distribution of Limnothrissa miodon in the Tanzanian sector of Lake Tanganyika; the need for continued stock assessment,Freshwater,1993,agris.fao.org,CITATION,Variation in abundance and distribution of Limnothrissa miodon in the Tanzanian sector of Lake Tanganyika; the need for continued stock assessment FAO_logo home-icon English Español …
"JDR Bayona, S Mzighani, JD Komakoma, J Bipa",Applicability and effectiveness of some fishing gears in assessing fish diversity and richness in non-trawlable areas of Lake Victoria Tanzania,Freshwater,2005,NA,CITATION,NA
"POJ Bwathondi, AI Chande, HA Mhitu, JJ Kulekana…",Investigation on the abundance and distribution of prawns at Bagamoyo and Rufiji delta,Marine,2002,NA,CITATION,NA
"POJ Bwathondi, AI Chande, JDR Bayona, HA Mhitu…",Investigation of prawn abundance and distribution in Bagamoyo and Rufiji areas,Marine,2002,NA,CITATION,NA
"JDR Bayona, SGM Ndaro, BP Ngatunga",Industrial fisheries in the Tanzanian sector of Lake Tanganyika: a case of local over-fishing in Kigoma,Freshwater,1992,NA,CITATION,NA
"JDR Bayona, S Mzighani, J Bipa, J Komakoma",Report on Fish Biology and Status of Biodiversity within the Non‐Trawlable Areas of Lake Victoria based on the Survey of July/August 2001,Freshwater,2001,December,CITATION,NA
"JDR Bayona, M Hanssens",Oreochromis jipe,Freshwater,2006,NA,CITATION,NA
"POJ Bwathondi, JDR Bayona, EDS Makwaia",Assessment of the current status of the coral reef fishery and the impact of dynamite to the resources along the Dar es Salaam coast,Marine,1988,NA,CITATION,NA
"TK Twongo, JDR Bayona, M Hanssens",Oreochromis esculentus,Freshwater,2010,IUCN,CITATION,NA
"JDR Bayona, J Bipa, M Kishe, JD Komakoma…",Aspects of fish biology and status of fish diversity in the Tanzanian littoral non-trawlable areas of Lake Victoria (Tanzania),Freshwater,2003,NA,CITATION,NA
JDR Bayona,Differences in the scaling of echo-integrator survey results by fisheries research institutes.,,1984,agris.fao.org,CITATION,Differences in the scaling of echo-integrator survey results by fisheries research institutes. FAO_logo home-icon English Español Français العربية 中文 Русский home-icon Translate …
JDR Bayona,The effective role of the Lake Tanganyika Fisheries Research and Development Project (Kigoma) in reducing post-harvest losses under traditional …,Freshwater,1989,NA,CITATION,NA
"TK Twongo, JDR Bayona, M Hanssens",Oreochromis variabilis,Freshwater,2006,The IUCN Red List of Threatened …,CITATION,NA
JDR Bayona,Oreochromis amphimelas. The IUCN Red List of Threatened Species 2006: e. T60629A12388607,Freshwater,2019,NA,CITATION,NA
"JDR Bayona, EA Odhiambo, M Hanssens",Oreochromis hunteri,Freshwater,2006,NA,CITATION,NA
JDR Bayona,Oreochromis amphimelas,Freshwater,2013,IUCN,CITATION,NA
JDR Bayona,FAO/André Mayer Research Fellow 1,,1984,Food and Agriculture Organization of …,CITATION,NA
"MO Silas, MA Kishe, JG Mshana, ML Semba…","Growth, mortality, exploitation rate and recruitment pattern of Octopus cyanea (Mollusca: Cephalopoda) in the WIO region: A case study from the Mafia Archipelago …",Marine,2021,ajol.info,NA,"Octopus cyanea is a commercially important cephalopod in the Western Indian Ocean (WIO) region, but scientific information to inform management strategies for the species is limited. A …"
BN Kuboja,Policies and legal frameworks for Marine Protected Areas governance in Tanzania mainland: their potential and limitations for achieving conservation and …,Marine,2013,un.org,PDF,The focus of this study is territorial sea marine protected areas governance in Tanzania mainland. The study describes and analyses the limitations and potential for existing …
"BN Kuboja, BL Kuguru, P Matiku, IE Sailale",Elasmobranch fishing in Tanzania. Preliminary analysis based on species distribution and composition from the landed weight.,,NA,NA,NA,Coastal communities in Tanzania rely on sharks and ray fishery as source of food and income. Limited information exists of the status (temporal and spatial catch trend) of the …
"YL Budeba, IG Cowx","The role of the freshwater shrimp Caridina nilotica (Roux) in the diet of the major commercial fish species in Lake Victoria, Tanzania",Freshwater,2007,read.dukeupress.edu,NA,"The major commercial fish species of Lake Victoria at the present time are Lates niloticus, Oreochromis niloticus and Rastrineobola argentea. The contribution of Caridina nilotica in …"
"M Nikaido, T Sasaki, JJ Emerson…",Genetically distinct coelacanth population off the northern Tanzanian coast,Marine,2011,National Acad Sciences,HTML,"Since the sensational discovery of a living coelacanth off the east coast of South Africa, the geographic distribution of viable coelacanth populations has been a subject of debate. In the …"
"W Ligtvoet, PJ Mous, OC Mkumbo…",The Lake Victoria fish stocks and fisheries.,Freshwater,1995,library.wur.nl,PDF,In this chapter a review is given of the recent changes in the fish communities of Lake Victoria. The abundance and spatial distribution of the currently most important commercial …
"YL Budeba, IG Cowx","Contribution of Caridina nilotica (Roux) in the Dagaa Fishery in Lake Victoria, Tanzania",Freshwater,2007,read.dukeupress.edu,NA,"The contribution of Caridina nilotica in the Rastrineobola argentea (dagaa) fishery was assessed at nine beaches in the Tanzanian part of Lake Victoria from May, 2001 to April …"
"SI Mzighani, M Nikaido, M Takeda, O Seehausen…",Genetic variation and demographic history of the Haplochromis laparogramma group of Lake Victoria—an analysis based on SINEs and mitochondrial DNA,Freshwater,2010,Elsevier,NA,More than 500 endemic haplochromine cichlid species inhabit Lake Victoria. This striking species diversity is a classical example of recent explosive adaptive radiation thought to …
"OC Mkumbo, C Ezekiel, YL Budeba…","Analysis of exploitation patterns for Nile perch, Lates niloticus, in Lake Victoria",Freshwater,2002,books.google.com,NA,"Since the explosion of Nile perch, Lates niloticus (L.), in Lake Victoria in the early 1980s they have sustained a rapidly developing fishery. The species is now the predominant …"
"PJ Mous, PC Goudswaard, EFB Katunzi…",Sampling and measuring.,,1995,library.wur.nl,PDF,"In this chapter some basic information is given on sampling and measuring techniques. These include linear and weight measurements of fishes, techniques for sub-sampling and …"
"JJ Van der Hoeven, YL Budeba","A marketing study on the Tanzanian part of Lake Victoria: the Mwaloni Kirumba market, Mwanza, and the export market for fresh fish and fillet.",Freshwater,1993,cabdirect.org,NA,"A marketing study on the Tanzanian part of Lake Victoria: the Mwaloni Kirumba market, Mwanza, and the export market for fresh fish and fillet. Cookies on CAB Direct Like most …"
YL Budeba,"The role of Caridina nilotica (Roux 1833) in the Lake Victoria fisheries, Tanzanian waters",Freshwater,2003,ethos.bl.uk,CITATION,"British Library EThOS: The role of Caridina nilotica (Roux 1833) in the Lake Victoria fisheries, Tanzanian waters New search | Advanced search | Search results Login / Register | About …"
YL Budeba,The role of Caridina nilotica (Roux) in the Lake Victoria fisheries with reference to Lates niloticus (L.),Freshwater,1999,Lake Victoria Fisheries Research …,CITATION,NA
"W Ligtvoet, PJ Mouse, OC Mkumbo, YL Budeba…",995. The Lake Victoria Fish Stocks and Fisheries,Freshwater,NA,NA,CITATION,NA
YL Budeba,"The role of Nile shrimp, Caridina nilotica, in the food web of Nile perch, Lates niloticus",Freshwater,2003,NA,CITATION,NA
"OC Mkumbo, BS Msuku, EFB Katunzi, YL Budeba…",Report of the biological and socio-economic study of the fisheries of Mwanza and Speke Gulfs following the ban of the use of non-selective gear,Freshwater,1996,NA,CITATION,NA
"OC Mkumbo, C Ezekiel, YL Budeba, IG Cowx","The fishery of Lake Victoria, Tanzania: Pre-Post Nile perch era and the future",Freshwater,2000,NA,CITATION,NA
"W Ligtvoet, PJ Mouse, OC Mkumbo, YL Budeba…","FB, Temu, MM, Wanink, JH, & Witte, F.(1995). The Lake Victoria fish stocks and fisheries",Freshwater,NA,NA,CITATION,NA
"YL Budeba, PJ Mous",Fisheries statistical service system and governmental framework.,,1995,research.wur.nl,CITATION,Fisheries statistical service system and governmental framework. — Research@WUR Skip to main navigation Skip to search Skip to main content Research@WUR Logo Help & FAQ …
"W Ligtvoet, PJ Mous, YL Budeba…",Features of the developing artisanal Nile perch (Lates niloticus) and dagaa (Rastrineobola argentea) fisheries in southern Lake Victoria,Freshwater,1990,agris.fao.org,CITATION,Features of the developing artisanal Nile perch (Lates niloticus) and dagaa (Rastrineobola argentea) fisheries in southern Lake Victoria FAO_logo home-icon English Español Français …
